year,sex,pli0091_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,male,At least once per week,0.09764,670,5354,0.08968,0.10559
1985,male,At least once per month,0.12641,846,5354,0.11751,0.13531
1985,male,Seldom,0.27239,1752,5354,0.26047,0.28432
1985,male,Never,0.32125,2086,5354,0.30874,0.33376
1985,female,At least once per week,0.05488,364,5550,0.04889,0.06087
1985,female,At least once per month,0.09163,615,5550,0.08404,0.09922
1985,female,Seldom,0.24452,1706,5550,0.23321,0.25582
1985,female,Never,0.44917,2865,5550,0.43609,0.46226
1986,male,At least once per week,0.09638,637,5195,0.08835,0.10440
1986,male,At least once per month,0.13215,862,5195,0.12294,0.14136
1986,male,Seldom,0.27125,1686,5195,0.25916,0.28334
1986,male,Never,0.32312,2010,5195,0.31040,0.33584
1986,female,At least once per week,0.05130,328,5304,0.04536,0.05724
1986,female,At least once per month,0.09886,651,5304,0.09082,0.10689
1986,female,Seldom,0.24172,1629,5304,0.23020,0.25324
1986,female,Never,0.44518,2696,5304,0.43180,0.45855
1988,male,At least once per week,0.08530,553,4893,0.07747,0.09312
1988,male,At least once per month,0.14548,891,4893,0.13560,0.15536
1988,male,Seldom,0.27741,1572,4893,0.26487,0.28996
1988,male,Never,0.30950,1877,4893,0.29654,0.32245
1988,female,At least once per week,0.04957,310,4989,0.04355,0.05559
1988,female,At least once per month,0.10108,630,4989,0.09272,0.10945
1988,female,Seldom,0.24871,1515,4989,0.23671,0.26071
1988,female,Never,0.43470,2534,4989,0.42094,0.44846
1990,male,At least once per week,0.06283,587,6727,0.05703,0.06863
1990,male,At least once per month,0.12509,1063,6727,0.11718,0.13299
1990,male,Seldom,0.29070,2460,6727,0.27985,0.30155
1990,male,Never,0.33007,2617,6727,0.31883,0.34131
1990,female,At least once per week,0.03322,338,7063,0.02904,0.03740
1990,female,At least once per month,0.09784,868,7063,0.09091,0.10477
1990,female,Seldom,0.26779,2509,7063,0.25746,0.27812
1990,female,Never,0.42904,3348,7063,0.41750,0.44059
1992,male,At least once per week,0.08472,701,6408,0.07790,0.09154
1992,male,At least once per month,0.12920,1015,6408,0.12099,0.13741
1992,male,Seldom,0.30141,2446,6408,0.29017,0.31264
1992,male,Never,0.28959,2246,6408,0.27848,0.30069
1992,female,At least once per week,0.03892,365,6749,0.03431,0.04354
1992,female,At least once per month,0.09678,831,6749,0.08973,0.10384
1992,female,Seldom,0.28591,2526,6749,0.27513,0.29669
1992,female,Never,0.39288,3027,6749,0.38123,0.40454
1994,male,At least once per week,0.08225,681,6159,0.07539,0.08911
1994,male,At least once per month,0.12995,997,6159,0.12155,0.13835
1994,male,Seldom,0.31635,2432,6159,0.30473,0.32796
1994,male,Never,0.27336,2049,6159,0.26222,0.28449
1994,female,At least once per week,0.04882,435,6587,0.04362,0.05403
1994,female,At least once per month,0.09756,851,6587,0.09039,0.10472
1994,female,Seldom,0.29522,2481,6587,0.28420,0.30623
1994,female,Never,0.37815,2820,6587,0.36643,0.38986
1995,male,At least once per week,0.06049,535,6382,0.05464,0.06634
1995,male,At least once per month,0.12046,991,6382,0.11247,0.12845
1995,male,Seldom,0.27994,2295,6382,0.26892,0.29095
1995,male,Never,0.34472,2561,6382,0.33306,0.35638
1995,female,At least once per week,0.03948,396,6837,0.03487,0.04410
1995,female,At least once per month,0.10241,926,6837,0.09523,0.10960
1995,female,Seldom,0.27216,2379,6837,0.26161,0.28271
1995,female,Never,0.41111,3136,6837,0.39944,0.42277
1996,male,At least once per week,0.08620,696,6270,0.07925,0.09315
1996,male,At least once per month,0.15841,1227,6270,0.14937,0.16744
1996,male,Seldom,0.32003,2549,6270,0.30848,0.33158
1996,male,Never,0.24171,1798,6270,0.23111,0.25231
1996,female,At least once per week,0.04897,442,6712,0.04380,0.05413
1996,female,At least once per month,0.12008,1104,6712,0.11231,0.12786
1996,female,Seldom,0.30881,2649,6712,0.29776,0.31987
1996,female,Never,0.34637,2517,6712,0.33498,0.35775
1997,male,At least once per week,0.08193,670,6173,0.07509,0.08877
1997,male,At least once per month,0.14313,1143,6173,0.13440,0.15187
1997,male,Seldom,0.31858,2499,6173,0.30695,0.33020
1997,male,Never,0.26201,1861,6173,0.25104,0.27298
1997,female,At least once per week,0.04522,405,6556,0.04019,0.05025
1997,female,At least once per month,0.12424,1073,6556,0.11625,0.13222
1997,female,Seldom,0.30212,2541,6556,0.29100,0.31323
1997,female,Never,0.34756,2537,6556,0.33603,0.35908
1998,male,At least once per week,0.04735,469,6871,0.04233,0.05238
1998,male,At least once per month,0.14620,1238,6871,0.13785,0.15456
1998,male,Seldom,0.31443,2709,6871,0.30345,0.32541
1998,male,Never,0.30597,2455,6871,0.29507,0.31686
1998,female,At least once per week,0.03545,353,7298,0.03121,0.03969
1998,female,At least once per month,0.12646,1194,7298,0.11883,0.13408
1998,female,Seldom,0.29583,2779,7298,0.28535,0.30630
1998,female,Never,0.36814,2972,7298,0.35708,0.37921
1999,male,At least once per week,0.07360,650,6579,0.06729,0.07991
1999,male,At least once per month,0.16244,1329,6579,0.15352,0.17135
1999,male,Seldom,0.34219,2822,6579,0.33073,0.35366
1999,male,Never,0.23704,1778,6579,0.22676,0.24731
1999,female,At least once per week,0.04614,440,7013,0.04123,0.05106
1999,female,At least once per month,0.12001,1165,7013,0.11240,0.12761
1999,female,Seldom,0.33232,2974,7013,0.32129,0.34334
1999,female,Never,0.32921,2434,7013,0.31821,0.34021
2001,male,At least once per week,0.07219,976,10457,0.06723,0.07715
2001,male,At least once per month,0.15738,2022,10457,0.15040,0.16436
2001,male,Seldom,0.32063,4193,10457,0.31169,0.32958
2001,male,Never,0.26441,3266,10457,0.25596,0.27286
2001,female,At least once per week,0.04740,697,11304,0.04348,0.05131
2001,female,At least once per month,0.12765,1926,11304,0.12150,0.13380
2001,female,Seldom,0.31107,4515,11304,0.30254,0.31961
2001,female,Never,0.34168,4166,11304,0.33294,0.35042
2003,male,At least once per week,0.04208,582,10640,0.03827,0.04590
2003,male,At least once per month,0.14185,1898,10640,0.13522,0.14848
2003,male,Seldom,0.32435,4434,10640,0.31546,0.33325
2003,male,Never,0.31304,3726,10640,0.30423,0.32185
2003,female,At least once per week,0.03172,507,11434,0.02851,0.03493
2003,female,At least once per month,0.13048,2009,11434,0.12430,0.13665
2003,female,Seldom,0.30405,4564,11434,0.29562,0.31248
2003,female,Never,0.36857,4354,11434,0.35973,0.37741
2005,male,At least once per week,0.06462,781,9851,0.05977,0.06948
2005,male,At least once per month,0.16144,1904,9851,0.15417,0.16871
2005,male,Seldom,0.35631,4384,9851,0.34685,0.36577
2005,male,Never,0.24569,2782,9851,0.23719,0.25419
2005,female,At least once per week,0.03929,569,10742,0.03562,0.04297
2005,female,At least once per month,0.13632,1912,10742,0.12983,0.14281
2005,female,Seldom,0.34844,4710,10742,0.33943,0.35745
2005,female,Never,0.31891,3551,10742,0.31010,0.32773
2007,male,At least once per week,0.06047,686,9722,0.05573,0.06521
2007,male,At least once per month,0.15251,1842,9722,0.14536,0.15966
2007,male,Seldom,0.36252,4382,9722,0.35296,0.37207
2007,male,Never,0.24533,2812,9722,0.23677,0.25388
2007,female,At least once per week,0.03566,513,10679,0.03214,0.03918
2007,female,At least once per month,0.13194,1817,10679,0.12552,0.13835
2007,female,Seldom,0.35848,4791,10679,0.34938,0.36757
2007,female,Never,0.31017,3558,10679,0.30139,0.31894
2008,male,At least once per week,0.03352,334,9180,0.02984,0.03720
2008,male,At least once per month,0.14226,1471,9180,0.13511,0.14940
2008,male,Seldom,0.35001,3998,9180,0.34025,0.35977
2008,male,Never,0.30335,3377,9180,0.29395,0.31275
2008,female,At least once per week,0.02485,310,10074,0.02181,0.02789
2008,female,At least once per month,0.12587,1606,10074,0.11939,0.13235
2008,female,Seldom,0.33908,4267,10074,0.32983,0.34832
