year,age_gr,marstat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Married,0.25096,996,2990,0.23542,0.26651
1984,17-29 y.,"Married, living apart",0.01074,43,2990,0.00704,0.01443
1984,17-29 y.,Single,0.61003,1913,2990,0.59255,0.62752
1984,17-29 y.,Divorced,0.01329,38,2990,0.00919,0.01740
1984,30-45 y.,Married,0.72800,2954,3486,0.71322,0.74277
1984,30-45 y.,"Married, living apart",0.02041,78,3486,0.01572,0.02511
1984,30-45 y.,Single,0.08630,248,3486,0.07698,0.09562
1984,30-45 y.,Divorced,0.05244,162,3486,0.04504,0.05984
1984,30-45 y.,Widowed,0.01456,44,3486,0.01058,0.01854
1984,46-65 y.,Married,0.71113,2623,3123,0.69523,0.72703
1984,46-65 y.,"Married, living apart",0.01265,55,3123,0.00873,0.01657
1984,46-65 y.,Single,0.04189,115,3123,0.03486,0.04891
1984,46-65 y.,Divorced,0.04314,120,3123,0.03601,0.05027
1984,46-65 y.,Widowed,0.07725,210,3123,0.06789,0.08662
1984,66 and older,Married,0.35476,522,999,0.32508,0.38445
1984,66 and older,Single,0.05525,62,999,0.04108,0.06943
1984,66 and older,Widowed,0.37387,415,999,0.34386,0.40389
1985,17-29 y.,Married,0.22101,825,2925,0.20597,0.23605
1985,17-29 y.,"Married, living apart",0.01264,45,2925,0.00859,0.01669
1985,17-29 y.,Single,0.69201,2020,2925,0.67528,0.70875
1985,17-29 y.,Divorced,0.01437,35,2925,0.01006,0.01869
1985,30-45 y.,Married,0.73311,2721,3243,0.71788,0.74833
1985,30-45 y.,"Married, living apart",0.01997,75,3243,0.01515,0.02479
1985,30-45 y.,Single,0.10887,257,3243,0.09814,0.11959
1985,30-45 y.,Divorced,0.05968,155,3243,0.05153,0.06784
1985,30-45 y.,Widowed,0.01232,35,3243,0.00853,0.01612
1985,46-65 y.,Married,0.71411,2506,3005,0.69795,0.73026
1985,46-65 y.,"Married, living apart",0.01791,66,3005,0.01317,0.02265
1985,46-65 y.,Single,0.04619,111,3005,0.03868,0.05369
1985,46-65 y.,Divorced,0.04887,121,3005,0.04116,0.05658
1985,46-65 y.,Widowed,0.08132,201,3005,0.07154,0.09109
1985,66 and older,Married,0.37089,478,952,0.34019,0.40159
1985,66 and older,Single,0.06166,60,952,0.04638,0.07695
1985,66 and older,Widowed,0.42683,414,952,0.39539,0.45826
1986,17-29 y.,Married,0.24299,832,2989,0.22761,0.25837
1986,17-29 y.,"Married, living apart",0.01014,46,2989,0.00655,0.01373
1986,17-29 y.,Single,0.72106,2078,2989,0.70498,0.73714
1986,17-29 y.,Divorced,0.01399,33,2989,0.00978,0.01820
1986,30-45 y.,Married,0.76428,2659,3232,0.74964,0.77891
1986,30-45 y.,"Married, living apart",0.03399,104,3232,0.02774,0.04023
1986,30-45 y.,Single,0.12111,276,3232,0.10986,0.13235
1986,30-45 y.,Divorced,0.06439,162,3232,0.05593,0.07286
1986,30-45 y.,Widowed,0.01079,31,3232,0.00723,0.01435
1986,46-65 y.,Married,0.77814,2666,3179,0.76370,0.79259
1986,46-65 y.,"Married, living apart",0.02013,78,3179,0.01525,0.02502
1986,46-65 y.,Single,0.04773,108,3179,0.04032,0.05514
1986,46-65 y.,Divorced,0.05621,131,3179,0.04820,0.06422
1986,46-65 y.,Widowed,0.08327,196,3179,0.07366,0.09288
1986,66 and older,Married,0.42895,518,979,0.39794,0.45997
1986,66 and older,Single,0.07107,63,979,0.05497,0.08717
1986,66 and older,Widowed,0.44737,398,979,0.41621,0.47853
1987,17-29 y.,Married,0.25272,825,2991,0.23714,0.26830
1987,17-29 y.,"Married, living apart",0.01204,53,2991,0.00813,0.01595
1987,17-29 y.,Single,0.71646,2081,2991,0.70030,0.73261
1987,17-29 y.,Divorced,0.01402,32,2991,0.00981,0.01823
1987,30-45 y.,Married,0.76010,2576,3146,0.74518,0.77503
1987,30-45 y.,"Married, living apart",0.02372,79,3146,0.01840,0.02904
1987,30-45 y.,Single,0.13203,285,3146,0.12020,0.14387
1987,30-45 y.,Divorced,0.06863,173,3146,0.05980,0.07747
1987,30-45 y.,Widowed,0.01146,33,3146,0.00774,0.01518
1987,46-65 y.,Married,0.77309,2642,3172,0.75852,0.78767
1987,46-65 y.,"Married, living apart",0.02349,87,3172,0.01822,0.02877
1987,46-65 y.,Single,0.04745,100,3172,0.04005,0.05485
1987,46-65 y.,Divorced,0.06111,144,3172,0.05277,0.06944
1987,46-65 y.,Widowed,0.08246,199,3172,0.07288,0.09203
1987,66 and older,Married,0.44555,550,1025,0.41510,0.47599
1987,66 and older,Single,0.06614,62,1025,0.05092,0.08137
1987,66 and older,Widowed,0.44148,413,1025,0.41107,0.47190
1988,17-29 y.,Married,0.24003,803,2835,0.22431,0.25576
1988,17-29 y.,"Married, living apart",0.01706,58,2835,0.01229,0.02182
1988,17-29 y.,Single,0.72495,1974,2835,0.70851,0.74139
1988,30-45 y.,Married,0.74040,2383,2942,0.72456,0.75625
1988,30-45 y.,"Married, living apart",0.03126,83,2942,0.02497,0.03755
1988,30-45 y.,Single,0.14272,279,2942,0.13008,0.15536
1988,30-45 y.,Divorced,0.07142,162,2942,0.06211,0.08072
1988,30-45 y.,Widowed,0.01211,35,2942,0.00815,0.01606
1988,46-65 y.,Married,0.77259,2569,3083,0.75779,0.78739
1988,46-65 y.,"Married, living apart",0.02898,94,3083,0.02305,0.03490
1988,46-65 y.,Single,0.04601,91,3083,0.03862,0.05341
1988,46-65 y.,Divorced,0.05895,139,3083,0.05064,0.06727
1988,46-65 y.,Widowed,0.08032,190,3083,0.07073,0.08992
1988,66 and older,Married,0.45366,539,987,0.42259,0.48474
1988,66 and older,Single,0.06249,56,987,0.04738,0.07760
1988,66 and older,Widowed,0.43114,392,987,0.40022,0.46205
1989,17-29 y.,Married,0.23686,801,2819,0.22116,0.25256
1989,17-29 y.,"Married, living apart",0.01374,43,2819,0.00945,0.01804
1989,17-29 y.,Single,0.72817,1942,2819,0.71174,0.74459
1989,17-29 y.,Divorced,0.01797,33,2819,0.01307,0.02288
1989,30-45 y.,Married,0.74199,2273,2835,0.72588,0.75810
1989,30-45 y.,"Married, living apart",0.02993,78,2835,0.02366,0.03620
1989,30-45 y.,Single,0.13670,274,2835,0.12406,0.14935
1989,30-45 y.,Divorced,0.07777,173,2835,0.06791,0.08763
1989,30-45 y.,Widowed,0.01220,37,2835,0.00816,0.01625
1989,46-65 y.,Married,0.76529,2446,2954,0.75000,0.78058
1989,46-65 y.,"Married, living apart",0.02881,89,2954,0.02278,0.03484
1989,46-65 y.,Single,0.05002,95,2954,0.04215,0.05788
1989,46-65 y.,Divorced,0.06495,144,2954,0.05606,0.07383
