year,age_gr,pgisced97,marstat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Pre-primary Level,Single,0.88785,166,166,0.83971,0.93600
1984,17-29 y.,Primary Level,Married,0.27481,82,162,0.20585,0.34377
1984,17-29 y.,Primary Level,Single,0.53697,80,162,0.45995,0.61400
1984,17-29 y.,Lower Secondary Level,Married,0.15703,231,874,0.13290,0.18117
1984,17-29 y.,Lower Secondary Level,Single,0.69966,643,874,0.66925,0.73007
1984,17-29 y.,Upper Secondary Level,Married,0.30704,530,1364,0.28256,0.33153
1984,17-29 y.,Upper Secondary Level,Single,0.55149,834,1364,0.52509,0.57790
1984,17-29 y.,Post-secondary Non-tertiary Level,Married,0.29192,41,104,0.20412,0.37973
1984,17-29 y.,Post-secondary Non-tertiary Level,Single,0.59813,63,104,0.50345,0.69282
1984,17-29 y.,First Stage of Tertiary Education,Married,0.37515,55,108,0.28341,0.46689
1984,17-29 y.,First Stage of Tertiary Education,Single,0.48483,53,108,0.39014,0.57953
1984,17-29 y.,Second Stage of Tertiary Education,Married,0.39122,51,117,0.30241,0.48003
1984,17-29 y.,Second Stage of Tertiary Education,Single,0.53288,66,117,0.44209,0.62368
1984,30-45 y.,Primary Level,Married,0.69738,304,304,0.64566,0.74911
1984,30-45 y.,Lower Secondary Level,Married,0.74466,620,654,0.71121,0.77810
1984,30-45 y.,Lower Secondary Level,Divorced,0.05143,34,654,0.03448,0.06837
1984,30-45 y.,Upper Secondary Level,Married,0.73685,1480,1743,0.71617,0.75753
1984,30-45 y.,Upper Secondary Level,"Married, living apart",0.01700,35,1743,0.01093,0.02307
1984,30-45 y.,Upper Secondary Level,Single,0.08548,137,1743,0.07235,0.09861
1984,30-45 y.,Upper Secondary Level,Divorced,0.05674,91,1743,0.04588,0.06761
1984,30-45 y.,Post-secondary Non-tertiary Level,Married,0.56191,66,66,0.44129,0.68253
1984,30-45 y.,First Stage of Tertiary Education,Married,0.72877,186,186,0.66470,0.79283
1984,30-45 y.,Second Stage of Tertiary Education,Married,0.69116,274,323,0.64070,0.74163
1984,30-45 y.,Second Stage of Tertiary Education,Single,0.14678,49,323,0.10813,0.18544
1984,46-65 y.,Primary Level,Married,0.56276,266,266,0.50304,0.62249
1984,46-65 y.,Lower Secondary Level,Married,0.69340,784,917,0.66354,0.72326
1984,46-65 y.,Lower Secondary Level,Single,0.04602,42,917,0.03245,0.05959
1984,46-65 y.,Lower Secondary Level,Widowed,0.10254,91,917,0.08289,0.12218
1984,46-65 y.,Upper Secondary Level,Married,0.72505,1183,1375,0.70145,0.74866
1984,46-65 y.,Upper Secondary Level,Single,0.03291,44,1375,0.02348,0.04235
1984,46-65 y.,Upper Secondary Level,Divorced,0.04928,65,1375,0.03783,0.06072
1984,46-65 y.,Upper Secondary Level,Widowed,0.06707,83,1375,0.05384,0.08030
1984,46-65 y.,Post-secondary Non-tertiary Level,Married,0.67731,47,47,0.54220,0.81241
1984,46-65 y.,First Stage of Tertiary Education,Married,0.70398,151,151,0.63093,0.77704
1984,46-65 y.,Second Stage of Tertiary Education,Married,0.75378,177,177,0.69013,0.81743
