year,regtyp,marstat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,Married,0.44752,5123,7980,0.43661,0.45843
1985,Urban regions,"Married, living apart",0.01340,158,7980,0.01088,0.01592
1985,Urban regions,Single,0.19442,1932,7980,0.18573,0.20310
1985,Urban regions,Divorced,0.03501,278,7980,0.03097,0.03904
1985,Urban regions,Widowed,0.08716,489,7980,0.08097,0.09334
1985,Rural regions,Married,0.44932,1407,2178,0.42843,0.47022
1985,Rural regions,"Married, living apart",0.00892,33,2178,0.00497,0.01287
1985,Rural regions,Single,0.18390,516,2178,0.16762,0.20017
1985,Rural regions,Divorced,0.02410,57,2178,0.01766,0.03054
1985,Rural regions,Widowed,0.08576,165,2178,0.07400,0.09752
1986,Urban regions,Married,0.48189,5229,8194,0.47107,0.49271
1986,Urban regions,"Married, living apart",0.01947,213,8194,0.01648,0.02246
1986,Urban regions,Single,0.20276,1995,8194,0.19405,0.21146
1986,Urban regions,Divorced,0.03662,286,8194,0.03255,0.04069
1986,Urban regions,Widowed,0.09069,471,8194,0.08447,0.09691
1986,Rural regions,Married,0.49439,1446,2227,0.47362,0.51516
1986,Rural regions,"Married, living apart",0.01021,32,2227,0.00604,0.01439
1986,Rural regions,Single,0.19558,530,2227,0.17910,0.21206
1986,Rural regions,Divorced,0.03009,62,2227,0.02299,0.03719
1986,Rural regions,Widowed,0.08756,157,2227,0.07582,0.09930
1987,Urban regions,Married,0.48291,5163,8159,0.47207,0.49376
1987,Urban regions,"Married, living apart",0.01583,189,8159,0.01312,0.01854
1987,Urban regions,Single,0.20093,2002,8159,0.19223,0.20962
1987,Urban regions,Divorced,0.04017,313,8159,0.03590,0.04443
1987,Urban regions,Widowed,0.09326,492,8159,0.08695,0.09957
1987,Rural regions,Married,0.50012,1430,2210,0.47926,0.52097
1987,Rural regions,"Married, living apart",0.00971,34,2210,0.00562,0.01379
1987,Rural regions,Single,0.18528,526,2210,0.16908,0.20148
1987,Rural regions,Divorced,0.03106,63,2210,0.02383,0.03830
1987,Rural regions,Widowed,0.08636,157,2210,0.07465,0.09807
1988,Urban regions,Married,0.47769,4949,7835,0.46662,0.48875
1988,Urban regions,"Married, living apart",0.02083,205,7835,0.01767,0.02400
1988,Urban regions,Single,0.20196,1909,7835,0.19307,0.21085
1988,Urban regions,Divorced,0.04082,298,7835,0.03643,0.04520
1988,Urban regions,Widowed,0.09173,474,7835,0.08534,0.09812
1988,Rural regions,Married,0.49859,1345,2077,0.47708,0.52009
1988,Rural regions,"Married, living apart",0.01452,41,2077,0.00938,0.01967
1988,Rural regions,Single,0.18668,491,2077,0.16992,0.20344
1988,Rural regions,Divorced,0.02897,55,2077,0.02175,0.03618
1988,Rural regions,Widowed,0.08527,145,2077,0.07325,0.09728
1989,Urban regions,Married,0.47498,4765,7635,0.46378,0.48619
1989,Urban regions,"Married, living apart",0.01970,184,7635,0.01658,0.02282
1989,Urban regions,Single,0.20396,1898,7635,0.19492,0.21300
1989,Urban regions,Divorced,0.04457,316,7635,0.03994,0.04920
1989,Urban regions,Widowed,0.09116,472,7635,0.08470,0.09762
1989,Rural regions,Married,0.49782,1276,1972,0.47575,0.51990
1989,Rural regions,"Married, living apart",0.01331,35,1972,0.00825,0.01837
1989,Rural regions,Single,0.18657,466,1972,0.16937,0.20377
1989,Rural regions,Divorced,0.03381,59,1972,0.02583,0.04179
1989,Rural regions,Widowed,0.08348,136,1972,0.07127,0.09570
1990,Urban regions,Married,0.47257,5665,8904,0.46220,0.48294
1990,Urban regions,"Married, living apart",0.01639,186,8904,0.01375,0.01903
1990,Urban regions,Single,0.19873,2081,8904,0.19044,0.20702
1990,Urban regions,Divorced,0.04897,419,8904,0.04448,0.05345
1990,Urban regions,Widowed,0.08581,553,8904,0.08000,0.09163
1990,Rural regions,Married,0.49908,3271,4837,0.48499,0.51318
1990,Rural regions,"Married, living apart",0.01003,53,4837,0.00722,0.01284
1990,Rural regions,Single,0.17154,976,4837,0.16092,0.18217
1990,Rural regions,Divorced,0.04541,228,4837,0.03955,0.05128
1990,Rural regions,Widowed,0.08064,309,4837,0.07297,0.08832
1991,Urban regions,Married,0.47237,5573,8715,0.46189,0.48286
1991,Urban regions,"Married, living apart",0.01613,175,8715,0.01348,0.01877
1991,Urban regions,Single,0.19266,2013,8715,0.18438,0.20094
1991,Urban regions,Divorced,0.05172,428,8715,0.04707,0.05637
1991,Urban regions,Widowed,0.08792,526,8715,0.08197,0.09387
1991,Rural regions,Married,0.49892,3175,4727,0.48467,0.51318
1991,Rural regions,"Married, living apart",0.01034,49,4727,0.00746,0.01323
1991,Rural regions,Single,0.17607,990,4727,0.16521,0.18693
1991,Rural regions,Divorced,0.04668,213,4727,0.04067,0.05269
1991,Rural regions,Widowed,0.08235,300,4727,0.07451,0.09018
1992,Urban regions,Married,0.47719,5499,8608,0.46664,0.48774
1992,Urban regions,"Married, living apart",0.01691,179,8608,0.01418,0.01963
1992,Urban regions,Single,0.19029,1995,8608,0.18200,0.19859
