year,bula_h,marstat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Married,0.44308,223,296,0.38639,0.49977
1984,Schleswig-Holstein,Single,0.15200,73,296,0.11103,0.19297
1984,Hamburg,Married,0.41628,164,217,0.35054,0.48202
1984,Hamburg,Single,0.17809,53,217,0.12707,0.22911
1984,Lower Saxony,Married,0.45490,711,1065,0.42498,0.48482
1984,Lower Saxony,Single,0.16978,252,1065,0.14722,0.19234
1984,Lower Saxony,Divorced,0.02266,31,1065,0.01372,0.03160
1984,Lower Saxony,Widowed,0.07312,71,1065,0.05748,0.08877
1984,Bremen,Married,0.42887,72,72,0.31375,0.54399
1984,North Rhine-Westphalia,Married,0.44126,1901,2864,0.42307,0.45945
1984,North Rhine-Westphalia,"Married, living apart",0.01063,48,2864,0.00688,0.01439
1984,North Rhine-Westphalia,Single,0.16660,650,2864,0.15295,0.18025
1984,North Rhine-Westphalia,Divorced,0.03111,100,2864,0.02475,0.03747
1984,North Rhine-Westphalia,Widowed,0.07373,165,2864,0.06416,0.08331
1984,Hesse,Married,0.47393,748,1041,0.44358,0.50428
1984,Hesse,Single,0.16237,234,1041,0.13995,0.18478
1984,Hesse,Widowed,0.07417,59,1041,0.05824,0.09010
1984,"Rhineland-Palatinate, Saarland",Married,0.46083,487,711,0.42417,0.49750
1984,"Rhineland-Palatinate, Saarland",Single,0.15370,156,711,0.12717,0.18023
1984,"Rhineland-Palatinate, Saarland",Widowed,0.09607,68,711,0.07439,0.11775
1984,Baden-Wuerttemberg,Married,0.42035,1318,1944,0.39841,0.44230
1984,Baden-Wuerttemberg,"Married, living apart",0.01239,46,1944,0.00748,0.01731
1984,Baden-Wuerttemberg,Single,0.15491,414,1944,0.13882,0.17099
1984,Baden-Wuerttemberg,Divorced,0.02470,54,1944,0.01779,0.03160
1984,Baden-Wuerttemberg,Widowed,0.07084,112,1944,0.05943,0.08225
1984,Bavaria,Married,0.46678,1262,1815,0.44382,0.48974
1984,Bavaria,Single,0.16482,405,1815,0.14774,0.18189
1984,Bavaria,Divorced,0.02013,44,1815,0.01367,0.02659
1984,Bavaria,Widowed,0.06628,104,1815,0.05483,0.07773
1984,Berlin,Married,0.36677,209,320,0.31389,0.41966
1984,Berlin,Single,0.17383,80,320,0.13224,0.21542
1984,Berlin,Widowed,0.10898,31,320,0.07479,0.14318
1985,Schleswig-Holstein,Married,0.42077,196,273,0.36210,0.47944
1985,Schleswig-Holstein,Single,0.17567,77,273,0.13045,0.22089
1985,Hamburg,Married,0.36427,136,192,0.29602,0.43252
1985,Hamburg,Single,0.21423,56,192,0.15605,0.27242
1985,Lower Saxony,Married,0.45879,644,1012,0.42807,0.48950
1985,Lower Saxony,Single,0.21011,268,1012,0.18500,0.23523
1985,Lower Saxony,Divorced,0.02637,31,1012,0.01649,0.03624
1985,Lower Saxony,Widowed,0.08124,69,1012,0.06440,0.09808
1985,Bremen,Married,0.42070,65,65,0.29975,0.54165
1985,North Rhine-Westphalia,Married,0.45169,1773,2749,0.43308,0.47030
1985,North Rhine-Westphalia,"Married, living apart",0.01368,57,2749,0.00934,0.01802
1985,North Rhine-Westphalia,Single,0.19114,670,2749,0.17644,0.20584
1985,North Rhine-Westphalia,Divorced,0.03254,90,2749,0.02591,0.03917
1985,North Rhine-Westphalia,Widowed,0.08233,159,2749,0.07205,0.09260
1985,Hesse,Married,0.47340,682,976,0.44206,0.50474
1985,Hesse,Single,0.18475,236,976,0.16039,0.20911
1985,Hesse,Widowed,0.08479,58,976,0.06730,0.10227
1985,"Rhineland-Palatinate, Saarland",Married,0.48733,470,707,0.45046,0.52420
1985,"Rhineland-Palatinate, Saarland",Single,0.17529,170,707,0.14724,0.20334
1985,"Rhineland-Palatinate, Saarland",Widowed,0.11266,67,707,0.08933,0.13598
1985,Baden-Wuerttemberg,Married,0.43975,1245,1896,0.41740,0.46210
1985,Baden-Wuerttemberg,"Married, living apart",0.01463,41,1896,0.00923,0.02004
1985,Baden-Wuerttemberg,Single,0.19445,454,1896,0.17663,0.21227
1985,Baden-Wuerttemberg,Divorced,0.02991,52,1896,0.02224,0.03758
1985,Baden-Wuerttemberg,Widowed,0.08023,104,1896,0.06800,0.09246
1985,Bavaria,Married,0.45175,1133,1689,0.42801,0.47549
1985,Bavaria,Single,0.18904,413,1689,0.17037,0.20772
1985,Bavaria,Divorced,0.02362,41,1689,0.01638,0.03087
1985,Bavaria,Widowed,0.07238,102,1689,0.06002,0.08474
1985,Berlin,Married,0.34045,186,271,0.28393,0.39697
1985,Berlin,Single,0.20774,85,271,0.15935,0.25613
1986,Schleswig-Holstein,Married,0.47830,198,274,0.41905,0.53756
1986,Schleswig-Holstein,Single,0.18999,76,274,0.14346,0.23653
1986,Hamburg,Married,0.41535,142,198,0.34654,0.48417
1986,Hamburg,Single,0.22331,56,198,0.16515,0.28146
1986,Lower Saxony,Married,0.49815,687,1086,0.46840,0.52790
1986,Lower Saxony,Single,0.22635,297,1086,0.20145,0.25125
1986,Lower Saxony,Divorced,0.02986,34,1086,0.01973,0.03999
1986,Lower Saxony,Widowed,0.08029,68,1086,0.06412,0.09646
1986,Bremen,Married,0.45052,65,65,0.32863,0.57242
1986,North Rhine-Westphalia,Married,0.48087,1808,2816,0.46241,0.49933
1986,North Rhine-Westphalia,"Married, living apart",0.02017,80,2816,0.01497,0.02536
1986,North Rhine-Westphalia,Single,0.19444,673,2816,0.17982,0.20906
1986,North Rhine-Westphalia,Divorced,0.03449,95,2816,0.02775,0.04124
1986,North Rhine-Westphalia,Widowed,0.08704,160,2816,0.07662,0.09745
1986,Hesse,Married,0.50965,678,1003,0.47870,0.54061
1986,Hesse,Single,0.19974,241,1003,0.17499,0.22450
1986,Hesse,Divorced,0.02576,31,1003,0.01595,0.03557
1986,Hesse,Widowed,0.08814,53,1003,0.07059,0.10570
1986,"Rhineland-Palatinate, Saarland",Married,0.49861,481,724,0.46216,0.53506
1986,"Rhineland-Palatinate, Saarland",Single,0.18166,176,724,0.15355,0.20976
1986,"Rhineland-Palatinate, Saarland",Widowed,0.12042,67,724,0.09670,0.14415
1986,Baden-Wuerttemberg,Married,0.48558,1273,1950,0.46339,0.50777
1986,Baden-Wuerttemberg,"Married, living apart",0.01401,44,1950,0.00879,0.01923
1986,Baden-Wuerttemberg,Single,0.20143,480,1950,0.18362,0.21924
1986,Baden-Wuerttemberg,Divorced,0.03115,54,1950,0.02344,0.03886
1986,Baden-Wuerttemberg,Widowed,0.08204,99,1950,0.06986,0.09422
1986,Bavaria,Married,0.49737,1151,1743,0.47389,0.52085
1986,Bavaria,"Married, living apart",0.01584,31,1743,0.00998,0.02171
1986,Bavaria,Single,0.19859,418,1743,0.17986,0.21733
1986,Bavaria,Divorced,0.02713,44,1743,0.01950,0.03476
1986,Bavaria,Widowed,0.07849,99,1743,0.06586,0.09112
1986,Berlin,Married,0.36717,192,281,0.31071,0.42364
1986,Berlin,Single,0.23108,89,281,0.18170,0.28045
1987,Schleswig-Holstein,Married,0.49415,203,283,0.43580,0.55251
1987,Schleswig-Holstein,Single,0.18285,80,283,0.13774,0.22797
1987,Hamburg,Married,0.42683,130,175,0.35334,0.50033
1987,Hamburg,Single,0.19870,45,175,0.13941,0.25799
1987,Lower Saxony,Married,0.49952,681,1082,0.46971,0.52932
1987,Lower Saxony,Single,0.21783,295,1082,0.19322,0.24243
1987,Lower Saxony,Divorced,0.03182,38,1082,0.02136,0.04228
1987,Lower Saxony,Widowed,0.08144,68,1082,0.06513,0.09774
1987,Bremen,Married,0.43308,58,58,0.30444,0.56171
1987,North Rhine-Westphalia,Married,0.47888,1785,2805,0.46039,0.49737
1987,North Rhine-Westphalia,"Married, living apart",0.01546,70,2805,0.01090,0.02003
1987,North Rhine-Westphalia,Single,0.19318,676,2805,0.17857,0.20779
1987,North Rhine-Westphalia,Divorced,0.04112,108,2805,0.03377,0.04847
1987,North Rhine-Westphalia,Widowed,0.09039,166,2805,0.07978,0.10100
1987,Hesse,Married,0.52340,693,1028,0.49285,0.55394
1987,Hesse,Single,0.19374,246,1028,0.16956,0.21791
1987,Hesse,Divorced,0.02870,35,1028,0.01848,0.03891
1987,Hesse,Widowed,0.08604,54,1028,0.06889,0.10320
1987,"Rhineland-Palatinate, Saarland",Married,0.50121,479,729,0.46488,0.53753
1987,"Rhineland-Palatinate, Saarland",Single,0.18679,182,729,0.15848,0.21510
1987,"Rhineland-Palatinate, Saarland",Widowed,0.12316,68,729,0.09929,0.14703
1987,Baden-Wuerttemberg,Married,0.48877,1267,1938,0.46651,0.51103
1987,Baden-Wuerttemberg,"Married, living apart",0.01006,36,1938,0.00562,0.01450
1987,Baden-Wuerttemberg,Single,0.19635,475,1938,0.17866,0.21404
1987,Baden-Wuerttemberg,Divorced,0.03156,57,1938,0.02377,0.03934
1987,Baden-Wuerttemberg,Widowed,0.08297,103,1938,0.07069,0.09526
1987,Bavaria,Married,0.49397,1100,1707,0.47024,0.51769
1987,Bavaria,"Married, living apart",0.01824,38,1707,0.01189,0.02459
1987,Bavaria,Single,0.19448,418,1707,0.17570,0.21326
1987,Bavaria,Divorced,0.03009,47,1707,0.02199,0.03820
1987,Bavaria,Widowed,0.07924,104,1707,0.06642,0.09206
1987,Berlin,Married,0.37465,197,286,0.31845,0.43085
1987,Berlin,Single,0.22563,89,286,0.17710,0.27416
1988,Schleswig-Holstein,Married,0.51082,210,283,0.45248,0.56917
1988,Schleswig-Holstein,Single,0.16521,73,283,0.12186,0.20855
