year,quintil_oecd,marstat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,Married,0.32306,1282,2083,0.30297,0.34315
1984,1st Quintile,"Married, living apart",0.01255,41,2083,0.00777,0.01733
1984,1st Quintile,Single,0.15368,495,2083,0.13819,0.16917
1984,1st Quintile,Divorced,0.03274,77,2083,0.02509,0.04038
1984,1st Quintile,Widowed,0.11472,188,2083,0.10103,0.12841
1984,2nd Quintile,Married,0.42245,1397,2034,0.40098,0.44392
1984,2nd Quintile,Single,0.14169,420,2034,0.12653,0.15685
1984,2nd Quintile,Divorced,0.02745,73,2034,0.02035,0.03455
1984,2nd Quintile,Widowed,0.08319,144,2034,0.07118,0.09519
1984,3rd Quintile,Married,0.46102,1432,2067,0.43953,0.48252
1984,3rd Quintile,Single,0.16898,458,2067,0.15282,0.18514
1984,3rd Quintile,Divorced,0.02283,56,2067,0.01639,0.02927
1984,3rd Quintile,Widowed,0.06736,121,2067,0.05655,0.07816
1984,4th Quintile,Married,0.49095,1481,2214,0.47012,0.51178
1984,4th Quintile,"Married, living apart",0.01069,40,2214,0.00640,0.01497
1984,4th Quintile,Single,0.17925,511,2214,0.16327,0.19523
1984,4th Quintile,Divorced,0.02661,67,2214,0.01991,0.03332
1984,4th Quintile,Widowed,0.06139,115,2214,0.05139,0.07139
1984,5th Quintile,Married,0.53422,1501,2166,0.51321,0.55523
1984,5th Quintile,"Married, living apart",0.01424,45,2166,0.00925,0.01923
1984,5th Quintile,Single,0.17211,448,2166,0.15621,0.18801
1984,5th Quintile,Divorced,0.03116,70,2166,0.02384,0.03848
1984,5th Quintile,Widowed,0.05714,102,2166,0.04736,0.06692
1985,1st Quintile,Married,0.33089,1214,2044,0.31049,0.35130
1985,1st Quintile,"Married, living apart",0.01449,46,2044,0.00931,0.01967
1985,1st Quintile,Single,0.19663,534,2044,0.17940,0.21387
1985,1st Quintile,Divorced,0.04043,79,2044,0.03189,0.04897
