year,migback,marstat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,Married,0.44802,4917,7671,0.43689,0.45915
1984,No migration background,"Married, living apart",0.00855,84,7671,0.00649,0.01062
1984,No migration background,Single,0.17022,1777,7671,0.16181,0.17863
1984,No migration background,Divorced,0.02913,284,7671,0.02536,0.03289
1984,No migration background,Widowed,0.08242,609,7671,0.07627,0.08858
1984,Direct migration background,Married,0.54381,2148,2853,0.52553,0.56209
1984,Direct migration background,"Married, living apart",0.03321,97,2853,0.02664,0.03979
1984,Direct migration background,Single,0.12551,487,2853,0.11335,0.13767
1984,Direct migration background,Divorced,0.02536,58,2853,0.01959,0.03113
1984,Direct migration background,Widowed,0.04326,63,2853,0.03580,0.05073
1984,Indirect migration background,Single,0.05814,74,74,0.00446,0.11182
1985,No migration background,Married,0.44783,4512,7362,0.43647,0.45919
1985,No migration background,"Married, living apart",0.01022,100,7362,0.00792,0.01252
1985,No migration background,Single,0.19991,1876,7362,0.19078,0.20905
1985,No migration background,Divorced,0.03382,280,7362,0.02969,0.03795
1985,No migration background,Widowed,0.09261,594,7362,0.08599,0.09923
1985,Direct migration background,Married,0.58797,1993,2665,0.56928,0.60666
1985,Direct migration background,"Married, living apart",0.03490,89,2665,0.02793,0.04187
1985,Direct migration background,Single,0.14416,472,2665,0.13082,0.15750
1985,Direct migration background,Divorced,0.02480,52,2665,0.01889,0.03070
1985,Direct migration background,Widowed,0.05388,59,2665,0.04531,0.06246
1985,Indirect migration background,Single,0.08467,100,100,0.02983,0.13950
1986,No migration background,Married,0.48849,4659,7519,0.47719,0.49979
1986,No migration background,"Married, living apart",0.01438,120,7519,0.01169,0.01707
1986,No migration background,Single,0.21005,1887,7519,0.20084,0.21925
1986,No migration background,Divorced,0.03633,286,7519,0.03210,0.04056
1986,No migration background,Widowed,0.09592,567,7519,0.08926,0.10257
1986,Direct migration background,Married,0.60731,1988,2750,0.58905,0.62557
1986,Direct migration background,"Married, living apart",0.04757,123,2750,0.03961,0.05552
1986,Direct migration background,Single,0.15128,520,2750,0.13789,0.16468
1986,Direct migration background,Divorced,0.03190,59,2750,0.02533,0.03847
1986,Direct migration background,Widowed,0.06039,60,2750,0.05148,0.06929
1986,Indirect migration background,Single,0.09000,118,118,0.03814,0.14186
1987,No migration background,Married,0.48900,4548,7427,0.47763,0.50037
1987,No migration background,"Married, living apart",0.01233,105,7427,0.00982,0.01484
1987,No migration background,Single,0.20689,1888,7427,0.19768,0.21610
1987,No migration background,Divorced,0.03916,302,7427,0.03474,0.04357
1987,No migration background,Widowed,0.09817,584,7427,0.09140,0.10494
1987,Direct migration background,Married,0.63772,2010,2770,0.61982,0.65562
1987,Direct migration background,"Married, living apart",0.03516,115,2770,0.02830,0.04202
1987,Direct migration background,Single,0.14564,511,2770,0.13250,0.15878
1987,Direct migration background,Divorced,0.03784,70,2770,0.03074,0.04495
1987,Direct migration background,Widowed,0.06121,64,2770,0.05228,0.07014
1987,Indirect migration background,Married,0.03348,35,164,0.00586,0.06109
1987,Indirect migration background,Single,0.08707,129,164,0.04379,0.13035
1988,No migration background,Married,0.48451,4308,7045,0.47284,0.49618
1988,No migration background,"Married, living apart",0.01850,141,7045,0.01535,0.02164
1988,No migration background,Single,0.20725,1767,7045,0.19779,0.21672
1988,No migration background,Divorced,0.03841,276,7045,0.03393,0.04290
1988,No migration background,Widowed,0.09658,553,7045,0.08968,0.10348
1988,Direct migration background,Married,0.64252,1945,2648,0.62426,0.66077
1988,Direct migration background,"Married, living apart",0.03241,102,2648,0.02566,0.03915
1988,Direct migration background,Single,0.14577,465,2648,0.13233,0.15921
1988,Direct migration background,Divorced,0.04490,71,2648,0.03701,0.05279
1988,Direct migration background,Widowed,0.06126,65,2648,0.05212,0.07039
1988,Indirect migration background,Married,0.03525,41,209,0.01019,0.06031
1988,Indirect migration background,Single,0.11047,168,209,0.06786,0.15307
1989,No migration background,Married,0.48078,4087,6783,0.46889,0.49267
1989,No migration background,"Married, living apart",0.01777,130,6783,0.01463,0.02091
1989,No migration background,Single,0.20888,1733,6783,0.19920,0.21855
1989,No migration background,Divorced,0.04302,290,6783,0.03820,0.04785
1989,No migration background,Widowed,0.09647,543,6783,0.08944,0.10349
1989,Direct migration background,Married,0.65706,1909,2570,0.63870,0.67541
1989,Direct migration background,"Married, living apart",0.02700,86,2570,0.02073,0.03327
1989,Direct migration background,Single,0.14619,432,2570,0.13253,0.15985
1989,Direct migration background,Divorced,0.04655,79,2570,0.03840,0.05470
1989,Direct migration background,Widowed,0.05867,64,2570,0.04958,0.06776
1989,Indirect migration background,Married,0.03558,45,244,0.01229,0.05887
1989,Indirect migration background,Single,0.13002,199,244,0.08774,0.17231
1990,No migration background,Married,0.48035,6960,10873,0.47096,0.48975
1990,No migration background,"Married, living apart",0.01322,142,10873,0.01107,0.01537
1990,No migration background,Single,0.19706,2428,10873,0.18959,0.20454
1990,No migration background,Divorced,0.04889,557,10873,0.04484,0.05294
1990,No migration background,Widowed,0.08951,786,10873,0.08415,0.09488
1990,Direct migration background,Married,0.66544,1985,2659,0.64750,0.68338
1990,Direct migration background,"Married, living apart",0.03082,95,2659,0.02425,0.03739
1990,Direct migration background,Single,0.13877,409,2659,0.12563,0.15191
1990,Direct migration background,Divorced,0.05317,90,2659,0.04464,0.06170
1990,Direct migration background,Widowed,0.06033,80,2659,0.05128,0.06938
1990,Indirect migration background,Married,0.04183,53,285,0.01855,0.06511
1990,Indirect migration background,Single,0.13006,232,285,0.09094,0.16918
1991,No migration background,Married,0.47950,6762,10571,0.46997,0.48902
1991,No migration background,"Married, living apart",0.01316,135,10571,0.01099,0.01533
1991,No migration background,Single,0.19448,2372,10571,0.18693,0.20202
1991,No migration background,Divorced,0.05184,551,10571,0.04761,0.05606
1991,No migration background,Widowed,0.09210,751,10571,0.08659,0.09761
1991,Direct migration background,Married,0.68490,1986,2613,0.66709,0.70272
1991,Direct migration background,"Married, living apart",0.02998,87,2613,0.02344,0.03652
1991,Direct migration background,Single,0.12985,370,2613,0.11696,0.14274
1991,Direct migration background,Divorced,0.05111,91,2613,0.04266,0.05955
1991,Direct migration background,Widowed,0.06237,79,2613,0.05310,0.07164
1991,Indirect migration background,Married,0.04169,61,337,0.02032,0.06306
1991,Indirect migration background,Single,0.15047,276,337,0.11224,0.18870
1992,No migration background,Married,0.48191,6579,10319,0.47227,0.49156
1992,No migration background,"Married, living apart",0.01354,142,10319,0.01131,0.01577
1992,No migration background,Single,0.19153,2332,10319,0.18394,0.19912
1992,No migration background,Divorced,0.05158,545,10319,0.04731,0.05584
1992,No migration background,Widowed,0.09038,721,10319,0.08485,0.09591
1992,Direct migration background,Married,0.69747,1946,2540,0.67960,0.71533
1992,Direct migration background,"Married, living apart",0.02996,85,2540,0.02333,0.03659
1992,Direct migration background,Single,0.12848,339,2540,0.11546,0.14150
1992,Direct migration background,Divorced,0.05147,84,2540,0.04288,0.06007
1992,Direct migration background,Widowed,0.06410,86,2540,0.05457,0.07362
1992,Indirect migration background,Married,0.04682,73,393,0.02590,0.06773
1992,Indirect migration background,Single,0.19011,320,393,0.15127,0.22896
1993,No migration background,Married,0.48104,6393,10112,0.47130,0.49078
1993,No migration background,"Married, living apart",0.01609,173,10112,0.01364,0.01854
1993,No migration background,Single,0.18651,2296,10112,0.17891,0.19410
1993,No migration background,Divorced,0.05222,535,10112,0.04788,0.05655
1993,No migration background,Widowed,0.09042,715,10112,0.08483,0.09601
1993,Direct migration background,Married,0.69539,1890,2465,0.67722,0.71357
1993,Direct migration background,"Married, living apart",0.03414,89,2465,0.02697,0.04131
1993,Direct migration background,Single,0.13375,316,2465,0.12031,0.14719
1993,Direct migration background,Divorced,0.05142,83,2465,0.04270,0.06015
1993,Direct migration background,Widowed,0.06195,87,2465,0.05243,0.07146
1993,Indirect migration background,Married,0.05643,90,447,0.03502,0.07785
1993,Indirect migration background,Single,0.22869,357,447,0.18972,0.26767
1994,No migration background,Married,0.47981,6259,9978,0.47001,0.48961
1994,No migration background,"Married, living apart",0.01709,191,9978,0.01455,0.01964
1994,No migration background,Single,0.18518,2295,9978,0.17755,0.19280
1994,No migration background,Divorced,0.05180,530,9978,0.04745,0.05614
1994,No migration background,Widowed,0.09072,703,9978,0.08509,0.09636
1994,Direct migration background,Married,0.69735,1817,2347,0.67876,0.71594
1994,Direct migration background,"Married, living apart",0.03479,76,2347,0.02738,0.04221
1994,Direct migration background,Single,0.12138,278,2347,0.10817,0.13460
1994,Direct migration background,Divorced,0.05763,85,2347,0.04820,0.06706
1994,Direct migration background,Widowed,0.06813,91,2347,0.05793,0.07832
1994,Indirect migration background,Married,0.05711,102,468,0.03606,0.07815
1994,Indirect migration background,Single,0.24055,366,468,0.20179,0.27932
1995,No migration background,Married,0.47803,6195,9953,0.46821,0.48784
1995,No migration background,"Married, living apart",0.01467,174,9953,0.01231,0.01703
1995,No migration background,Single,0.18385,2314,9953,0.17624,0.19146
1995,No migration background,Divorced,0.05661,584,9953,0.05207,0.06115
1995,No migration background,Widowed,0.09181,686,9953,0.08613,0.09748
1995,Direct migration background,Married,0.65499,2129,2768,0.63728,0.67270
1995,Direct migration background,"Married, living apart",0.02434,68,2768,0.01860,0.03008
1995,Direct migration background,Single,0.13805,364,2768,0.12520,0.15090
1995,Direct migration background,Divorced,0.05330,95,2768,0.04493,0.06167
1995,Direct migration background,Widowed,0.06286,112,2768,0.05382,0.07191
1995,Indirect migration background,Married,0.06119,113,486,0.03986,0.08252
1995,Indirect migration background,Single,0.23724,373,486,0.19938,0.27510
1996,No migration background,Married,0.47526,6079,9863,0.46541,0.48512
1996,No migration background,"Married, living apart",0.01743,191,9863,0.01485,0.02001
1996,No migration background,Single,0.18917,2352,9863,0.18144,0.19690
1996,No migration background,Divorced,0.05709,575,9863,0.05251,0.06167
1996,No migration background,Widowed,0.08923,666,9863,0.08361,0.09486
1996,Direct migration background,Married,0.65365,1986,2594,0.63533,0.67196
1996,Direct migration background,"Married, living apart",0.03138,86,2594,0.02467,0.03809
1996,Direct migration background,Single,0.13512,322,2594,0.12196,0.14827
1996,Direct migration background,Divorced,0.05192,89,2594,0.04338,0.06046
1996,Direct migration background,Widowed,0.06740,111,2594,0.05775,0.07705
1996,Indirect migration background,Married,0.06976,130,526,0.04797,0.09155
1996,Indirect migration background,Single,0.24073,396,526,0.20416,0.27731
1997,No migration background,Married,0.46873,5941,9739,0.45882,0.47864
1997,No migration background,"Married, living apart",0.01873,201,9739,0.01604,0.02143
1997,No migration background,Single,0.19134,2351,9739,0.18352,0.19915
1997,No migration background,Divorced,0.05965,593,9739,0.05495,0.06436
1997,No migration background,Widowed,0.08902,653,9739,0.08337,0.09468
1997,Direct migration background,Married,0.66365,1893,2464,0.64500,0.68231
1997,Direct migration background,"Married, living apart",0.03393,84,2464,0.02678,0.04108
1997,Direct migration background,Single,0.12264,292,2464,0.10969,0.13560
1997,Direct migration background,Divorced,0.05099,83,2464,0.04231,0.05968
1997,Direct migration background,Widowed,0.06912,112,2464,0.05910,0.07913
1997,Indirect migration background,Married,0.07467,133,544,0.05256,0.09678
1997,Indirect migration background,Single,0.26500,411,544,0.22788,0.30212
1998,No migration background,Married,0.47444,6814,11184,0.46519,0.48370
1998,No migration background,"Married, living apart",0.01912,222,11184,0.01658,0.02165
1998,No migration background,Single,0.19189,2699,11184,0.18459,0.19919
1998,No migration background,Divorced,0.06001,701,11184,0.05561,0.06441
1998,No migration background,Widowed,0.08605,748,11184,0.08085,0.09125
1998,Direct migration background,Married,0.66146,1826,2395,0.64251,0.68042
1998,Direct migration background,"Married, living apart",0.03654,86,2395,0.02902,0.04405
1998,Direct migration background,Single,0.11660,274,2395,0.10374,0.12946
1998,Direct migration background,Divorced,0.05455,91,2395,0.04546,0.06365
1998,Direct migration background,Widowed,0.07177,118,2395,0.06143,0.08211
1998,Indirect migration background,Married,0.08433,145,568,0.06146,0.10721
1998,Indirect migration background,Single,0.28310,423,568,0.24601,0.32018
1999,No migration background,Married,0.46756,6477,10810,0.45815,0.47696
1999,No migration background,"Married, living apart",0.01830,216,10810,0.01577,0.02082
1999,No migration background,Single,0.19770,2679,10810,0.19019,0.20520
1999,No migration background,Divorced,0.06487,723,10810,0.06023,0.06951
1999,No migration background,Widowed,0.08651,715,10810,0.08121,0.09181
1999,Direct migration background,Married,0.67161,1688,2200,0.65198,0.69124
1999,Direct migration background,"Married, living apart",0.03706,77,2200,0.02917,0.04496
1999,Direct migration background,Single,0.10862,236,2200,0.09562,0.12163
1999,Direct migration background,Divorced,0.06006,94,2200,0.05013,0.06999
1999,Direct migration background,Widowed,0.06839,105,2200,0.05784,0.07894
1999,Indirect migration background,Married,0.08588,152,569,0.06283,0.10892
1999,Indirect migration background,Single,0.28038,417,569,0.24344,0.31732
2000,No migration background,Married,0.48122,12244,19905,0.47428,0.48816
2000,No migration background,"Married, living apart",0.01711,387,19905,0.01531,0.01891
2000,No migration background,Single,0.19624,4585,19905,0.19072,0.20175
2000,No migration background,Divorced,0.06188,1289,19905,0.05853,0.06522
2000,No migration background,Widowed,0.08385,1400,19905,0.08000,0.08770
2000,Direct migration background,Married,0.64836,2488,3297,0.63206,0.66467
2000,Direct migration background,"Married, living apart",0.02715,94,3297,0.02160,0.03269
2000,Direct migration background,Single,0.12757,411,3297,0.11618,0.13896
2000,Direct migration background,Divorced,0.05557,151,3297,0.04775,0.06340
2000,Direct migration background,Widowed,0.05581,153,3297,0.04797,0.06365
2000,Indirect migration background,Married,0.10759,237,773,0.08573,0.12945
2000,Indirect migration background,Single,0.25544,536,773,0.22468,0.28621
2001,No migration background,Married,0.47422,11054,18161,0.46696,0.48148
2001,No migration background,"Married, living apart",0.01750,362,18161,0.01559,0.01941
2001,No migration background,Single,0.20230,4271,18161,0.19646,0.20814
2001,No migration background,Divorced,0.06537,1209,18161,0.06177,0.06896
2001,No migration background,Widowed,0.08300,1265,18161,0.07899,0.08701
2001,Direct migration background,Married,0.64979,2188,2911,0.63246,0.66713
2001,Direct migration background,"Married, living apart",0.02790,83,2911,0.02192,0.03388
2001,Direct migration background,Single,0.13804,364,2911,0.12551,0.15058
2001,Direct migration background,Divorced,0.06114,143,2911,0.05244,0.06985
2001,Direct migration background,Widowed,0.05637,133,2911,0.04799,0.06475
2001,Indirect migration background,Married,0.11070,238,721,0.08778,0.13361
2001,Indirect migration background,Single,0.23574,483,721,0.20473,0.26674
2002,No migration background,Married,0.47124,11960,19377,0.46421,0.47827
2002,No migration background,"Married, living apart",0.01676,363,19377,0.01495,0.01856
2002,No migration background,Single,0.20508,4528,19377,0.19939,0.21076
2002,No migration background,Divorced,0.06884,1286,19377,0.06528,0.07241
2002,No migration background,Widowed,0.08217,1240,19377,0.07830,0.08603
2002,Direct migration background,Married,0.64503,2070,2786,0.62726,0.66280
2002,Direct migration background,"Married, living apart",0.03518,88,2786,0.02834,0.04203
2002,Direct migration background,Single,0.14162,356,2786,0.12867,0.15456
2002,Direct migration background,Divorced,0.06239,139,2786,0.05341,0.07137
2002,Direct migration background,Widowed,0.05524,133,2786,0.04675,0.06372
2002,Indirect migration background,Married,0.11424,249,725,0.09107,0.13741
2002,Indirect migration background,Single,0.23848,476,725,0.20744,0.26952
2003,No migration background,Married,0.46342,11307,18677,0.45627,0.47057
2003,No migration background,"Married, living apart",0.01788,376,18677,0.01598,0.01978
2003,No migration background,Single,0.21088,4508,18677,0.20503,0.21673
2003,No migration background,Divorced,0.07076,1260,18677,0.06708,0.07444
2003,No migration background,Widowed,0.08233,1226,18677,0.07839,0.08628
2003,Direct migration background,Married,0.65125,1934,2610,0.63296,0.66954
2003,Direct migration background,"Married, living apart",0.03102,84,2610,0.02437,0.03767
2003,Direct migration background,Single,0.13899,328,2610,0.12571,0.15226
2003,Direct migration background,Divorced,0.06781,137,2610,0.05816,0.07746
2003,Direct migration background,Widowed,0.05511,127,2610,0.04636,0.06387
2003,Indirect migration background,Married,0.11675,247,727,0.09339,0.14011
