year,pgisced97,marstat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Pre-primary Level,Single,0.85620,166,166,0.80266,0.90974
1984,Primary Level,Married,0.49459,655,755,0.45890,0.53028
1984,Primary Level,Single,0.22137,100,755,0.19174,0.25101
1984,Lower Secondary Level,Married,0.45862,1781,2954,0.44064,0.47659
1984,Lower Secondary Level,"Married, living apart",0.01039,39,2954,0.00673,0.01405
1984,Lower Secondary Level,Single,0.20139,731,2954,0.18692,0.21585
1984,Lower Secondary Level,Divorced,0.02595,80,2954,0.02021,0.03168
1984,Lower Secondary Level,Widowed,0.15681,323,2954,0.14369,0.16992
1984,Upper Secondary Level,Married,0.57946,3474,5050,0.56584,0.59308
1984,Upper Secondary Level,"Married, living apart",0.01128,78,5050,0.00837,0.01419
1984,Upper Secondary Level,Single,0.17877,1036,5050,0.16820,0.18934
1984,Upper Secondary Level,Divorced,0.03965,194,5050,0.03427,0.04503
1984,Upper Secondary Level,Widowed,0.07609,268,5050,0.06877,0.08340
1984,Post-secondary Non-tertiary Level,Married,0.45291,164,243,0.39020,0.51563
1984,Post-secondary Non-tertiary Level,Single,0.33253,79,243,0.27317,0.39189
1984,First Stage of Tertiary Education,Married,0.63195,442,561,0.59201,0.67190
1984,First Stage of Tertiary Education,Single,0.14188,86,561,0.11298,0.17078
1984,First Stage of Tertiary Education,Widowed,0.06755,33,561,0.04676,0.08834
1984,Second Stage of Tertiary Education,Married,0.64100,534,666,0.60454,0.67746
1984,Second Stage of Tertiary Education,Single,0.17008,132,666,0.14152,0.19863
1985,Pre-primary Level,Single,0.96888,177,177,0.94323,0.99453
1985,Primary Level,Married,0.51595,598,693,0.47872,0.55319
1985,Primary Level,Single,0.29282,95,693,0.25891,0.32672
1985,Lower Secondary Level,Married,0.45956,1623,2817,0.44115,0.47797
1985,Lower Secondary Level,"Married, living apart",0.01099,41,2817,0.00714,0.01485
1985,Lower Secondary Level,Single,0.23586,760,2817,0.22018,0.25154
1985,Lower Secondary Level,Divorced,0.03030,76,2817,0.02397,0.03664
1985,Lower Secondary Level,Widowed,0.17809,317,2817,0.16396,0.19223
1985,Upper Secondary Level,Married,0.57604,3189,4781,0.56203,0.59005
1985,Upper Secondary Level,"Married, living apart",0.01503,89,4781,0.01158,0.01847
1985,Upper Secondary Level,Single,0.19964,1061,4781,0.18831,0.21097
1985,Upper Secondary Level,Divorced,0.04349,182,4781,0.03771,0.04928
1985,Upper Secondary Level,Widowed,0.08545,260,4781,0.07752,0.09337
1985,Post-secondary Non-tertiary Level,Married,0.49506,158,240,0.43167,0.55844
1985,Post-secondary Non-tertiary Level,Single,0.35590,82,240,0.29520,0.41660
1985,First Stage of Tertiary Education,Married,0.61172,411,534,0.57035,0.65310
1985,First Stage of Tertiary Education,Single,0.16460,89,534,0.13312,0.19608
1985,First Stage of Tertiary Education,Widowed,0.07657,34,534,0.05400,0.09915
1985,Second Stage of Tertiary Education,Married,0.62089,503,643,0.58336,0.65842
1985,Second Stage of Tertiary Education,Single,0.20065,140,643,0.16967,0.23163
1986,Pre-primary Level,Single,0.97224,180,180,0.94818,0.99631
1986,Primary Level,Married,0.53777,583,721,0.50135,0.57419
1986,Primary Level,"Married, living apart",0.04040,34,721,0.02602,0.05478
1986,Primary Level,Single,0.29419,104,721,0.26091,0.32748
1986,Lower Secondary Level,Married,0.50602,1637,2839,0.48763,0.52441
1986,Lower Secondary Level,"Married, living apart",0.01376,50,2839,0.00947,0.01805
1986,Lower Secondary Level,Single,0.24756,781,2839,0.23168,0.26344
1986,Lower Secondary Level,Divorced,0.03108,75,2839,0.02470,0.03747
1986,Lower Secondary Level,Widowed,0.18310,296,2839,0.16887,0.19733
1986,Upper Secondary Level,Married,0.61330,3265,4937,0.59972,0.62689
1986,Upper Secondary Level,"Married, living apart",0.02245,118,4937,0.01831,0.02658
1986,Upper Secondary Level,Single,0.21637,1102,4937,0.20488,0.22786
1986,Upper Secondary Level,Divorced,0.04845,195,4937,0.04246,0.05444
1986,Upper Secondary Level,Widowed,0.09042,257,4937,0.08242,0.09843
1986,Post-secondary Non-tertiary Level,Married,0.51858,162,251,0.45664,0.58052
1986,Post-secondary Non-tertiary Level,Single,0.38736,89,251,0.32698,0.44775
1986,First Stage of Tertiary Education,Married,0.69181,431,547,0.65308,0.73054
1986,First Stage of Tertiary Education,Single,0.15998,85,547,0.12923,0.19073
1986,First Stage of Tertiary Education,Widowed,0.07913,31,547,0.05649,0.10177
1986,Second Stage of Tertiary Education,Married,0.66993,539,680,0.63456,0.70530
1986,Second Stage of Tertiary Education,Single,0.21223,141,680,0.18147,0.24298
1987,Pre-primary Level,Single,0.99708,189,189,0.98936,1.00479
1987,Primary Level,Married,0.58322,566,693,0.54648,0.61995
1987,Primary Level,"Married, living apart",0.05847,37,693,0.04098,0.07595
1987,Primary Level,Single,0.23681,90,693,0.20514,0.26849
1987,Lower Secondary Level,Married,0.51414,1592,2806,0.49564,0.53263
1987,Lower Secondary Level,"Married, living apart",0.01668,63,2806,0.01194,0.02142
1987,Lower Secondary Level,Single,0.22789,772,2806,0.21236,0.24341
1987,Lower Secondary Level,Divorced,0.03492,78,2806,0.02813,0.04171
1987,Lower Secondary Level,Widowed,0.19067,301,2806,0.17613,0.20521
1987,Upper Secondary Level,Married,0.61398,3262,4943,0.60041,0.62756
1987,Upper Secondary Level,"Married, living apart",0.01473,88,4943,0.01137,0.01809
1987,Upper Secondary Level,Single,0.22033,1113,4943,0.20877,0.23188
1987,Upper Secondary Level,Divorced,0.05260,210,4943,0.04638,0.05883
1987,Upper Secondary Level,Widowed,0.09230,270,4943,0.08423,0.10037
1987,Post-secondary Non-tertiary Level,Married,0.53280,167,251,0.47095,0.59464
1987,Post-secondary Non-tertiary Level,Single,0.38539,84,251,0.32506,0.44572
1987,First Stage of Tertiary Education,Married,0.69429,419,538,0.65533,0.73326
1987,First Stage of Tertiary Education,Single,0.16344,85,538,0.13216,0.19471
1987,First Stage of Tertiary Education,Widowed,0.08855,34,538,0.06453,0.11258
1987,Second Stage of Tertiary Education,Married,0.64982,524,702,0.61450,0.68513
1987,Second Stage of Tertiary Education,Single,0.22171,145,702,0.19096,0.25246
1987,Second Stage of Tertiary Education,Divorced,0.05169,33,702,0.03530,0.06808
1988,Pre-primary Level,Single,0.99035,162,162,0.97526,1.00545
1988,Primary Level,Married,0.60862,540,618,0.57011,0.64713
1988,Primary Level,Single,0.23996,78,618,0.20626,0.27366
1988,Lower Secondary Level,Married,0.51275,1524,2692,0.49387,0.53164
1988,Lower Secondary Level,"Married, living apart",0.02140,64,2692,0.01593,0.02686
1988,Lower Secondary Level,Single,0.22695,754,2692,0.21113,0.24278
1988,Lower Secondary Level,Divorced,0.03354,74,2692,0.02674,0.04034
1988,Lower Secondary Level,Widowed,0.18874,276,2692,0.17395,0.20352
1988,Upper Secondary Level,Married,0.60918,3117,4720,0.59526,0.62310
1988,Upper Secondary Level,"Married, living apart",0.02093,111,4720,0.01685,0.02502
1988,Upper Secondary Level,Single,0.21869,1035,4720,0.20690,0.23048
1988,Upper Secondary Level,Divorced,0.05309,193,4720,0.04669,0.05949
1988,Upper Secondary Level,Widowed,0.09232,264,4720,0.08406,0.10058
1988,Post-secondary Non-tertiary Level,Married,0.48901,156,245,0.42628,0.55173
1988,Post-secondary Non-tertiary Level,Single,0.41448,89,245,0.35267,0.47629
1988,First Stage of Tertiary Education,Married,0.69473,399,511,0.65476,0.73470
1988,First Stage of Tertiary Education,Single,0.16042,80,511,0.12857,0.19227
1988,First Stage of Tertiary Education,Widowed,0.08665,32,511,0.06224,0.11107
1988,Second Stage of Tertiary Education,Married,0.62408,484,659,0.58707,0.66109
1988,Second Stage of Tertiary Education,Single,0.23275,141,659,0.20046,0.26504
1988,Second Stage of Tertiary Education,Divorced,0.05582,34,659,0.03828,0.07336
1989,Pre-primary Level,Single,0.99432,174,174,0.98311,1.00552
1989,Primary Level,Married,0.60598,502,579,0.56615,0.64582
1989,Primary Level,Single,0.23866,77,579,0.20391,0.27341
1989,Lower Secondary Level,Married,0.50511,1444,2548,0.48569,0.52452
1989,Lower Secondary Level,"Married, living apart",0.01976,58,2548,0.01436,0.02517
1989,Lower Secondary Level,Single,0.22986,698,2548,0.21352,0.24620
1989,Lower Secondary Level,Divorced,0.03804,79,2548,0.03061,0.04547
1989,Lower Secondary Level,Widowed,0.19087,269,2548,0.17561,0.20613
1989,Upper Secondary Level,Married,0.61021,3004,4599,0.59611,0.62431
1989,Upper Secondary Level,"Married, living apart",0.02022,97,4599,0.01615,0.02429
1989,Upper Secondary Level,Single,0.21404,1035,4599,0.20219,0.22590
1989,Upper Secondary Level,Divorced,0.05696,201,4599,0.05026,0.06365
1989,Upper Secondary Level,Widowed,0.09235,262,4599,0.08398,0.10072
1989,Post-secondary Non-tertiary Level,Married,0.44499,154,263,0.38481,0.50517
1989,Post-secondary Non-tertiary Level,Single,0.44731,109,263,0.38711,0.50752
1989,First Stage of Tertiary Education,Married,0.70766,388,458,0.66596,0.74937
1989,First Stage of Tertiary Education,Single,0.14871,70,458,0.11609,0.18133
1989,Second Stage of Tertiary Education,Married,0.62565,476,654,0.58853,0.66277
1989,Second Stage of Tertiary Education,Single,0.22782,139,654,0.19565,0.25999
1989,Second Stage of Tertiary Education,Divorced,0.06757,39,654,0.04832,0.08682
1990,Pre-primary Level,Single,0.98825,192,192,0.97297,1.00353
1990,Primary Level,Married,0.57512,486,564,0.53429,0.61595
1990,Primary Level,Single,0.24534,78,564,0.20979,0.28088
1990,Lower Secondary Level,Married,0.48276,1588,2962,0.46476,0.50076
1990,Lower Secondary Level,"Married, living apart",0.02016,66,2962,0.01510,0.02522
1990,Lower Secondary Level,Single,0.23689,835,2962,0.22158,0.25221
1990,Lower Secondary Level,Divorced,0.04364,107,2962,0.03628,0.05099
1990,Lower Secondary Level,Widowed,0.20048,366,2962,0.18606,0.21490
1990,Upper Secondary Level,Married,0.61531,4716,7041,0.60395,0.62668
1990,Upper Secondary Level,"Married, living apart",0.01583,105,7041,0.01292,0.01875
1990,Upper Secondary Level,Single,0.21348,1460,7041,0.20390,0.22305
1990,Upper Secondary Level,Divorced,0.06340,372,7041,0.05771,0.06910
1990,Upper Secondary Level,Widowed,0.08672,388,7041,0.08015,0.09330
1990,Post-secondary Non-tertiary Level,Married,0.44304,207,348,0.39077,0.49531
1990,Post-secondary Non-tertiary Level,Single,0.48463,141,348,0.43205,0.53722
1990,First Stage of Tertiary Education,Married,0.70826,605,732,0.67531,0.74122
1990,First Stage of Tertiary Education,Single,0.13748,85,732,0.11252,0.16245
1990,First Stage of Tertiary Education,Widowed,0.08967,42,732,0.06896,0.11039
1990,Second Stage of Tertiary Education,Married,0.68303,1310,1665,0.66068,0.70539
1990,Second Stage of Tertiary Education,Single,0.17937,210,1665,0.16094,0.19780
1990,Second Stage of Tertiary Education,Divorced,0.08007,107,1665,0.06703,0.09311
1990,Second Stage of Tertiary Education,Widowed,0.03245,38,1665,0.02393,0.04096
1991,Primary Level,Married,0.56735,483,589,0.52731,0.60740
1991,Primary Level,Single,0.28444,106,589,0.24798,0.32091
1991,Lower Secondary Level,Married,0.48717,1549,2834,0.46876,0.50557
1991,Lower Secondary Level,"Married, living apart",0.01979,59,2834,0.01466,0.02492
1991,Lower Secondary Level,Single,0.22670,786,2834,0.21128,0.24212
1991,Lower Secondary Level,Divorced,0.04642,106,2834,0.03867,0.05417
1991,Lower Secondary Level,Widowed,0.20382,334,2834,0.18899,0.21866
1991,Upper Secondary Level,Married,0.60560,4577,6886,0.59405,0.61714
1991,Upper Secondary Level,"Married, living apart",0.01676,103,6886,0.01373,0.01979
1991,Upper Secondary Level,Single,0.21400,1458,6886,0.20431,0.22368
1991,Upper Secondary Level,Divorced,0.06575,364,6886,0.05990,0.07161
1991,Upper Secondary Level,Widowed,0.09281,384,6886,0.08595,0.09966
1991,Post-secondary Non-tertiary Level,Married,0.48082,217,359,0.42907,0.53258
1991,Post-secondary Non-tertiary Level,Single,0.45579,142,359,0.40420,0.50738
1991,First Stage of Tertiary Education,Married,0.71025,595,718,0.67704,0.74345
1991,First Stage of Tertiary Education,Single,0.13960,83,718,0.11423,0.16497
1991,First Stage of Tertiary Education,Widowed,0.08714,40,718,0.06650,0.10779
1991,Second Stage of Tertiary Education,Married,0.68776,1298,1653,0.66541,0.71010
1991,Second Stage of Tertiary Education,Single,0.17089,201,1653,0.15274,0.18904
1991,Second Stage of Tertiary Education,Divorced,0.08571,112,1653,0.07221,0.09920
1991,Second Stage of Tertiary Education,Widowed,0.03268,42,1653,0.02410,0.04125
1992,Pre-primary Level,Single,0.99210,187,187,0.97938,1.00482
1992,Primary Level,Married,0.59275,462,550,0.55165,0.63385
1992,Primary Level,Single,0.23313,88,550,0.19776,0.26850
1992,Lower Secondary Level,Married,0.49164,1508,2763,0.47300,0.51029
1992,Lower Secondary Level,"Married, living apart",0.01968,62,2763,0.01450,0.02486
1992,Lower Secondary Level,Single,0.22901,778,2763,0.21334,0.24469
1992,Lower Secondary Level,Divorced,0.04749,101,2763,0.03956,0.05542
1992,Lower Secondary Level,Widowed,0.19674,314,2763,0.18191,0.21156
1992,Upper Secondary Level,Married,0.60865,4448,6697,0.59696,0.62034
1992,Upper Secondary Level,"Married, living apart",0.01610,99,6697,0.01309,0.01912
1992,Upper Secondary Level,Single,0.21188,1413,6697,0.20210,0.22167
1992,Upper Secondary Level,Divorced,0.06583,359,6697,0.05989,0.07177
1992,Upper Secondary Level,Widowed,0.09235,378,6697,0.08541,0.09928
1992,Post-secondary Non-tertiary Level,Married,0.48282,219,358,0.43098,0.53465
1992,Post-secondary Non-tertiary Level,Single,0.42704,139,358,0.37573,0.47835
1992,First Stage of Tertiary Education,Married,0.70853,598,730,0.67554,0.74152
1992,First Stage of Tertiary Education,Single,0.14491,94,730,0.11936,0.17047
1992,First Stage of Tertiary Education,Widowed,0.08797,38,730,0.06741,0.10854
1992,Second Stage of Tertiary Education,Married,0.68870,1268,1630,0.66621,0.71118
1992,Second Stage of Tertiary Education,Single,0.17235,212,1630,0.15401,0.19069
1992,Second Stage of Tertiary Education,Divorced,0.08076,107,1630,0.06753,0.09399
1992,Second Stage of Tertiary Education,Widowed,0.03413,43,1630,0.02531,0.04295
1993,Pre-primary Level,Single,0.97759,183,183,0.95608,0.99909
1993,Primary Level,Married,0.59358,447,530,0.55172,0.63543
1993,Primary Level,Single,0.23190,83,530,0.19594,0.26787
1993,Lower Secondary Level,Married,0.48944,1457,2654,0.47042,0.50847
1993,Lower Secondary Level,"Married, living apart",0.02126,57,2654,0.01577,0.02675
1993,Lower Secondary Level,Single,0.22592,727,2654,0.21001,0.24184
1993,Lower Secondary Level,Divorced,0.04966,101,2654,0.04139,0.05793
1993,Lower Secondary Level,Widowed,0.19775,312,2654,0.18259,0.21291
1993,Upper Secondary Level,Married,0.60980,4352,6635,0.59807,0.62154
1993,Upper Secondary Level,"Married, living apart",0.01808,128,6635,0.01487,0.02129
1993,Upper Secondary Level,Single,0.20623,1427,6635,0.19650,0.21597
1993,Upper Secondary Level,Divorced,0.06756,352,6635,0.06152,0.07359
1993,Upper Secondary Level,Widowed,0.09182,376,6635,0.08487,0.09877
1993,Post-secondary Non-tertiary Level,Married,0.49951,218,361,0.44786,0.55116
1993,Post-secondary Non-tertiary Level,Single,0.42296,143,361,0.37192,0.47399
1993,First Stage of Tertiary Education,Married,0.70022,574,705,0.66637,0.73406
1993,First Stage of Tertiary Education,Single,0.14489,92,705,0.11889,0.17089
1993,First Stage of Tertiary Education,Widowed,0.09366,39,705,0.07214,0.11519
1993,Second Stage of Tertiary Education,Married,0.67189,1231,1606,0.64892,0.69486
1993,Second Stage of Tertiary Education,Single,0.18272,226,1606,0.16381,0.20163
1993,Second Stage of Tertiary Education,Divorced,0.08092,107,1606,0.06758,0.09426
1993,Second Stage of Tertiary Education,Widowed,0.03182,42,1606,0.02324,0.04041
1994,Pre-primary Level,Single,0.99593,239,239,0.98784,1.00402
1994,Primary Level,Married,0.62984,421,489,0.58700,0.67268
1994,Primary Level,Single,0.20563,68,489,0.16978,0.24149
1994,Lower Secondary Level,Married,0.48984,1365,2468,0.47011,0.50956
1994,Lower Secondary Level,"Married, living apart",0.02613,64,2468,0.01983,0.03242
1994,Lower Secondary Level,Single,0.20975,637,2468,0.19368,0.22581
1994,Lower Secondary Level,Divorced,0.05003,95,2468,0.04142,0.05863
1994,Lower Secondary Level,Widowed,0.20604,307,2468,0.19008,0.22200
1994,Upper Secondary Level,Married,0.61095,4270,6540,0.59913,0.62277
1994,Upper Secondary Level,"Married, living apart",0.02135,137,6540,0.01785,0.02486
1994,Upper Secondary Level,Single,0.20231,1409,6540,0.19257,0.21205
