year,quintil_oecd,sampreg,party,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,West,Not leaning towards specific party,0.48187,1385,2447,0.46206,0.50167
1984,1st Quintile,West,SPD,0.23998,572,2447,0.22305,0.25690
1984,1st Quintile,West,CDU/CSU,0.21698,370,2447,0.20064,0.23331
1984,1st Quintile,West,Bündnis90/Grüne,0.04666,120,2447,0.03830,0.05502
1984,2nd Quintile,West,Not leaning towards specific party,0.42585,1197,2348,0.40585,0.44586
1984,2nd Quintile,West,SPD,0.30885,674,2348,0.29016,0.32754
1984,2nd Quintile,West,CDU/CSU,0.22518,414,2348,0.20828,0.24208
1984,2nd Quintile,West,Bündnis90/Grüne,0.02630,63,2348,0.01983,0.03278
1984,3rd Quintile,West,Not leaning towards specific party,0.39988,1048,2296,0.37984,0.41993
1984,3rd Quintile,West,SPD,0.27788,656,2296,0.25956,0.29621
1984,3rd Quintile,West,CDU/CSU,0.26621,502,2296,0.24813,0.28429
1984,3rd Quintile,West,Bündnis90/Grüne,0.03669,90,2296,0.02900,0.04438
1984,4th Quintile,West,Not leaning towards specific party,0.39645,1104,2449,0.37707,0.41583
1984,4th Quintile,West,SPD,0.28427,684,2449,0.26640,0.30214
1984,4th Quintile,West,CDU/CSU,0.27638,563,2449,0.25867,0.29410
1984,4th Quintile,West,FDP,0.01658,36,2449,0.01152,0.02164
1984,4th Quintile,West,Bündnis90/Grüne,0.02415,62,2449,0.01807,0.03024
1984,5th Quintile,West,Not leaning towards specific party,0.34637,901,2387,0.32728,0.36546
1984,5th Quintile,West,SPD,0.23380,571,2387,0.21682,0.25079
1984,5th Quintile,West,CDU/CSU,0.34221,746,2387,0.32317,0.36125
1984,5th Quintile,West,FDP,0.03686,77,2387,0.02930,0.04442
1984,5th Quintile,West,Bündnis90/Grüne,0.03655,92,2387,0.02902,0.04408
1985,1st Quintile,West,Not leaning towards specific party,0.50354,1319,2208,0.48268,0.52440
1985,1st Quintile,West,SPD,0.21958,481,2208,0.20231,0.23685
1985,1st Quintile,West,CDU/CSU,0.20933,319,2208,0.19235,0.22630
1985,1st Quintile,West,Bündnis90/Grüne,0.04506,89,2208,0.03641,0.05372
1985,2nd Quintile,West,Not leaning towards specific party,0.43181,1076,2115,0.41070,0.45293
1985,2nd Quintile,West,SPD,0.29741,579,2115,0.27793,0.31690
1985,2nd Quintile,West,CDU/CSU,0.22446,385,2115,0.20667,0.24224
1985,2nd Quintile,West,Bündnis90/Grüne,0.02836,75,2115,0.02128,0.03543
1985,3rd Quintile,West,Not leaning towards specific party,0.40042,994,2162,0.37976,0.42108
1985,3rd Quintile,West,SPD,0.28865,620,2162,0.26955,0.30776
1985,3rd Quintile,West,CDU/CSU,0.25776,468,2162,0.23931,0.27620
