year,bula_h,pgisced97,party,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Lower Secondary Level,Not leaning towards specific party,0.39267,36,70,0.27744,0.50789
1984,Schleswig-Holstein,Lower Secondary Level,SPD,0.40213,34,70,0.28643,0.51782
1984,Schleswig-Holstein,Upper Secondary Level,Not leaning towards specific party,0.28057,65,209,0.21952,0.34163
1984,Schleswig-Holstein,Upper Secondary Level,SPD,0.39284,89,209,0.32647,0.45921
1984,Schleswig-Holstein,Upper Secondary Level,CDU/CSU,0.27783,55,209,0.21695,0.33870
1984,Hamburg,Lower Secondary Level,Not leaning towards specific party,0.38238,31,31,0.20848,0.55628
1984,Hamburg,Upper Secondary Level,Not leaning towards specific party,0.35446,57,143,0.27578,0.43314
1984,Hamburg,Upper Secondary Level,SPD,0.30309,49,143,0.22750,0.37869
1984,Hamburg,Upper Secondary Level,CDU/CSU,0.26428,37,143,0.19176,0.33681
1984,Lower Saxony,Primary Level,Not leaning towards specific party,0.71872,52,52,0.59531,0.84212
1984,Lower Saxony,Lower Secondary Level,Not leaning towards specific party,0.40886,174,352,0.35743,0.46029
1984,Lower Saxony,Lower Secondary Level,SPD,0.28296,95,352,0.23583,0.33008
1984,Lower Saxony,Lower Secondary Level,CDU/CSU,0.27978,83,352,0.23282,0.32674
1984,Lower Saxony,Upper Secondary Level,Not leaning towards specific party,0.39077,242,552,0.35003,0.43151
1984,Lower Saxony,Upper Secondary Level,SPD,0.32078,184,552,0.28180,0.35975
1984,Lower Saxony,Upper Secondary Level,CDU/CSU,0.23690,126,552,0.20139,0.27240
1984,Lower Saxony,First Stage of Tertiary Education,CDU/CSU,0.40987,31,31,0.23388,0.58586
1984,Bremen,Upper Secondary Level,Not leaning towards specific party,0.35267,31,31,0.18169,0.52365
1984,North Rhine-Westphalia,Pre-primary Level,Not leaning towards specific party,0.56931,34,34,0.40036,0.73826
1984,North Rhine-Westphalia,Primary Level,Not leaning towards specific party,0.65582,215,292,0.60123,0.71041
1984,North Rhine-Westphalia,Primary Level,SPD,0.26158,77,292,0.21108,0.31208
1984,North Rhine-Westphalia,Lower Secondary Level,Not leaning towards specific party,0.41915,427,823,0.38542,0.45289
1984,North Rhine-Westphalia,Lower Secondary Level,SPD,0.31811,257,823,0.28627,0.34995
1984,North Rhine-Westphalia,Lower Secondary Level,CDU/CSU,0.22718,139,823,0.19853,0.25582
1984,North Rhine-Westphalia,Upper Secondary Level,Not leaning towards specific party,0.35222,589,1496,0.32800,0.37643
1984,North Rhine-Westphalia,Upper Secondary Level,SPD,0.32263,482,1496,0.29893,0.34632
1984,North Rhine-Westphalia,Upper Secondary Level,CDU/CSU,0.28444,373,1496,0.26157,0.30730
1984,North Rhine-Westphalia,Upper Secondary Level,Bündnis90/Grüne,0.02822,52,1496,0.01982,0.03661
1984,North Rhine-Westphalia,Post-secondary Non-tertiary Level,SPD,0.33408,33,33,0.17065,0.49750
1984,North Rhine-Westphalia,First Stage of Tertiary Education,Not leaning towards specific party,0.29820,44,137,0.22131,0.37508
1984,North Rhine-Westphalia,First Stage of Tertiary Education,SPD,0.19769,32,137,0.13076,0.26463
1984,North Rhine-Westphalia,First Stage of Tertiary Education,CDU/CSU,0.41164,61,137,0.32893,0.49435
1984,North Rhine-Westphalia,Second Stage of Tertiary Education,Not leaning towards specific party,0.35497,79,199,0.28832,0.42163
1984,North Rhine-Westphalia,Second Stage of Tertiary Education,SPD,0.22608,55,199,0.16781,0.28434
1984,North Rhine-Westphalia,Second Stage of Tertiary Education,CDU/CSU,0.31435,65,199,0.24968,0.37902
1984,Hesse,Primary Level,Not leaning towards specific party,0.61895,74,74,0.50754,0.73036
1984,Hesse,Lower Secondary Level,Not leaning towards specific party,0.37466,173,334,0.32267,0.42665
1984,Hesse,Lower Secondary Level,SPD,0.36666,110,334,0.31490,0.41842
1984,Hesse,Lower Secondary Level,CDU/CSU,0.21013,51,334,0.16638,0.25389
1984,Hesse,Upper Secondary Level,Not leaning towards specific party,0.39426,248,539,0.35297,0.43556
1984,Hesse,Upper Secondary Level,SPD,0.30505,181,539,0.26614,0.34396
1984,Hesse,Upper Secondary Level,CDU/CSU,0.22987,110,539,0.19431,0.26542
1984,"Rhineland-Palatinate, Saarland",Primary Level,Not leaning towards specific party,0.52780,39,39,0.36906,0.68653
1984,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Not leaning towards specific party,0.49200,149,285,0.43386,0.55014
1984,"Rhineland-Palatinate, Saarland",Lower Secondary Level,SPD,0.27152,82,285,0.21980,0.32325
1984,"Rhineland-Palatinate, Saarland",Lower Secondary Level,CDU/CSU,0.19134,54,285,0.14559,0.23708
1984,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Not leaning towards specific party,0.45979,183,381,0.40968,0.50990
1984,"Rhineland-Palatinate, Saarland",Upper Secondary Level,SPD,0.28124,109,381,0.23603,0.32644
1984,"Rhineland-Palatinate, Saarland",Upper Secondary Level,CDU/CSU,0.23520,89,381,0.19255,0.27784
1984,Baden-Wuerttemberg,Primary Level,Not leaning towards specific party,0.82750,225,274,0.78269,0.87232
1984,Baden-Wuerttemberg,Primary Level,SPD,0.14667,49,274,0.10471,0.18864
1984,Baden-Wuerttemberg,Lower Secondary Level,Not leaning towards specific party,0.51364,394,661,0.47551,0.55177
1984,Baden-Wuerttemberg,Lower Secondary Level,SPD,0.17429,123,661,0.14535,0.20324
