year,sampreg,party,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,Not leaning towards specific party,0.33368,5646,12056,0.32526,0.34210
1984,West,SPD,0.21913,3159,12056,0.21174,0.22651
1984,West,CDU/CSU,0.21908,2602,12056,0.21170,0.22647
1984,West,FDP,0.01503,180,12056,0.01285,0.01720
1984,West,Bündnis90/Grüne,0.02787,429,12056,0.02494,0.03081
1984,West,Others,0.00298,40,12056,0.00201,0.00396
1985,West,Not leaning towards specific party,0.34858,5208,10955,0.33965,0.35750
1985,West,SPD,0.21687,2797,10955,0.20915,0.22458
1985,West,CDU/CSU,0.21475,2312,10955,0.20706,0.22244
1985,West,FDP,0.01880,197,10955,0.01626,0.02135
1985,West,Bündnis90/Grüne,0.02971,405,10955,0.02653,0.03289
1985,West,Others,0.00336,36,10955,0.00228,0.00444
1986,West,Not leaning towards specific party,0.34824,5050,10479,0.33912,0.35737
1986,West,SPD,0.22011,2683,10479,0.21218,0.22805
1986,West,CDU/CSU,0.21248,2194,10479,0.20465,0.22032
1986,West,FDP,0.01675,169,10479,0.01429,0.01921
1986,West,Bündnis90/Grüne,0.03008,383,10479,0.02681,0.03335
1987,West,Not leaning towards specific party,0.30293,4575,10375,0.29409,0.31177
1987,West,SPD,0.21898,2608,10375,0.21102,0.22694
1987,West,CDU/CSU,0.23790,2412,10375,0.22971,0.24609
1987,West,FDP,0.02820,277,10375,0.02502,0.03139
1987,West,Bündnis90/Grüne,0.03518,466,10375,0.03163,0.03872
1987,West,Others,0.00385,37,10375,0.00266,0.00504
1988,West,Not leaning towards specific party,0.33403,4709,9903,0.32474,0.34332
1988,West,SPD,0.23091,2591,9903,0.22261,0.23921
1988,West,CDU/CSU,0.20705,2004,9903,0.19907,0.21503
1988,West,FDP,0.02251,214,9903,0.01959,0.02543
1988,West,Bündnis90/Grüne,0.02830,337,9903,0.02503,0.03157
1988,West,Others,0.00520,48,9903,0.00378,0.00661
1989,West,Not leaning towards specific party,0.35098,4619,9585,0.34142,0.36054
1989,West,SPD,0.22690,2569,9585,0.21851,0.23528
1989,West,CDU/CSU,0.18577,1718,9585,0.17798,0.19355
1989,West,FDP,0.01491,138,9585,0.01248,0.01734
1989,West,Bündnis90/Grüne,0.02991,357,9585,0.02650,0.03332
1989,West,Others,0.01986,184,9585,0.01707,0.02266
1990,West,Not leaning towards specific party,0.33192,4356,9382,0.32239,0.34144
1990,West,SPD,0.24310,2653,9382,0.23442,0.25178
1990,West,CDU/CSU,0.19721,1808,9382,0.18916,0.20526
1990,West,FDP,0.02091,194,9382,0.01801,0.02380
1990,West,Bündnis90/Grüne,0.02581,299,9382,0.02260,0.02901
1990,West,Far right parties,0.00685,72,9382,0.00518,0.00852
1991,West,Not leaning towards specific party,0.30487,2892,7008,0.29409,0.31565
1991,West,SPD,0.20601,1884,7008,0.19654,0.21547
1991,West,CDU/CSU,0.19763,1764,7008,0.18831,0.20696
1991,West,FDP,0.02417,202,7008,0.02057,0.02777
1991,West,Bündnis90/Grüne,0.02335,221,7008,0.01981,0.02688
1991,West,Far right parties,0.00465,45,7008,0.00306,0.00625
1992,West,Not leaning towards specific party,0.39540,5055,9271,0.38545,0.40535
1992,West,SPD,0.19422,2079,9271,0.18617,0.20227
1992,West,CDU/CSU,0.17824,1614,9271,0.17045,0.18603
1992,West,FDP,0.01919,166,9271,0.01640,0.02199
1992,West,Bündnis90/Grüne,0.02324,271,9271,0.02017,0.02630
1992,West,Others,0.00841,86,9271,0.00655,0.01027
1992,East,Not leaning towards specific party,0.54355,2672,3961,0.52804,0.55907
1992,East,SPD,0.09841,463,3961,0.08913,0.10769
1992,East,CDU/CSU,0.09398,473,3961,0.08489,0.10307
1992,East,FDP,0.01576,80,3961,0.01188,0.01964
1992,East,Bündnis90/Grüne,0.02638,129,3961,0.02139,0.03137
1992,East,PDS/Linke,0.02545,113,3961,0.02055,0.03036
1992,East,Others,0.00696,31,3961,0.00437,0.00954
1993,West,Not leaning towards specific party,0.43872,5451,9218,0.42859,0.44885
1993,West,SPD,0.16720,1800,9218,0.15958,0.17482
1993,West,CDU/CSU,0.15052,1359,9218,0.14322,0.15782
1993,West,FDP,0.01786,147,9218,0.01515,0.02056
1993,West,Bündnis90/Grüne,0.03017,324,9218,0.02668,0.03366
1993,West,Far right parties,0.01177,105,9218,0.00957,0.01397
1993,West,Others,0.00349,32,9218,0.00228,0.00469
1993,East,Not leaning towards specific party,0.56731,2714,3803,0.55156,0.58306
1993,East,SPD,0.09138,414,3803,0.08222,0.10054
1993,East,CDU/CSU,0.07376,340,3803,0.06545,0.08207
1993,East,FDP,0.01228,55,3803,0.00878,0.01578
1993,East,Bündnis90/Grüne,0.02315,113,3803,0.01837,0.02793
1993,East,PDS/Linke,0.03291,133,3803,0.02724,0.03858
1993,East,Far right parties,0.00676,34,3803,0.00415,0.00936
1994,West,Not leaning towards specific party,0.41140,5096,9033,0.40125,0.42155
1994,West,SPD,0.19400,2026,9033,0.18584,0.20215
1994,West,CDU/CSU,0.15738,1388,9033,0.14987,0.16489
1994,West,FDP,0.01350,108,9033,0.01112,0.01588
1994,West,Bündnis90/Grüne,0.02964,305,9033,0.02614,0.03313
1994,West,Far right parties,0.00649,71,9033,0.00484,0.00815
1994,West,Others,0.00362,39,9033,0.00238,0.00486
1994,East,Not leaning towards specific party,0.55817,2630,3711,0.54219,0.57415
1994,East,SPD,0.08652,380,3711,0.07747,0.09557
1994,East,CDU/CSU,0.07986,357,3711,0.07113,0.08858
1994,East,FDP,0.00941,41,3711,0.00631,0.01252
1994,East,Bündnis90/Grüne,0.02574,111,3711,0.02064,0.03084
1994,East,PDS/Linke,0.04474,192,3711,0.03809,0.05139
1995,West,Not leaning towards specific party,0.38034,5087,9530,0.37060,0.39009
1995,West,SPD,0.19397,2071,9530,0.18603,0.20190
1995,West,CDU/CSU,0.17825,1718,9530,0.17057,0.18594
1995,West,FDP,0.01267,113,9530,0.01042,0.01491
1995,West,Bündnis90/Grüne,0.04226,461,9530,0.03822,0.04630
1995,West,Far right parties,0.00393,41,9530,0.00267,0.00518
1995,West,Others,0.00320,39,9530,0.00207,0.00434
1995,East,Not leaning towards specific party,0.50872,2339,3663,0.49253,0.52491
1995,East,SPD,0.09916,425,3663,0.08948,0.10884
1995,East,CDU/CSU,0.11825,522,3663,0.10780,0.12871
1995,East,FDP,0.00725,32,3663,0.00450,0.00999
1995,East,Bündnis90/Grüne,0.02392,102,3663,0.01897,0.02887
1995,East,PDS/Linke,0.06038,243,3663,0.05266,0.06809
1996,West,Not leaning towards specific party,0.39902,5148,9316,0.38908,0.40897
1996,West,SPD,0.16978,1815,9316,0.16216,0.17741
1996,West,CDU/CSU,0.18260,1712,9316,0.17476,0.19045
1996,West,FDP,0.01199,96,9316,0.00978,0.01420
1996,West,Bündnis90/Grüne,0.04299,454,9316,0.03888,0.04711
1996,West,Far right parties,0.00568,53,9316,0.00415,0.00720
1996,West,Others,0.00371,38,9316,0.00248,0.00495
1996,East,Not leaning towards specific party,0.54301,2445,3622,0.52678,0.55923
1996,East,SPD,0.07582,322,3622,0.06720,0.08445
1996,East,CDU/CSU,0.11044,487,3622,0.10023,0.12065
1996,East,Bündnis90/Grüne,0.02509,117,3622,0.01999,0.03018
1996,East,PDS/Linke,0.05947,251,3622,0.05177,0.06717
1997,West,Not leaning towards specific party,0.41187,5239,9149,0.40178,0.42196
1997,West,SPD,0.17793,1791,9149,0.17009,0.18577
1997,West,CDU/CSU,0.16676,1527,9149,0.15912,0.17439
1997,West,FDP,0.01039,85,9149,0.00831,0.01247
1997,West,Bündnis90/Grüne,0.03969,405,9149,0.03569,0.04369
1997,West,Far right parties,0.00634,66,9149,0.00471,0.00796
1997,West,Others,0.00361,36,9149,0.00238,0.00484
1997,East,Not leaning towards specific party,0.56118,2514,3597,0.54496,0.57740
1997,East,SPD,0.08571,343,3597,0.07656,0.09486
1997,East,CDU/CSU,0.09884,409,3597,0.08908,0.10859
1997,East,Bündnis90/Grüne,0.01886,80,3597,0.01441,0.02330
1997,East,PDS/Linke,0.05437,218,3597,0.04695,0.06178
1997,East,Far right parties,0.00768,33,3597,0.00483,0.01054
1998,West,Not leaning towards specific party,0.40564,5700,10295,0.39616,0.41513
1998,West,SPD,0.19174,2239,10295,0.18413,0.19934
1998,West,CDU/CSU,0.15517,1659,10295,0.14818,0.16217
1998,West,FDP,0.01147,108,10295,0.00942,0.01353
