year,regtyp,sex,party,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No answer / don't know,male,Not leaning towards specific party,0.38300,2590,5869,0.37056,0.39543
1984,No answer / don't know,male,SPD,0.28068,1656,5869,0.26918,0.29218
1984,No answer / don't know,male,CDU/CSU,0.27358,1302,5869,0.26217,0.28499
1984,No answer / don't know,male,FDP,0.02198,104,5869,0.01823,0.02573
1984,No answer / don't know,male,Bündnis90/Grüne,0.03579,217,5869,0.03104,0.04054
1984,No answer / don't know,female,Not leaning towards specific party,0.43019,3056,6147,0.41781,0.44257
1984,No answer / don't know,female,SPD,0.25669,1503,6147,0.24577,0.26761
1984,No answer / don't know,female,CDU/CSU,0.26288,1300,6147,0.25187,0.27388
1984,No answer / don't know,female,FDP,0.01518,76,6147,0.01213,0.01824
1984,No answer / don't know,female,Bündnis90/Grüne,0.03258,212,6147,0.02814,0.03702
1985,Urban regions,male,Not leaning towards specific party,0.38232,1879,4211,0.36764,0.39699
1985,Urban regions,male,SPD,0.28807,1202,4211,0.27439,0.30175
1985,Urban regions,male,CDU/CSU,0.25254,854,4211,0.23941,0.26566
1985,Urban regions,male,FDP,0.02690,92,4211,0.02201,0.03179
1985,Urban regions,male,Bündnis90/Grüne,0.04358,184,4211,0.03741,0.04975
1985,Urban regions,female,Not leaning towards specific party,0.44606,2252,4392,0.43136,0.46077
1985,Urban regions,female,SPD,0.25973,1077,4392,0.24676,0.27270
1985,Urban regions,female,CDU/CSU,0.23325,823,4392,0.22074,0.24576
1985,Urban regions,female,FDP,0.02092,68,4392,0.01669,0.02516
1985,Urban regions,female,Bündnis90/Grüne,0.03841,172,4392,0.03273,0.04410
1985,Rural regions,male,Not leaning towards specific party,0.39026,479,1089,0.36127,0.41925
1985,Rural regions,male,SPD,0.23785,282,1089,0.21255,0.26315
1985,Rural regions,male,CDU/CSU,0.32292,328,1089,0.29513,0.35070
1985,Rural regions,female,Not leaning towards specific party,0.46102,598,1141,0.43208,0.48996
1985,Rural regions,female,SPD,0.20803,236,1141,0.18447,0.23159
1985,Rural regions,female,CDU/CSU,0.29300,307,1141,0.26658,0.31942
1986,Urban regions,male,Not leaning towards specific party,0.38258,1854,4088,0.36768,0.39748
1986,Urban regions,male,SPD,0.29694,1177,4088,0.28293,0.31095
1986,Urban regions,male,CDU/CSU,0.24875,811,4088,0.23550,0.26200
1986,Urban regions,male,FDP,0.02474,82,4088,0.01998,0.02951
1986,Urban regions,male,Bündnis90/Grüne,0.04139,164,4088,0.03528,0.04749
1986,Urban regions,female,Not leaning towards specific party,0.44600,2159,4182,0.43094,0.46107
1986,Urban regions,female,SPD,0.25616,1002,4182,0.24293,0.26939
1986,Urban regions,female,CDU/CSU,0.23986,803,4182,0.22692,0.25280
1986,Urban regions,female,FDP,0.01790,57,4182,0.01388,0.02192
1986,Urban regions,female,Bündnis90/Grüne,0.03889,161,4182,0.03303,0.04475
1986,Rural regions,male,Not leaning towards specific party,0.39285,468,1034,0.36307,0.42263
1986,Rural regions,male,SPD,0.26114,274,1034,0.23435,0.28793
1986,Rural regions,male,CDU/CSU,0.30007,292,1034,0.27212,0.32802
1986,Rural regions,female,Not leaning towards specific party,0.46355,569,1087,0.43389,0.49320
1986,Rural regions,female,SPD,0.20705,230,1087,0.18295,0.23115
1986,Rural regions,female,CDU/CSU,0.28743,288,1087,0.26052,0.31435
1987,Urban regions,male,Not leaning towards specific party,0.33873,1712,4051,0.32415,0.35331
1987,Urban regions,male,SPD,0.29360,1136,4051,0.27957,0.30763
1987,Urban regions,male,CDU/CSU,0.27531,888,4051,0.26156,0.28907
