year,age_gr,quintil_oecd,party,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,1st Quintile,Not leaning towards specific party,0.58377,497,778,0.54911,0.61843
1984,17-29 y.,1st Quintile,SPD,0.17132,136,778,0.14483,0.19781
1984,17-29 y.,1st Quintile,CDU/CSU,0.10204,57,778,0.08076,0.12333
1984,17-29 y.,1st Quintile,Bündnis90/Grüne,0.14039,88,778,0.11597,0.16482
1984,17-29 y.,2nd Quintile,Not leaning towards specific party,0.59624,429,673,0.55914,0.63333
1984,17-29 y.,2nd Quintile,SPD,0.17355,128,673,0.14492,0.20219
1984,17-29 y.,2nd Quintile,CDU/CSU,0.14012,70,673,0.11387,0.16636
1984,17-29 y.,2nd Quintile,Bündnis90/Grüne,0.07709,46,673,0.05692,0.09725
1984,17-29 y.,3rd Quintile,Not leaning towards specific party,0.51598,353,648,0.47747,0.55449
1984,17-29 y.,3rd Quintile,SPD,0.23795,162,648,0.20513,0.27076
1984,17-29 y.,3rd Quintile,CDU/CSU,0.13851,74,648,0.11189,0.16513
1984,17-29 y.,3rd Quintile,Bündnis90/Grüne,0.09240,59,648,0.07008,0.11471
1984,17-29 y.,4th Quintile,Not leaning towards specific party,0.49753,388,711,0.46075,0.53430
1984,17-29 y.,4th Quintile,SPD,0.22888,160,711,0.19798,0.25978
1984,17-29 y.,4th Quintile,CDU/CSU,0.20900,125,711,0.17909,0.23891
1984,17-29 y.,4th Quintile,Bündnis90/Grüne,0.05422,38,711,0.03756,0.07087
1984,17-29 y.,5th Quintile,Not leaning towards specific party,0.45341,260,539,0.41134,0.49548
1984,17-29 y.,5th Quintile,SPD,0.16786,103,539,0.13628,0.19945
1984,17-29 y.,5th Quintile,CDU/CSU,0.25585,125,539,0.21898,0.29272
1984,17-29 y.,5th Quintile,Bündnis90/Grüne,0.09746,51,539,0.07239,0.12252
1984,30-45 y.,1st Quintile,Not leaning towards specific party,0.45940,439,756,0.42385,0.49495
