year,migback,pgisced97,party,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,Pre-primary Level,Not leaning towards specific party,0.61028,96,96,0.51221,0.70835
1984,No migration background,Primary Level,Not leaning towards specific party,0.55423,43,43,0.40390,0.70455
1984,No migration background,Lower Secondary Level,Not leaning towards specific party,0.41713,981,2284,0.39691,0.43736
1984,No migration background,Lower Secondary Level,SPD,0.27174,631,2284,0.25349,0.28999
1984,No migration background,Lower Secondary Level,CDU/CSU,0.26278,608,2284,0.24473,0.28084
1984,No migration background,Lower Secondary Level,Bündnis90/Grüne,0.02352,64,2284,0.01730,0.02974
1984,No migration background,Upper Secondary Level,Not leaning towards specific party,0.37149,1721,4561,0.35746,0.38551
1984,No migration background,Upper Secondary Level,SPD,0.28995,1353,4561,0.27678,0.30312
1984,No migration background,Upper Secondary Level,CDU/CSU,0.27912,1274,4561,0.26610,0.29214
1984,No migration background,Upper Secondary Level,FDP,0.01569,67,4561,0.01208,0.01929
1984,No migration background,Upper Secondary Level,Bündnis90/Grüne,0.02853,146,4561,0.02370,0.03336
1984,No migration background,Post-secondary Non-tertiary Level,Not leaning towards specific party,0.32730,59,148,0.25144,0.40315
1984,No migration background,Post-secondary Non-tertiary Level,SPD,0.25894,47,148,0.18813,0.32976
1984,No migration background,Post-secondary Non-tertiary Level,CDU/CSU,0.22484,42,148,0.15735,0.29232
1984,No migration background,First Stage of Tertiary Education,Not leaning towards specific party,0.31956,195,548,0.28048,0.35863
1984,No migration background,First Stage of Tertiary Education,SPD,0.21586,131,548,0.18138,0.25034
1984,No migration background,First Stage of Tertiary Education,CDU/CSU,0.37469,222,548,0.33413,0.41526
1984,No migration background,Second Stage of Tertiary Education,Not leaning towards specific party,0.32637,216,655,0.29044,0.36231
1984,No migration background,Second Stage of Tertiary Education,SPD,0.20185,144,655,0.17108,0.23261
1984,No migration background,Second Stage of Tertiary Education,CDU/CSU,0.31836,201,655,0.28265,0.35406
1984,No migration background,Second Stage of Tertiary Education,FDP,0.06037,41,655,0.04212,0.07863
1984,No migration background,Second Stage of Tertiary Education,Bündnis90/Grüne,0.07691,53,655,0.05648,0.09733
1984,Direct migration background,Primary Level,Not leaning towards specific party,0.76181,696,883,0.73370,0.78992
1984,Direct migration background,Primary Level,SPD,0.19540,187,883,0.16924,0.22157
1984,Direct migration background,Lower Secondary Level,Not leaning towards specific party,0.60285,731,1020,0.57280,0.63289
1984,Direct migration background,Lower Secondary Level,SPD,0.23683,228,1020,0.21073,0.26293
1984,Direct migration background,Lower Secondary Level,CDU/CSU,0.12633,61,1020,0.10593,0.14673
1984,Direct migration background,Upper Secondary Level,Not leaning towards specific party,0.56956,635,1017,0.53912,0.60001
1984,Direct migration background,Upper Secondary Level,SPD,0.21620,259,1017,0.19089,0.24151
1984,Direct migration background,Upper Secondary Level,CDU/CSU,0.17303,88,1017,0.14977,0.19629
1984,Direct migration background,Upper Secondary Level,Bündnis90/Grüne,0.03286,35,1017,0.02189,0.04382
1984,Direct migration background,Post-secondary Non-tertiary Level,Not leaning towards specific party,0.52547,63,104,0.42903,0.62190
1984,Direct migration background,Post-secondary Non-tertiary Level,SPD,0.25483,41,104,0.17067,0.33899
1984,Direct migration background,Second Stage of Tertiary Education,Not leaning towards specific party,0.49604,59,93,0.39387,0.59821
1984,Direct migration background,Second Stage of Tertiary Education,SPD,0.23334,34,93,0.14691,0.31977
1984,Indirect migration background,Lower Secondary Level,Not leaning towards specific party,0.57693,34,34,0.40837,0.74550
1984,Indirect migration background,Upper Secondary Level,Not leaning towards specific party,0.71596,31,31,0.55459,0.87733
1985,No migration background,Pre-primary Level,Not leaning towards specific party,0.60068,92,92,0.50005,0.70131
1985,No migration background,Primary Level,Not leaning towards specific party,0.60526,51,51,0.46977,0.74075
1985,No migration background,Lower Secondary Level,Not leaning towards specific party,0.46371,969,2053,0.44213,0.48528
1985,No migration background,Lower Secondary Level,SPD,0.24946,522,2053,0.23073,0.26818
1985,No migration background,Lower Secondary Level,CDU/CSU,0.24767,514,2053,0.22899,0.26635
1985,No migration background,Lower Secondary Level,Bündnis90/Grüne,0.01997,48,2053,0.01392,0.02603
1985,No migration background,Upper Secondary Level,Not leaning towards specific party,0.38014,1612,4166,0.36540,0.39488
1985,No migration background,Upper Secondary Level,SPD,0.28599,1214,4166,0.27227,0.29971
1985,No migration background,Upper Secondary Level,CDU/CSU,0.26634,1110,4166,0.25291,0.27976
1985,No migration background,Upper Secondary Level,FDP,0.02361,90,4166,0.01900,0.02822
1985,No migration background,Upper Secondary Level,Bündnis90/Grüne,0.02995,140,4166,0.02477,0.03512
1985,No migration background,Post-secondary Non-tertiary Level,Not leaning towards specific party,0.30730,54,133,0.22859,0.38601
1985,No migration background,Post-secondary Non-tertiary Level,SPD,0.23300,39,133,0.16088,0.30512
