year,regtyp,sampreg,party,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No answer / don't know,West,Not leaning towards specific party,0.40803,5646,12056,0.39926,0.41681
1984,No answer / don't know,West,SPD,0.26795,3159,12056,0.26005,0.27586
1984,No answer / don't know,West,CDU/CSU,0.26790,2602,12056,0.26000,0.27581
1984,No answer / don't know,West,FDP,0.01837,180,12056,0.01598,0.02077
1984,No answer / don't know,West,Bündnis90/Grüne,0.03409,429,12056,0.03085,0.03733
1984,No answer / don't know,West,Others,0.00365,40,12056,0.00257,0.00473
1985,Urban regions,West,Not leaning towards specific party,0.41618,4131,8603,0.40576,0.42660
1985,Urban regions,West,SPD,0.27301,2279,8603,0.26360,0.28243
1985,Urban regions,West,CDU/CSU,0.24229,1677,8603,0.23324,0.25135
1985,Urban regions,West,FDP,0.02373,160,8603,0.02051,0.02694
1985,Urban regions,West,Bündnis90/Grüne,0.04083,356,8603,0.03665,0.04502
1985,Rural regions,West,Not leaning towards specific party,0.42746,1077,2316,0.40731,0.44761
1985,Rural regions,West,SPD,0.22217,518,2316,0.20524,0.23911
1985,Rural regions,West,CDU/CSU,0.30719,635,2316,0.28840,0.32598
1985,Rural regions,West,FDP,0.01909,37,2316,0.01352,0.02466
1985,Rural regions,West,Bündnis90/Grüne,0.01979,49,2316,0.01412,0.02546
1986,Urban regions,West,Not leaning towards specific party,0.41605,4013,8270,0.40542,0.42667
1986,Urban regions,West,SPD,0.27542,2179,8270,0.26579,0.28505
1986,Urban regions,West,CDU/CSU,0.24406,1614,8270,0.23480,0.25332
1986,Urban regions,West,FDP,0.02113,139,8270,0.01803,0.02423
1986,Urban regions,West,Bündnis90/Grüne,0.04007,325,8270,0.03584,0.04430
1986,Rural regions,West,Not leaning towards specific party,0.43017,1037,2179,0.40938,0.45096
1986,Rural regions,West,SPD,0.23259,504,2179,0.21484,0.25033
1986,Rural regions,West,CDU/CSU,0.29340,580,2179,0.27428,0.31252
1986,Rural regions,West,Bündnis90/Grüne,0.02411,58,2179,0.01767,0.03055
