year,quintil_oecd,regtyp,party,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,1st Quintile,Urban regions,Not leaning towards specific party,0.38843,1034,1702,0.36526,0.41159
1985,1st Quintile,Urban regions,SPD,0.17228,378,1702,0.15434,0.19023
1985,1st Quintile,Urban regions,CDU/CSU,0.14669,212,1702,0.12988,0.16351
1985,1st Quintile,Urban regions,Bündnis90/Grüne,0.04254,78,1702,0.03295,0.05213
1985,1st Quintile,Rural regions,Not leaning towards specific party,0.38302,285,495,0.34016,0.42589
1985,1st Quintile,Rural regions,SPD,0.15989,103,495,0.12757,0.19221
1985,1st Quintile,Rural regions,CDU/CSU,0.19562,107,495,0.16064,0.23060
1985,2nd Quintile,Urban regions,Not leaning towards specific party,0.34842,846,1629,0.32527,0.37157
1985,2nd Quintile,Urban regions,SPD,0.25227,461,1629,0.23117,0.27337
1985,2nd Quintile,Urban regions,CDU/CSU,0.16046,253,1629,0.14263,0.17829
1985,2nd Quintile,Urban regions,Bündnis90/Grüne,0.02779,69,1629,0.01981,0.03578
1985,2nd Quintile,Rural regions,Not leaning towards specific party,0.32259,230,480,0.28072,0.36445
1985,2nd Quintile,Rural regions,SPD,0.19013,118,480,0.15499,0.22527
1985,2nd Quintile,Rural regions,CDU/CSU,0.22153,132,480,0.18434,0.25872
1985,3rd Quintile,Urban regions,Not leaning towards specific party,0.32457,780,1690,0.30224,0.34690
1985,3rd Quintile,Urban regions,SPD,0.25415,500,1690,0.23338,0.27491
1985,3rd Quintile,Urban regions,CDU/CSU,0.20756,340,1690,0.18822,0.22691
1985,3rd Quintile,Urban regions,Bündnis90/Grüne,0.03316,70,1690,0.02462,0.04170
1985,3rd Quintile,Rural regions,Not leaning towards specific party,0.36723,214,462,0.32322,0.41123
1985,3rd Quintile,Rural regions,SPD,0.20695,120,462,0.16997,0.24393
1985,3rd Quintile,Rural regions,CDU/CSU,0.24031,128,462,0.20131,0.27931
1985,4th Quintile,Urban regions,Not leaning towards specific party,0.37793,843,1799,0.35551,0.40034
1985,4th Quintile,Urban regions,SPD,0.23392,479,1799,0.21435,0.25349
1985,4th Quintile,Urban regions,CDU/CSU,0.20482,367,1799,0.18617,0.22348
1985,4th Quintile,Urban regions,FDP,0.01905,35,1799,0.01273,0.02537
1985,4th Quintile,Urban regions,Bündnis90/Grüne,0.03460,75,1799,0.02615,0.04305
1985,4th Quintile,Rural regions,Not leaning towards specific party,0.33328,171,386,0.28620,0.38037
1985,4th Quintile,Rural regions,SPD,0.21356,103,386,0.17262,0.25449
1985,4th Quintile,Rural regions,CDU/CSU,0.26873,112,386,0.22445,0.31302
1985,5th Quintile,Urban regions,Not leaning towards specific party,0.30396,626,1723,0.28223,0.32568
1985,5th Quintile,Urban regions,SPD,0.22670,459,1723,0.20692,0.24648
1985,5th Quintile,Urban regions,CDU/CSU,0.28499,505,1723,0.26367,0.30631
1985,5th Quintile,Urban regions,FDP,0.04143,70,1723,0.03202,0.05084
1985,5th Quintile,Urban regions,Bündnis90/Grüne,0.03192,63,1723,0.02362,0.04023
1985,5th Quintile,Rural regions,Not leaning towards specific party,0.33765,176,406,0.29160,0.38371
1985,5th Quintile,Rural regions,SPD,0.14006,74,406,0.10626,0.17386
1985,5th Quintile,Rural regions,CDU/CSU,0.36932,156,406,0.32232,0.41633
1986,1st Quintile,Urban regions,Not leaning towards specific party,0.34899,882,1603,0.32565,0.37233
1986,1st Quintile,Urban regions,SPD,0.22056,431,1603,0.20025,0.24086
1986,1st Quintile,Urban regions,CDU/CSU,0.14522,202,1603,0.12797,0.16248
1986,1st Quintile,Urban regions,Bündnis90/Grüne,0.04979,88,1603,0.03914,0.06045
1986,1st Quintile,Rural regions,Not leaning towards specific party,0.43044,267,424,0.38325,0.47762
1986,1st Quintile,Rural regions,SPD,0.14714,76,424,0.11338,0.18090
1986,1st Quintile,Rural regions,CDU/CSU,0.16502,81,424,0.12965,0.20040
1986,2nd Quintile,Urban regions,Not leaning towards specific party,0.35040,842,1568,0.32677,0.37402
1986,2nd Quintile,Urban regions,SPD,0.23515,434,1568,0.21416,0.25615
1986,2nd Quintile,Urban regions,CDU/CSU,0.17383,247,1568,0.15506,0.19259
1986,2nd Quintile,Urban regions,Bündnis90/Grüne,0.02040,45,1568,0.01340,0.02740
1986,2nd Quintile,Rural regions,Not leaning towards specific party,0.32612,232,483,0.28427,0.36797
1986,2nd Quintile,Rural regions,SPD,0.21773,130,483,0.18088,0.25457
1986,2nd Quintile,Rural regions,CDU/CSU,0.21179,121,483,0.17531,0.24826
1986,3rd Quintile,Urban regions,Not leaning towards specific party,0.36361,821,1607,0.34008,0.38714
1986,3rd Quintile,Urban regions,SPD,0.22231,409,1607,0.20198,0.24265
1986,3rd Quintile,Urban regions,CDU/CSU,0.20034,321,1607,0.18077,0.21992
1986,3rd Quintile,Urban regions,Bündnis90/Grüne,0.03116,56,1607,0.02266,0.03966
1986,3rd Quintile,Rural regions,Not leaning towards specific party,0.34537,201,426,0.30016,0.39058
1986,3rd Quintile,Rural regions,SPD,0.23908,131,426,0.19853,0.27963
1986,3rd Quintile,Rural regions,CDU/CSU,0.17184,94,426,0.13597,0.20770
1986,4th Quintile,Urban regions,Not leaning towards specific party,0.33406,791,1743,0.31191,0.35621
1986,4th Quintile,Urban regions,SPD,0.27323,524,1743,0.25231,0.29416
1986,4th Quintile,Urban regions,CDU/CSU,0.21335,356,1743,0.19412,0.23259
1986,4th Quintile,Urban regions,Bündnis90/Grüne,0.03325,72,1743,0.02483,0.04167
1986,4th Quintile,Rural regions,Not leaning towards specific party,0.35130,194,409,0.30498,0.39762
1986,4th Quintile,Rural regions,SPD,0.18829,93,409,0.15036,0.22623
1986,4th Quintile,Rural regions,CDU/CSU,0.27792,122,409,0.23445,0.32139
1986,5th Quintile,Urban regions,Not leaning towards specific party,0.33941,673,1678,0.31675,0.36208
1986,5th Quintile,Urban regions,SPD,0.19928,380,1678,0.18016,0.21839
1986,5th Quintile,Urban regions,CDU/CSU,0.27948,488,1678,0.25801,0.30096
1986,5th Quintile,Urban regions,FDP,0.04279,73,1678,0.03311,0.05248
1986,5th Quintile,Urban regions,Bündnis90/Grüne,0.03252,64,1678,0.02403,0.04101
1986,5th Quintile,Rural regions,Not leaning towards specific party,0.29007,143,379,0.24432,0.33582
1986,5th Quintile,Rural regions,SPD,0.14749,74,379,0.11174,0.18323
1986,5th Quintile,Rural regions,CDU/CSU,0.41552,162,379,0.36584,0.46520
1987,1st Quintile,Urban regions,Not leaning towards specific party,0.33325,820,1526,0.30959,0.35691
1987,1st Quintile,Urban regions,SPD,0.22776,417,1526,0.20671,0.24881
1987,1st Quintile,Urban regions,CDU/CSU,0.14818,200,1526,0.13035,0.16602
1987,1st Quintile,Urban regions,Bündnis90/Grüne,0.04843,89,1526,0.03766,0.05921
1987,1st Quintile,Rural regions,Not leaning towards specific party,0.35316,256,446,0.30875,0.39756
1987,1st Quintile,Rural regions,SPD,0.16545,95,446,0.13093,0.19998
1987,1st Quintile,Rural regions,CDU/CSU,0.19970,95,446,0.16256,0.23685
1987,2nd Quintile,Urban regions,Not leaning towards specific party,0.30743,792,1564,0.28456,0.33031
1987,2nd Quintile,Urban regions,SPD,0.23648,419,1564,0.21542,0.25755
