year,migback,sampreg,party,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,West,Not leaning towards specific party,0.38716,3316,8545,0.37683,0.39749
1984,No migration background,West,SPD,0.27304,2353,8545,0.26360,0.28249
1984,No migration background,West,CDU/CSU,0.28193,2380,8545,0.27239,0.29147
1984,No migration background,West,FDP,0.01969,165,8545,0.01674,0.02264
1984,No migration background,West,Bündnis90/Grüne,0.03453,331,8545,0.03066,0.03841
1984,Direct migration background,West,Not leaning towards specific party,0.59845,2252,3332,0.58180,0.61510
1984,Direct migration background,West,SPD,0.22167,779,3332,0.20756,0.23577
1984,Direct migration background,West,CDU/CSU,0.14059,213,3332,0.12879,0.15240
1984,Direct migration background,West,Bündnis90/Grüne,0.02909,88,3332,0.02338,0.03480
1984,Indirect migration background,West,Not leaning towards specific party,0.61930,78,78,0.51084,0.72775
1985,No migration background,West,Not leaning towards specific party,0.40089,3162,7915,0.39010,0.41169
1985,No migration background,West,SPD,0.26504,2110,7915,0.25532,0.27477
1985,No migration background,West,CDU/CSU,0.26893,2103,7915,0.25916,0.27870
1985,No migration background,West,FDP,0.02431,186,7915,0.02092,0.02771
1985,No migration background,West,Bündnis90/Grüne,0.03634,318,7915,0.03221,0.04046
1985,No migration background,West,Others,0.00448,36,7915,0.00301,0.00596
1985,Direct migration background,West,Not leaning towards specific party,0.58062,1952,2888,0.56262,0.59862
1985,Direct migration background,West,SPD,0.22306,658,2888,0.20788,0.23825
1985,Direct migration background,West,CDU/CSU,0.15991,197,2888,0.14654,0.17328
1985,Direct migration background,West,Bündnis90/Grüne,0.02897,81,2888,0.02285,0.03509
1985,Indirect migration background,West,Not leaning towards specific party,0.61162,94,94,0.51256,0.71068
1986,No migration background,West,Not leaning towards specific party,0.39881,3043,7518,0.38774,0.40988
1986,No migration background,West,SPD,0.27112,2023,7518,0.26107,0.28117
1986,No migration background,West,CDU/CSU,0.26797,1983,7518,0.25796,0.27798
1986,No migration background,West,FDP,0.02184,159,7518,0.01854,0.02515
1986,No migration background,West,Bündnis90/Grüne,0.03704,310,7518,0.03277,0.04131
1986,Direct migration background,West,Not leaning towards specific party,0.59575,1907,2799,0.57756,0.61393
1986,Direct migration background,West,SPD,0.21738,634,2799,0.20210,0.23267
1986,Direct migration background,West,CDU/CSU,0.15175,195,2799,0.13846,0.16505
1986,Direct migration background,West,Bündnis90/Grüne,0.02654,63,2799,0.02059,0.03250
1986,Indirect migration background,West,Not leaning towards specific party,0.59304,100,100,0.49626,0.68981
1987,No migration background,West,Not leaning towards specific party,0.33966,2582,7400,0.32887,0.35045
1987,No migration background,West,SPD,0.27229,1992,7400,0.26214,0.28243
1987,No migration background,West,CDU/CSU,0.30249,2174,7400,0.29202,0.31296
1987,No migration background,West,FDP,0.03716,259,7400,0.03285,0.04147
1987,No migration background,West,Bündnis90/Grüne,0.04328,359,7400,0.03864,0.04792
1987,No migration background,West,Others,0.00512,34,7400,0.00350,0.00675
1987,Direct migration background,West,Not leaning towards specific party,0.58159,1882,2782,0.56326,0.59993
1987,Direct migration background,West,SPD,0.20602,580,2782,0.19099,0.22105
1987,Direct migration background,West,CDU/CSU,0.16606,220,2782,0.15223,0.17989
1987,Direct migration background,West,Bündnis90/Grüne,0.03555,100,2782,0.02867,0.04244
1987,Indirect migration background,West,Not leaning towards specific party,0.58298,111,147,0.50300,0.66296
1987,Indirect migration background,West,SPD,0.16961,36,147,0.10873,0.23049
1988,No migration background,West,Not leaning towards specific party,0.38271,2743,7024,0.37134,0.39408
1988,No migration background,West,SPD,0.28535,1987,7024,0.27479,0.29591
1988,No migration background,West,CDU/CSU,0.26114,1800,7024,0.25087,0.27141
1988,No migration background,West,FDP,0.02947,198,7024,0.02552,0.03343
1988,No migration background,West,Bündnis90/Grüne,0.03486,256,7024,0.03057,0.03915
1988,No migration background,West,Others,0.00647,40,7024,0.00459,0.00834
1988,Direct migration background,West,Not leaning towards specific party,0.57227,1826,2640,0.55339,0.59114
1988,Direct migration background,West,SPD,0.22590,552,2640,0.20995,0.24185
1988,Direct migration background,West,CDU/CSU,0.16208,189,2640,0.14802,0.17615
1988,Direct migration background,West,Bündnis90/Grüne,0.02598,73,2640,0.01991,0.03205
1988,Indirect migration background,West,Not leaning towards specific party,0.57750,140,192,0.50744,0.64755
1988,Indirect migration background,West,SPD,0.22719,52,192,0.16776,0.28661
1989,No migration background,West,Not leaning towards specific party,0.40559,2829,6756,0.39388,0.41730
1989,No migration background,West,SPD,0.27820,1846,6756,0.26752,0.28889
1989,No migration background,West,CDU/CSU,0.23517,1532,6756,0.22505,0.24528
1989,No migration background,West,FDP,0.01920,126,6756,0.01593,0.02247
1989,No migration background,West,Bündnis90/Grüne,0.03572,257,6756,0.03130,0.04015
1989,No migration background,West,Others,0.02612,166,6756,0.02231,0.02992
1989,Direct migration background,West,Not leaning towards specific party,0.55654,1632,2546,0.53724,0.57584
1989,Direct migration background,West,SPD,0.24152,654,2546,0.22489,0.25815
1989,Direct migration background,West,CDU/CSU,0.14549,172,2546,0.13179,0.15919
1989,Direct migration background,West,Bündnis90/Grüne,0.03943,88,2546,0.03187,0.04699
1989,Indirect migration background,West,Not leaning towards specific party,0.60193,158,227,0.53811,0.66575
1989,Indirect migration background,West,SPD,0.24473,69,227,0.18867,0.30078
1990,No migration background,West,Not leaning towards specific party,0.37755,2566,6578,0.36583,0.38926
1990,No migration background,West,SPD,0.29965,1930,6578,0.28858,0.31072
1990,No migration background,West,CDU/CSU,0.25182,1623,6578,0.24133,0.26231
1990,No migration background,West,FDP,0.02774,178,6578,0.02377,0.03171
1990,No migration background,West,Bündnis90/Grüne,0.03038,216,6578,0.02623,0.03453
1990,No migration background,West,Far right parties,0.00872,65,6578,0.00648,0.01097
1990,Direct migration background,West,Not leaning towards specific party,0.55158,1594,2494,0.53206,0.57111
1990,Direct migration background,West,SPD,0.25240,655,2494,0.23535,0.26945
1990,Direct migration background,West,CDU/CSU,0.14714,176,2494,0.13323,0.16105
1990,Direct migration background,West,Bündnis90/Grüne,0.03531,69,2494,0.02807,0.04256
1990,Indirect migration background,West,Not leaning towards specific party,0.67167,196,264,0.61491,0.72843
1990,Indirect migration background,West,SPD,0.20434,68,264,0.15560,0.25307
1991,No migration background,West,Not leaning towards specific party,0.39338,2638,6511,0.38151,0.40525
1991,No migration background,West,SPD,0.27419,1783,6511,0.26336,0.28503
1991,No migration background,West,CDU/CSU,0.25906,1642,6511,0.24842,0.26971
1991,No migration background,West,FDP,0.03312,195,6511,0.02877,0.03747
1991,No migration background,West,Bündnis90/Grüne,0.03080,212,6511,0.02661,0.03500
1991,No migration background,West,Far right parties,0.00593,41,6511,0.00407,0.00780
1991,Direct migration background,West,Not leaning towards specific party,0.47604,223,427,0.42861,0.52347
1991,Direct migration background,West,SPD,0.21202,88,427,0.17320,0.25083
1991,Direct migration background,West,CDU/CSU,0.26576,116,427,0.22381,0.30771
1991,Indirect migration background,West,Not leaning towards specific party,0.52611,31,31,0.34743,0.70479
1992,No migration background,West,Not leaning towards specific party,0.45392,3032,6481,0.44180,0.46604
1992,No migration background,West,SPD,0.24597,1588,6481,0.23548,0.25646
1992,No migration background,West,CDU/CSU,0.23311,1436,6481,0.22281,0.24340
1992,No migration background,West,FDP,0.02552,146,6481,0.02168,0.02936
1992,No migration background,West,Bündnis90/Grüne,0.02894,208,6481,0.02486,0.03302
1992,No migration background,West,Others,0.01127,71,6481,0.00870,0.01384
1992,No migration background,East,Not leaning towards specific party,0.67069,2565,3777,0.65570,0.68568
1992,No migration background,East,SPD,0.12101,444,3777,0.11061,0.13142
1992,No migration background,East,CDU/CSU,0.11673,458,3777,0.10649,0.12697
1992,No migration background,East,FDP,0.02002,79,3777,0.01555,0.02448
1992,No migration background,East,Bündnis90/Grüne,0.03202,123,3777,0.02640,0.03763
1992,No migration background,East,PDS/Linke,0.03124,108,3777,0.02569,0.03679
1992,Direct migration background,West,Not leaning towards specific party,0.64759,1729,2370,0.62835,0.66683
1992,Direct migration background,West,SPD,0.18536,426,2370,0.16971,0.20101
1992,Direct migration background,West,CDU/CSU,0.12973,167,2370,0.11619,0.14326
1992,Direct migration background,West,Bündnis90/Grüne,0.02077,48,2370,0.01502,0.02651
1992,Direct migration background,East,Not leaning towards specific party,0.67335,101,101,0.58143,0.76527
1992,Indirect migration background,West,Not leaning towards specific party,0.69389,294,359,0.64615,0.74163
1992,Indirect migration background,West,SPD,0.15824,65,359,0.12043,0.19604
1993,No migration background,West,Not leaning towards specific party,0.50728,3373,6409,0.49503,0.51952
1993,No migration background,West,SPD,0.21130,1330,6409,0.20131,0.22130
1993,No migration background,West,CDU/CSU,0.19867,1218,6409,0.18890,0.20844
1993,No migration background,West,FDP,0.02434,135,6409,0.02056,0.02811
1993,No migration background,West,Bündnis90/Grüne,0.03707,254,6409,0.03244,0.04170
1993,No migration background,West,Far right parties,0.01590,99,6409,0.01284,0.01897
1993,No migration background,East,Not leaning towards specific party,0.70012,2613,3655,0.68527,0.71498
1993,No migration background,East,SPD,0.11430,398,3655,0.10398,0.12461
1993,No migration background,East,CDU/CSU,0.08976,323,3655,0.08049,0.09903
1993,No migration background,East,FDP,0.01560,54,3655,0.01158,0.01962
1993,No migration background,East,Bündnis90/Grüne,0.02848,108,3655,0.02309,0.03387
1993,No migration background,East,PDS/Linke,0.03959,125,3655,0.03327,0.04592
1993,No migration background,East,Far right parties,0.00874,34,3655,0.00573,0.01176
1993,Direct migration background,West,Not leaning towards specific party,0.67049,1719,2309,0.65131,0.68966
1993,Direct migration background,West,SPD,0.16697,403,2309,0.15176,0.18219
1993,Direct migration background,West,CDU/CSU,0.11125,132,2309,0.09842,0.12408
1993,Direct migration background,West,Bündnis90/Grüne,0.03390,55,2309,0.02651,0.04128
1993,Direct migration background,East,Not leaning towards specific party,0.70418,92,92,0.61040,0.79796
1993,Indirect migration background,West,Not leaning towards specific party,0.78723,359,426,0.74832,0.82614
1993,Indirect migration background,West,SPD,0.13549,67,426,0.10295,0.16803
1994,No migration background,West,Not leaning towards specific party,0.47416,3178,6328,0.46186,0.48647
1994,No migration background,West,SPD,0.24685,1517,6328,0.23623,0.25748
1994,No migration background,West,CDU/CSU,0.20712,1227,6328,0.19713,0.21711
1994,No migration background,West,FDP,0.01824,95,6328,0.01494,0.02154
1994,No migration background,West,Bündnis90/Grüne,0.03760,246,6328,0.03291,0.04229
1994,No migration background,West,Far right parties,0.00891,65,6328,0.00660,0.01123
1994,No migration background,East,Not leaning towards specific party,0.68451,2523,3554,0.66923,0.69979
1994,No migration background,East,SPD,0.10885,371,3554,0.09861,0.11909
1994,No migration background,East,CDU/CSU,0.09594,335,3554,0.08625,0.10562
1994,No migration background,East,FDP,0.01159,39,3554,0.00807,0.01511
1994,No migration background,East,Bündnis90/Grüne,0.03070,103,3554,0.02503,0.03637
1994,No migration background,East,PDS/Linke,0.05481,183,3554,0.04732,0.06229
1994,Direct migration background,West,Not leaning towards specific party,0.64317,1565,2183,0.62306,0.66327
1994,Direct migration background,West,SPD,0.19013,422,2183,0.17367,0.20660
1994,Direct migration background,West,CDU/CSU,0.12590,148,2183,0.11198,0.13981
1994,Direct migration background,West,Bündnis90/Grüne,0.02709,48,2183,0.02028,0.03390
1994,Direct migration background,East,Not leaning towards specific party,0.68899,96,96,0.59591,0.78208
1994,Indirect migration background,West,Not leaning towards specific party,0.72654,353,440,0.68484,0.76824
1994,Indirect migration background,West,SPD,0.16728,87,440,0.13237,0.20220
1995,No migration background,West,Not leaning towards specific party,0.43173,2922,6390,0.41959,0.44388
1995,No migration background,West,SPD,0.25506,1572,6390,0.24437,0.26575
1995,No migration background,West,CDU/CSU,0.23150,1403,6390,0.22116,0.24184
1995,No migration background,West,FDP,0.01800,98,6390,0.01474,0.02127
1995,No migration background,West,Bündnis90/Grüne,0.05300,362,6390,0.04751,0.05849
1995,No migration background,West,Far right parties,0.00516,33,6390,0.00340,0.00692
1995,No migration background,East,Not leaning towards specific party,0.61672,2233,3506,0.60062,0.63281
1995,No migration background,East,SPD,0.12137,412,3506,0.11056,0.13218
1995,No migration background,East,CDU/CSU,0.14298,499,3506,0.13139,0.15457
1995,No migration background,East,FDP,0.00885,31,3506,0.00575,0.01195
1995,No migration background,East,Bündnis90/Grüne,0.02941,100,3506,0.02381,0.03500
1995,No migration background,East,PDS/Linke,0.07260,231,3506,0.06401,0.08119
1995,Direct migration background,West,Not leaning towards specific party,0.60807,1794,2600,0.58930,0.62684
1995,Direct migration background,West,SPD,0.16266,432,2600,0.14847,0.17685
1995,Direct migration background,West,CDU/CSU,0.17355,299,2600,0.15899,0.18811
1995,Direct migration background,West,Bündnis90/Grüne,0.04170,75,2600,0.03402,0.04939
1995,Direct migration background,East,Not leaning towards specific party,0.62113,94,94,0.52254,0.71973
1995,Indirect migration background,West,Not leaning towards specific party,0.68899,371,438,0.64559,0.73240
1995,Indirect migration background,West,SPD,0.14701,67,438,0.11381,0.18021
1996,No migration background,West,Not leaning towards specific party,0.45565,3039,6341,0.44339,0.46791
1996,No migration background,West,SPD,0.22111,1371,6341,0.21089,0.23132
1996,No migration background,West,CDU/CSU,0.23845,1404,6341,0.22796,0.24894
1996,No migration background,West,FDP,0.01622,84,6341,0.01311,0.01933
1996,No migration background,West,Bündnis90/Grüne,0.05305,363,6341,0.04753,0.05856
1996,No migration background,West,Far right parties,0.00731,48,6341,0.00522,0.00941
1996,No migration background,West,Others,0.00488,32,6341,0.00317,0.00660
1996,No migration background,East,Not leaning towards specific party,0.65530,2335,3465,0.63947,0.67113
1996,No migration background,East,SPD,0.09483,313,3465,0.08507,0.10458
1996,No migration background,East,CDU/CSU,0.13349,467,3465,0.12216,0.14481
1996,No migration background,East,Bündnis90/Grüne,0.03103,114,3465,0.02526,0.03681
1996,No migration background,East,PDS/Linke,0.07013,236,3465,0.06162,0.07863
1996,Direct migration background,West,Not leaning towards specific party,0.61895,1709,2432,0.59965,0.63826
1996,Direct migration background,West,SPD,0.14825,372,2432,0.13413,0.16238
1996,Direct migration background,West,CDU/CSU,0.16875,287,2432,0.15386,0.18364
1996,Direct migration background,West,Bündnis90/Grüne,0.04491,64,2432,0.03668,0.05314
