year,pgisced97,quintil_oecd,party,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Pre-primary Level,2nd Quintile,Not leaning towards specific party,0.72289,33,33,0.56781,0.87796
1984,Primary Level,1st Quintile,Not leaning towards specific party,0.69184,272,345,0.64304,0.74063
1984,Primary Level,1st Quintile,SPD,0.24627,73,345,0.20074,0.29179
1984,Primary Level,2nd Quintile,Not leaning towards specific party,0.75265,193,228,0.69652,0.80878
1984,Primary Level,2nd Quintile,SPD,0.19809,35,228,0.14624,0.24994
1984,Primary Level,3rd Quintile,Not leaning towards specific party,0.65974,105,148,0.58315,0.73633
1984,Primary Level,3rd Quintile,SPD,0.23237,43,148,0.16410,0.30065
1984,Primary Level,4th Quintile,Not leaning towards specific party,0.71184,113,152,0.63960,0.78408
1984,Primary Level,4th Quintile,SPD,0.13981,39,152,0.08450,0.19513
1984,Primary Level,5th Quintile,Not leaning towards specific party,0.51644,59,59,0.38783,0.64506
1984,Lower Secondary Level,1st Quintile,Not leaning towards specific party,0.47318,516,925,0.44099,0.50537
1984,Lower Secondary Level,1st Quintile,SPD,0.25608,224,925,0.22794,0.28422
1984,Lower Secondary Level,1st Quintile,CDU/CSU,0.22942,152,925,0.20231,0.25653
1984,Lower Secondary Level,1st Quintile,Bündnis90/Grüne,0.02638,33,925,0.01605,0.03672
1984,Lower Secondary Level,2nd Quintile,Not leaning towards specific party,0.46115,442,799,0.42656,0.49573
1984,Lower Secondary Level,2nd Quintile,SPD,0.29918,219,799,0.26741,0.33095
1984,Lower Secondary Level,2nd Quintile,CDU/CSU,0.20987,138,799,0.18161,0.23812
1984,Lower Secondary Level,3rd Quintile,Not leaning towards specific party,0.40697,332,666,0.36964,0.44431
1984,Lower Secondary Level,3rd Quintile,SPD,0.25816,178,666,0.22490,0.29143
1984,Lower Secondary Level,3rd Quintile,CDU/CSU,0.28527,156,666,0.25095,0.31959
1984,Lower Secondary Level,4th Quintile,Not leaning towards specific party,0.44216,292,561,0.40102,0.48329
1984,Lower Secondary Level,4th Quintile,SPD,0.26540,146,561,0.22883,0.30197
1984,Lower Secondary Level,4th Quintile,CDU/CSU,0.26687,123,561,0.23023,0.30351
1984,Lower Secondary Level,5th Quintile,Not leaning towards specific party,0.37212,163,364,0.32239,0.42184
