"party","year","alter_gr","migback","n","percent","lower_confidence","upper_confidence"
"keine PI","1984","16-34 Jahre alt","kein Migrationshintergrund","1452","0.476798064031576","0.459167620360342","0.49442850770281"
"keine PI","1984","16-34 Jahre alt","direkter Migrationshintergrund","964","0.656925524243635","0.632031095763319","0.681819952723952"
"keine PI","1984","16-34 Jahre alt","indirekter Migrationshintergrund","66","0.651404269360767","0.558927140573018","0.743881398148515"
"keine PI","1984","35-65 Jahre alt","kein Migrationshintergrund","1417","0.330496028374383","0.316421672275612","0.344570384473154"
"keine PI","1984","35-65 Jahre alt","direkter Migrationshintergrund","1307","0.576683168677891","0.554914764109016","0.598451573246765"
"keine PI","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"keine PI","1984","66 und älter","kein Migrationshintergrund","462","0.380760036204538","0.353557302498781","0.407962769910295"
"keine PI","1984","66 und älter","direkter Migrationshintergrund","","","",""
"keine PI","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"CDU/CSU","1984","16-34 Jahre alt","kein Migrationshintergrund","596","0.192107232143136","0.178200981707913","0.20601348257836"
"CDU/CSU","1984","16-34 Jahre alt","direkter Migrationshintergrund","60","0.0962402930318701","0.080775117852682","0.111705468211058"
"CDU/CSU","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"CDU/CSU","1984","35-65 Jahre alt","kein Migrationshintergrund","1383","0.32490152875896","0.310888620670989","0.338914436846932"
"CDU/CSU","1984","35-65 Jahre alt","direkter Migrationshintergrund","146","0.152135623170326","0.136312075959281","0.167959170381372"
"CDU/CSU","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"CDU/CSU","1984","66 und älter","kein Migrationshintergrund","405","0.324608597056972","0.298377578477893","0.35083961563605"
"CDU/CSU","1984","66 und älter","direkter Migrationshintergrund","","","",""
"CDU/CSU","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"SPD","1984","16-34 Jahre alt","kein Migrationshintergrund","727","0.232590571587781","0.217677367990152","0.24750377518541"
"SPD","1984","16-34 Jahre alt","direkter Migrationshintergrund","304","0.187484022560561","0.167017315464291","0.20795072965683"
"SPD","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"SPD","1984","35-65 Jahre alt","kein Migrationshintergrund","1317","0.305142870848789","0.291365441059144","0.318920300638435"
"SPD","1984","35-65 Jahre alt","direkter Migrationshintergrund","481","0.242498562868938","0.223615540436797","0.261381585301079"
"SPD","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"SPD","1984","66 und älter","kein Migrationshintergrund","313","0.258592946862077","0.234063142958331","0.283122750765823"
"SPD","1984","66 und älter","direkter Migrationshintergrund","","","",""
"SPD","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"FDP","1984","16-34 Jahre alt","kein Migrationshintergrund","33","0.0106244959996956","0.00700543357676502","0.0142435584226262"
"FDP","1984","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"FDP","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"FDP","1984","35-65 Jahre alt","kein Migrationshintergrund","102","0.0235229157282714","0.0189882483361665","0.0280575831203763"
"FDP","1984","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"FDP","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"FDP","1984","66 und älter","kein Migrationshintergrund","31","0.0261035582225864","0.0171712515128368","0.035035864932336"
"FDP","1984","66 und älter","direkter Migrationshintergrund","","","",""
"FDP","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"Grüne","1984","16-34 Jahre alt","kein Migrationshintergrund","263","0.0833625286252713","0.073604871083972","0.0931201861665706"
"Grüne","1984","16-34 Jahre alt","direkter Migrationshintergrund","59","0.0499032746273198","0.0384850568763989","0.0613214923782406"
"Grüne","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Grüne","1984","35-65 Jahre alt","kein Migrationshintergrund","62","0.0134218560930191","0.00997882560935427","0.0168648865766838"
"Grüne","1984","35-65 Jahre alt","direkter Migrationshintergrund","30","0.0175655634022212","0.0117778365797237","0.0233532902247186"
"Grüne","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Grüne","1984","66 und älter","kein Migrationshintergrund","","","",""
"Grüne","1984","66 und älter","direkter Migrationshintergrund","","","",""
"Grüne","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"PDS/Linke","1984","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"PDS/Linke","1984","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"PDS/Linke","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"PDS/Linke","1984","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"PDS/Linke","1984","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"PDS/Linke","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"PDS/Linke","1984","66 und älter","kein Migrationshintergrund","","","",""
"PDS/Linke","1984","66 und älter","direkter Migrationshintergrund","","","",""
"PDS/Linke","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"Rechtsextrem","1984","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"Rechtsextrem","1984","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"Rechtsextrem","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Rechtsextrem","1984","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"Rechtsextrem","1984","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"Rechtsextrem","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Rechtsextrem","1984","66 und älter","kein Migrationshintergrund","","","",""
"Rechtsextrem","1984","66 und älter","direkter Migrationshintergrund","","","",""
"Rechtsextrem","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"AfD","1984","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"AfD","1984","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"AfD","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"AfD","1984","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"AfD","1984","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"AfD","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"AfD","1984","66 und älter","kein Migrationshintergrund","","","",""
"AfD","1984","66 und älter","direkter Migrationshintergrund","","","",""
"AfD","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"Sonstige","1984","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"Sonstige","1984","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"Sonstige","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Sonstige","1984","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"Sonstige","1984","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"Sonstige","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Sonstige","1984","66 und älter","kein Migrationshintergrund","","","",""
"Sonstige","1984","66 und älter","direkter Migrationshintergrund","","","",""
"Sonstige","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"keine PI","1985","16-34 Jahre alt","kein Migrationshintergrund","1415","0.496839266334665","0.478600896171652","0.515077636497678"
"keine PI","1985","16-34 Jahre alt","direkter Migrationshintergrund","803","0.64715499438695","0.619548798198009","0.674761190575891"
"keine PI","1985","16-34 Jahre alt","indirekter Migrationshintergrund","83","0.636756256580026","0.551064097047424","0.722448416112629"
"keine PI","1985","35-65 Jahre alt","kein Migrationshintergrund","1345","0.338824923739393","0.324122196044918","0.353527651433868"
"keine PI","1985","35-65 Jahre alt","direkter Migrationshintergrund","1159","0.566522284180262","0.543317746132422","0.589726822228102"
"keine PI","1985","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"keine PI","1985","66 und älter","kein Migrationshintergrund","409","0.390007102841854","0.360727300814461","0.419286904869247"
"keine PI","1985","66 und älter","direkter Migrationshintergrund","","","",""
"keine PI","1985","66 und älter","indirekter Migrationshintergrund","","","",""
"CDU/CSU","1985","16-34 Jahre alt","kein Migrationshintergrund","520","0.178234498872414","0.164274205779592","0.192194791965235"
"CDU/CSU","1985","16-34 Jahre alt","direkter Migrationshintergrund","45","0.100949733015332","0.0835454954098351","0.118353970620829"
"CDU/CSU","1985","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"CDU/CSU","1985","35-65 Jahre alt","kein Migrationshintergrund","1238","0.311775446182703","0.297386200149788","0.326164692215618"
"CDU/CSU","1985","35-65 Jahre alt","direkter Migrationshintergrund","146","0.175355946562106","0.157549610940108","0.193162282184103"
"CDU/CSU","1985","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"CDU/CSU","1985","66 und älter","kein Migrationshintergrund","350","0.319820419414243","0.291821944365545","0.347818894462942"
"CDU/CSU","1985","66 und älter","direkter Migrationshintergrund","","","",""
"CDU/CSU","1985","66 und älter","indirekter Migrationshintergrund","","","",""
"SPD","1985","16-34 Jahre alt","kein Migrationshintergrund","653","0.223875135404519","0.208669890190125","0.239080380618912"
"SPD","1985","16-34 Jahre alt","direkter Migrationshintergrund","248","0.192741914361978","0.16995399284017","0.215529835883786"
"SPD","1985","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"SPD","1985","35-65 Jahre alt","kein Migrationshintergrund","1198","0.300179430854016","0.285941862611838","0.314416999096193"
"SPD","1985","35-65 Jahre alt","direkter Migrationshintergrund","408","0.23178284301035","0.212023901119782","0.251541784900918"
"SPD","1985","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"SPD","1985","66 und älter","kein Migrationshintergrund","264","0.247134591217934","0.221240842499288","0.27302833993658"
"SPD","1985","66 und älter","direkter Migrationshintergrund","","","",""
"SPD","1985","66 und älter","indirekter Migrationshintergrund","","","",""
"FDP","1985","16-34 Jahre alt","kein Migrationshintergrund","43","0.0134276639194823","0.00922920993908384","0.0176261178998808"
"FDP","1985","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"FDP","1985","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"FDP","1985","35-65 Jahre alt","kein Migrationshintergrund","108","0.027023703470605","0.0219866615449489","0.0320607453962611"
"FDP","1985","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"FDP","1985","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"FDP","1985","66 und älter","kein Migrationshintergrund","36","0.0368141203940001","0.025510130608887","0.0481181101791132"
"FDP","1985","66 und älter","direkter Migrationshintergrund","","","",""
"FDP","1985","66 und älter","indirekter Migrationshintergrund","","","",""
"Grüne","1985","16-34 Jahre alt","kein Migrationshintergrund","243","0.0831300478603602","0.0730593959618256","0.0932006997588948"
"Grüne","1985","16-34 Jahre alt","direkter Migrationshintergrund","52","0.0540308400635835","0.0409700400937095","0.0670916400334574"
"Grüne","1985","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Grüne","1985","35-65 Jahre alt","kein Migrationshintergrund","73","0.0174246839807634","0.0133600880104562","0.0214892799510705"
"Grüne","1985","35-65 Jahre alt","direkter Migrationshintergrund","31","0.0171274196119566","0.0110520092329277","0.0232028299909855"
"Grüne","1985","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Grüne","1985","66 und älter","kein Migrationshintergrund","","","",""
"Grüne","1985","66 und älter","direkter Migrationshintergrund","","","",""
"Grüne","1985","66 und älter","indirekter Migrationshintergrund","","","",""
"PDS/Linke","1985","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"PDS/Linke","1985","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"PDS/Linke","1985","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"PDS/Linke","1985","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"PDS/Linke","1985","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"PDS/Linke","1985","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"PDS/Linke","1985","66 und älter","kein Migrationshintergrund","","","",""
"PDS/Linke","1985","66 und älter","direkter Migrationshintergrund","","","",""
"PDS/Linke","1985","66 und älter","indirekter Migrationshintergrund","","","",""
"Rechtsextrem","1985","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"Rechtsextrem","1985","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"Rechtsextrem","1985","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Rechtsextrem","1985","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"Rechtsextrem","1985","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"Rechtsextrem","1985","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Rechtsextrem","1985","66 und älter","kein Migrationshintergrund","","","",""
"Rechtsextrem","1985","66 und älter","direkter Migrationshintergrund","","","",""
"Rechtsextrem","1985","66 und älter","indirekter Migrationshintergrund","","","",""
"AfD","1985","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"AfD","1985","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"AfD","1985","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"AfD","1985","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"AfD","1985","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"AfD","1985","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"AfD","1985","66 und älter","kein Migrationshintergrund","","","",""
"AfD","1985","66 und älter","direkter Migrationshintergrund","","","",""
"AfD","1985","66 und älter","indirekter Migrationshintergrund","","","",""
"Sonstige","1985","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"Sonstige","1985","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"Sonstige","1985","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Sonstige","1985","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"Sonstige","1985","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"Sonstige","1985","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Sonstige","1985","66 und älter","kein Migrationshintergrund","","","",""
"Sonstige","1985","66 und älter","direkter Migrationshintergrund","","","",""
"Sonstige","1985","66 und älter","indirekter Migrationshintergrund","","","",""
"keine PI","1986","16-34 Jahre alt","kein Migrationshintergrund","1435","0.50468543243495","0.486280997222964","0.523089867646935"
"keine PI","1986","16-34 Jahre alt","direkter Migrationshintergrund","778","0.665114529165804","0.637300308365106","0.692928749966502"
"keine PI","1986","16-34 Jahre alt","indirekter Migrationshintergrund","91","0.714593517658512","0.63666172104616","0.792525314270864"
"keine PI","1986","35-65 Jahre alt","kein Migrationshintergrund","1227","0.328450066409765","0.313418429063772","0.343481703755759"
"keine PI","1986","35-65 Jahre alt","direkter Migrationshintergrund","1123","0.578812384110996","0.555258172427305","0.602366595794687"
"keine PI","1986","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"keine PI","1986","66 und älter","kein Migrationshintergrund","396","0.392997525810248","0.362480607119606","0.42351444450089"
"keine PI","1986","66 und älter","direkter Migrationshintergrund","","","",""
"keine PI","1986","66 und älter","indirekter Migrationshintergrund","","","",""
"CDU/CSU","1986","16-34 Jahre alt","kein Migrationshintergrund","492","0.172999845308033","0.159076384003127","0.186923306612939"
"CDU/CSU","1986","16-34 Jahre alt","direkter Migrationshintergrund","45","0.0833241044995091","0.0670362545139421","0.0996119544850761"
"CDU/CSU","1986","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"CDU/CSU","1986","35-65 Jahre alt","kein Migrationshintergrund","1199","0.318527600554642","0.30361579857999","0.333439402529295"
"CDU/CSU","1986","35-65 Jahre alt","direkter Migrationshintergrund","142","0.172527067576816","0.154502394831382","0.19055174032225"
"CDU/CSU","1986","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"CDU/CSU","1986","66 und älter","kein Migrationshintergrund","298","0.309729511197491","0.280839248654561","0.338619773740421"
"CDU/CSU","1986","66 und älter","direkter Migrationshintergrund","","","",""
"CDU/CSU","1986","66 und älter","indirekter Migrationshintergrund","","","",""
"SPD","1986","16-34 Jahre alt","kein Migrationshintergrund","634","0.226900119825115","0.211482876563169","0.242317363087061"
"SPD","1986","16-34 Jahre alt","direkter Migrationshintergrund","235","0.198509488701424","0.175001777020549","0.222017200382298"
"SPD","1986","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"SPD","1986","35-65 Jahre alt","kein Migrationshintergrund","1146","0.307215428744334","0.292449761668833","0.321981095819836"
"SPD","1986","35-65 Jahre alt","direkter Migrationshintergrund","393","0.218764500174225","0.199042939546809","0.238486060801642"
"SPD","1986","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"SPD","1986","66 und älter","kein Migrationshintergrund","247","0.253022748459696","0.225859355632885","0.280186141286507"
"SPD","1986","66 und älter","direkter Migrationshintergrund","","","",""
"SPD","1986","66 und älter","indirekter Migrationshintergrund","","","",""
"FDP","1986","16-34 Jahre alt","kein Migrationshintergrund","36","0.0128700296905528","0.00872098127492531","0.0170190781061803"
"FDP","1986","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"FDP","1986","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"FDP","1986","35-65 Jahre alt","kein Migrationshintergrund","88","0.0229601668162093","0.0181664087542838","0.0277539248781348"
"FDP","1986","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"FDP","1986","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"FDP","1986","66 und älter","kein Migrationshintergrund","36","0.0350544183758063","0.0235630079646306","0.0465458287869821"
"FDP","1986","66 und älter","direkter Migrationshintergrund","","","",""
"FDP","1986","66 und älter","indirekter Migrationshintergrund","","","",""
"Grüne","1986","16-34 Jahre alt","kein Migrationshintergrund","233","0.0807274165532028","0.0706996494113105","0.0907551836950951"
