year,migback,party,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,Not leaning towards specific party,0.38716,3316,8545,0.37683,0.39749
1984,No migration background,SPD,0.27304,2353,8545,0.26360,0.28249
1984,No migration background,CDU/CSU,0.28193,2380,8545,0.27239,0.29147
1984,No migration background,FDP,0.01969,165,8545,0.01674,0.02264
1984,No migration background,Bündnis90/Grüne,0.03453,331,8545,0.03066,0.03841
1984,Direct migration background,Not leaning towards specific party,0.59845,2252,3332,0.58180,0.61510
1984,Direct migration background,SPD,0.22167,779,3332,0.20756,0.23577
1984,Direct migration background,CDU/CSU,0.14059,213,3332,0.12879,0.15240
1984,Direct migration background,Bündnis90/Grüne,0.02909,88,3332,0.02338,0.03480
1984,Indirect migration background,Not leaning towards specific party,0.61930,78,78,0.51084,0.72775
1985,No migration background,Not leaning towards specific party,0.40089,3162,7915,0.39010,0.41169
1985,No migration background,SPD,0.26504,2110,7915,0.25532,0.27477
1985,No migration background,CDU/CSU,0.26893,2103,7915,0.25916,0.27870
1985,No migration background,FDP,0.02431,186,7915,0.02092,0.02771
1985,No migration background,Bündnis90/Grüne,0.03634,318,7915,0.03221,0.04046
1985,No migration background,Others,0.00448,36,7915,0.00301,0.00596
1985,Direct migration background,Not leaning towards specific party,0.58062,1952,2888,0.56262,0.59862
1985,Direct migration background,SPD,0.22306,658,2888,0.20788,0.23825
1985,Direct migration background,CDU/CSU,0.15991,197,2888,0.14654,0.17328
1985,Direct migration background,Bündnis90/Grüne,0.02897,81,2888,0.02285,0.03509
1985,Indirect migration background,Not leaning towards specific party,0.61162,94,94,0.51256,0.71068
1986,No migration background,Not leaning towards specific party,0.39881,3043,7518,0.38774,0.40988
1986,No migration background,SPD,0.27112,2023,7518,0.26107,0.28117
1986,No migration background,CDU/CSU,0.26797,1983,7518,0.25796,0.27798
1986,No migration background,FDP,0.02184,159,7518,0.01854,0.02515
1986,No migration background,Bündnis90/Grüne,0.03704,310,7518,0.03277,0.04131
1986,Direct migration background,Not leaning towards specific party,0.59575,1907,2799,0.57756,0.61393
1986,Direct migration background,SPD,0.21738,634,2799,0.20210,0.23267
1986,Direct migration background,CDU/CSU,0.15175,195,2799,0.13846,0.16505
1986,Direct migration background,Bündnis90/Grüne,0.02654,63,2799,0.02059,0.03250
1986,Indirect migration background,Not leaning towards specific party,0.59304,100,100,0.49626,0.68981
1987,No migration background,Not leaning towards specific party,0.33966,2582,7400,0.32887,0.35045
1987,No migration background,SPD,0.27229,1992,7400,0.26214,0.28243
1987,No migration background,CDU/CSU,0.30249,2174,7400,0.29202,0.31296
1987,No migration background,FDP,0.03716,259,7400,0.03285,0.04147
1987,No migration background,Bündnis90/Grüne,0.04328,359,7400,0.03864,0.04792
1987,No migration background,Others,0.00512,34,7400,0.00350,0.00675
1987,Direct migration background,Not leaning towards specific party,0.58159,1882,2782,0.56326,0.59993
1987,Direct migration background,SPD,0.20602,580,2782,0.19099,0.22105
1987,Direct migration background,CDU/CSU,0.16606,220,2782,0.15223,0.17989
1987,Direct migration background,Bündnis90/Grüne,0.03555,100,2782,0.02867,0.04244
1987,Indirect migration background,Not leaning towards specific party,0.58298,111,147,0.50300,0.66296
1987,Indirect migration background,SPD,0.16961,36,147,0.10873,0.23049
1988,No migration background,Not leaning towards specific party,0.38271,2743,7024,0.37134,0.39408
1988,No migration background,SPD,0.28535,1987,7024,0.27479,0.29591
1988,No migration background,CDU/CSU,0.26114,1800,7024,0.25087,0.27141
