year,bula_h,quintil_oecd,party,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,2nd Quintile,Not leaning towards specific party,0.36270,31,65,0.24491,0.48049
1984,Schleswig-Holstein,2nd Quintile,SPD,0.44857,34,65,0.32672,0.57042
1984,Schleswig-Holstein,4th Quintile,Not leaning towards specific party,0.33395,35,70,0.22266,0.44523
1984,Schleswig-Holstein,4th Quintile,SPD,0.37197,35,70,0.25793,0.48602
1984,Hamburg,4th Quintile,Not leaning towards specific party,0.32607,34,34,0.16612,0.48601
1984,Lower Saxony,1st Quintile,Not leaning towards specific party,0.44121,160,272,0.38209,0.50033
1984,Lower Saxony,1st Quintile,SPD,0.26793,67,272,0.21520,0.32066
1984,Lower Saxony,1st Quintile,CDU/CSU,0.20764,45,272,0.15935,0.25594
1984,Lower Saxony,2nd Quintile,Not leaning towards specific party,0.39053,99,225,0.32664,0.45442
1984,Lower Saxony,2nd Quintile,SPD,0.38397,83,225,0.32028,0.44766
1984,Lower Saxony,2nd Quintile,CDU/CSU,0.21038,43,225,0.15700,0.26375
1984,Lower Saxony,3rd Quintile,Not leaning towards specific party,0.41874,102,217,0.35295,0.48454
1984,Lower Saxony,3rd Quintile,SPD,0.27922,63,217,0.21939,0.33904
1984,Lower Saxony,3rd Quintile,CDU/CSU,0.25667,52,217,0.19842,0.31492
1984,Lower Saxony,4th Quintile,Not leaning towards specific party,0.37121,98,236,0.30944,0.43298
1984,Lower Saxony,4th Quintile,SPD,0.25958,66,236,0.20353,0.31564
1984,Lower Saxony,4th Quintile,CDU/CSU,0.33792,72,236,0.27745,0.39840
1984,Lower Saxony,5th Quintile,Not leaning towards specific party,0.38677,94,205,0.31994,0.45360
1984,Lower Saxony,5th Quintile,SPD,0.22854,52,205,0.17092,0.28616
1984,Lower Saxony,5th Quintile,CDU/CSU,0.30618,59,205,0.24293,0.36943
1984,North Rhine-Westphalia,1st Quintile,Not leaning towards specific party,0.48496,432,766,0.44954,0.52037
1984,North Rhine-Westphalia,1st Quintile,SPD,0.26847,206,766,0.23707,0.29988
1984,North Rhine-Westphalia,1st Quintile,CDU/CSU,0.19805,97,766,0.16980,0.22629
1984,North Rhine-Westphalia,1st Quintile,Bündnis90/Grüne,0.04373,31,766,0.02924,0.05822
1984,North Rhine-Westphalia,2nd Quintile,Not leaning towards specific party,0.37141,287,596,0.33258,0.41023
1984,North Rhine-Westphalia,2nd Quintile,SPD,0.35420,209,596,0.31577,0.39263
1984,North Rhine-Westphalia,2nd Quintile,CDU/CSU,0.23628,100,596,0.20214,0.27041
1984,North Rhine-Westphalia,3rd Quintile,Not leaning towards specific party,0.33799,228,546,0.29828,0.37770
1984,North Rhine-Westphalia,3rd Quintile,SPD,0.33907,192,546,0.29933,0.37882
1984,North Rhine-Westphalia,3rd Quintile,CDU/CSU,0.27143,126,546,0.23409,0.30876
1984,North Rhine-Westphalia,4th Quintile,Not leaning towards specific party,0.39132,290,617,0.35278,0.42986
1984,North Rhine-Westphalia,4th Quintile,SPD,0.29119,181,617,0.25531,0.32707
