year,bula_h,regtyp,party,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Schleswig-Holstein,Urban regions,Not leaning towards specific party,0.20869,46,128,0.13801,0.27937
1985,Schleswig-Holstein,Urban regions,SPD,0.40488,82,128,0.31951,0.49025
1985,Schleswig-Holstein,Rural regions,Not leaning towards specific party,0.29889,70,176,0.23107,0.36672
1985,Schleswig-Holstein,Rural regions,SPD,0.23691,53,176,0.17392,0.29991
1985,Schleswig-Holstein,Rural regions,CDU/CSU,0.24852,53,176,0.18449,0.31255
1985,Hamburg,Urban regions,Not leaning towards specific party,0.36900,123,253,0.30942,0.42858
1985,Hamburg,Urban regions,SPD,0.26895,80,253,0.21420,0.32370
1985,Hamburg,Urban regions,CDU/CSU,0.20456,50,253,0.15475,0.25436
1985,Lower Saxony,Urban regions,Not leaning towards specific party,0.35786,239,468,0.31439,0.40134
1985,Lower Saxony,Urban regions,SPD,0.23443,133,468,0.19601,0.27285
1985,Lower Saxony,Urban regions,CDU/CSU,0.18075,96,468,0.14585,0.21565
1985,Lower Saxony,Rural regions,Not leaning towards specific party,0.32081,247,552,0.28183,0.35978
1985,Lower Saxony,Rural regions,SPD,0.22921,164,552,0.19411,0.26431
1985,Lower Saxony,Rural regions,CDU/CSU,0.22160,141,552,0.18692,0.25627
1985,Bremen,Urban regions,Not leaning towards specific party,0.35405,44,86,0.25239,0.45572
1985,Bremen,Urban regions,SPD,0.31661,42,86,0.21772,0.41549
1985,North Rhine-Westphalia,Urban regions,Not leaning towards specific party,0.31410,1280,2868,0.29711,0.33109
1985,North Rhine-Westphalia,Urban regions,SPD,0.24333,808,2868,0.22763,0.25904
1985,North Rhine-Westphalia,Urban regions,CDU/CSU,0.21606,611,2868,0.20100,0.23113
1985,North Rhine-Westphalia,Urban regions,FDP,0.01569,50,2868,0.01114,0.02024
1985,North Rhine-Westphalia,Urban regions,Bündnis90/Grüne,0.03156,119,2868,0.02516,0.03796
1985,North Rhine-Westphalia,Rural regions,Not leaning towards specific party,0.49514,42,42,0.34210,0.64818
1985,Hesse,Urban regions,Not leaning towards specific party,0.35167,501,958,0.32141,0.38192
1985,Hesse,Urban regions,SPD,0.22191,236,958,0.19558,0.24823
1985,Hesse,Urban regions,CDU/CSU,0.19823,155,958,0.17297,0.22349
1985,Hesse,Urban regions,Bündnis90/Grüne,0.05900,66,958,0.04407,0.07393
1985,Hesse,Rural regions,Not leaning towards specific party,0.35491,68,120,0.26894,0.44088
1985,Hesse,Rural regions,SPD,0.30593,52,120,0.22313,0.38872
1985,"Rhineland-Palatinate, Saarland",Urban regions,Not leaning towards specific party,0.40728,319,596,0.36780,0.44675
1985,"Rhineland-Palatinate, Saarland",Urban regions,SPD,0.19695,148,596,0.16499,0.22890
1985,"Rhineland-Palatinate, Saarland",Urban regions,CDU/CSU,0.19837,129,596,0.16633,0.23042
1985,"Rhineland-Palatinate, Saarland",Rural regions,Not leaning towards specific party,0.47490,77,119,0.38480,0.56500
1985,"Rhineland-Palatinate, Saarland",Rural regions,SPD,0.24575,42,119,0.16807,0.32343
1985,Baden-Wuerttemberg,Urban regions,Not leaning towards specific party,0.38993,940,1729,0.36694,0.41293
1985,Baden-Wuerttemberg,Urban regions,SPD,0.18101,401,1729,0.16285,0.19916
1985,Baden-Wuerttemberg,Urban regions,CDU/CSU,0.18820,303,1729,0.16977,0.20663
1985,Baden-Wuerttemberg,Urban regions,FDP,0.02885,39,1729,0.02096,0.03674
1985,Baden-Wuerttemberg,Urban regions,Bündnis90/Grüne,0.02552,46,1729,0.01808,0.03295
