year,bula_h,migback,party,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,No migration background,Not leaning towards specific party,0.31364,106,317,0.26248,0.36479
1984,Schleswig-Holstein,No migration background,SPD,0.37125,130,317,0.31798,0.42452
1984,Schleswig-Holstein,No migration background,CDU/CSU,0.24374,81,317,0.19641,0.29108
1984,Hamburg,No migration background,Not leaning towards specific party,0.34338,74,197,0.27690,0.40986
1984,Hamburg,No migration background,SPD,0.32893,71,197,0.26316,0.39471
1984,Hamburg,No migration background,CDU/CSU,0.24792,52,197,0.18747,0.30837
1984,Hamburg,Direct migration background,Not leaning towards specific party,0.61036,55,55,0.48029,0.74044
1984,Lower Saxony,No migration background,Not leaning towards specific party,0.38694,398,991,0.35660,0.41728
1984,Lower Saxony,No migration background,SPD,0.29092,298,991,0.26263,0.31921
1984,Lower Saxony,No migration background,CDU/CSU,0.26857,260,991,0.24096,0.29618
1984,Lower Saxony,No migration background,Bündnis90/Grüne,0.02890,35,991,0.01847,0.03934
1984,Lower Saxony,Direct migration background,Not leaning towards specific party,0.65215,152,184,0.58314,0.72116
1984,Lower Saxony,Direct migration background,SPD,0.15510,32,184,0.10265,0.20755
1984,Bremen,No migration background,Not leaning towards specific party,0.34327,34,71,0.23204,0.45450
1984,Bremen,No migration background,SPD,0.38136,37,71,0.26757,0.49514
1984,North Rhine-Westphalia,No migration background,Not leaning towards specific party,0.35406,793,2240,0.33426,0.37387
1984,North Rhine-Westphalia,No migration background,SPD,0.31025,699,2240,0.29109,0.32941
1984,North Rhine-Westphalia,No migration background,CDU/CSU,0.28308,621,2240,0.26442,0.30174
1984,North Rhine-Westphalia,No migration background,FDP,0.01827,42,2240,0.01272,0.02381
1984,North Rhine-Westphalia,No migration background,Bündnis90/Grüne,0.03351,85,2240,0.02605,0.04096
1984,North Rhine-Westphalia,Direct migration background,Not leaning towards specific party,0.60016,618,908,0.56828,0.63204
1984,North Rhine-Westphalia,Direct migration background,SPD,0.23174,243,908,0.20428,0.25920
1984,North Rhine-Westphalia,Direct migration background,CDU/CSU,0.13897,47,908,0.11646,0.16148
1984,Hesse,No migration background,Not leaning towards specific party,0.35899,267,735,0.32429,0.39370
1984,Hesse,No migration background,SPD,0.31676,240,735,0.28310,0.35041
1984,Hesse,No migration background,CDU/CSU,0.23589,175,735,0.20517,0.26660
1984,Hesse,No migration background,Bündnis90/Grüne,0.06365,53,735,0.04599,0.08132
1984,Hesse,Direct migration background,Not leaning towards specific party,0.53417,288,421,0.48646,0.58188
1984,Hesse,Direct migration background,SPD,0.31222,133,421,0.26790,0.35654
1984,"Rhineland-Palatinate, Saarland",No migration background,Not leaning towards specific party,0.43641,294,660,0.39854,0.47427
1984,"Rhineland-Palatinate, Saarland",No migration background,SPD,0.27774,195,660,0.24354,0.31193
1984,"Rhineland-Palatinate, Saarland",No migration background,CDU/CSU,0.24030,171,660,0.20767,0.27292
1984,"Rhineland-Palatinate, Saarland",Direct migration background,Not leaning towards specific party,0.74736,106,142,0.67564,0.81908
1984,"Rhineland-Palatinate, Saarland",Direct migration background,SPD,0.18929,36,142,0.12463,0.25395
1984,Baden-Wuerttemberg,No migration background,Not leaning towards specific party,0.44281,581,1328,0.41609,0.46954
1984,Baden-Wuerttemberg,No migration background,SPD,0.20435,277,1328,0.18266,0.22605
1984,Baden-Wuerttemberg,No migration background,CDU/CSU,0.29018,388,1328,0.26576,0.31460
1984,Baden-Wuerttemberg,No migration background,FDP,0.02673,34,1328,0.01805,0.03541
1984,Baden-Wuerttemberg,No migration background,Bündnis90/Grüne,0.03218,48,1328,0.02269,0.04168
1984,Baden-Wuerttemberg,Direct migration background,Not leaning towards specific party,0.60793,606,848,0.57505,0.64081
1984,Baden-Wuerttemberg,Direct migration background,SPD,0.20758,186,848,0.18027,0.23489
1984,Baden-Wuerttemberg,Direct migration background,CDU/CSU,0.12571,56,848,0.10338,0.14804
1984,Bavaria,No migration background,Not leaning towards specific party,0.40398,649,1571,0.37970,0.42825
1984,Bavaria,No migration background,SPD,0.19112,315,1571,0.17167,0.21057
1984,Bavaria,No migration background,CDU/CSU,0.35843,559,1571,0.33471,0.38215
1984,Bavaria,No migration background,Bündnis90/Grüne,0.02628,48,1571,0.01837,0.03419
1984,Bavaria,Direct migration background,Not leaning towards specific party,0.55295,298,431,0.50596,0.59995
1984,Bavaria,Direct migration background,SPD,0.20539,89,431,0.16721,0.24358
1984,Bavaria,Direct migration background,CDU/CSU,0.19575,44,431,0.15825,0.23326
1984,Berlin,No migration background,Not leaning towards specific party,0.42553,120,261,0.36543,0.48563
1984,Berlin,No migration background,SPD,0.31901,91,261,0.26236,0.37567
1984,Berlin,No migration background,CDU/CSU,0.17645,50,261,0.13011,0.22278
1984,Berlin,Direct migration background,Not leaning towards specific party,0.65593,84,84,0.55373,0.75813
1985,Schleswig-Holstein,No migration background,Not leaning towards specific party,0.31708,93,290,0.26343,0.37073
1985,Schleswig-Holstein,No migration background,SPD,0.38053,123,290,0.32455,0.43650
1985,Schleswig-Holstein,No migration background,CDU/CSU,0.24339,74,290,0.19391,0.29286
1985,Hamburg,No migration background,Not leaning towards specific party,0.40421,84,193,0.33479,0.47362
1985,Hamburg,No migration background,SPD,0.31381,66,193,0.24817,0.37945
1985,Hamburg,No migration background,CDU/CSU,0.22662,43,193,0.16740,0.28583
1985,Hamburg,Direct migration background,Not leaning towards specific party,0.52517,41,41,0.37041,0.67993
1985,Lower Saxony,No migration background,Not leaning towards specific party,0.38750,365,930,0.35617,0.41882
1985,Lower Saxony,No migration background,SPD,0.28168,269,930,0.25276,0.31061
1985,Lower Saxony,No migration background,CDU/CSU,0.25011,228,930,0.22226,0.27796
1985,Lower Saxony,No migration background,FDP,0.03892,34,930,0.02648,0.05136
1985,Lower Saxony,No migration background,Bündnis90/Grüne,0.03501,34,930,0.02319,0.04683
1985,Lower Saxony,Direct migration background,Not leaning towards specific party,0.66556,117,117,0.57970,0.75142
1985,Bremen,No migration background,Not leaning towards specific party,0.37760,32,64,0.25789,0.49731
1985,Bremen,No migration background,SPD,0.36035,32,64,0.24179,0.47890
1985,North Rhine-Westphalia,No migration background,Not leaning towards specific party,0.36296,758,2101,0.34240,0.38353
1985,North Rhine-Westphalia,No migration background,SPD,0.29976,628,2101,0.28016,0.31936
1985,North Rhine-Westphalia,No migration background,CDU/CSU,0.27488,574,2101,0.25579,0.29398
1985,North Rhine-Westphalia,No migration background,FDP,0.02077,47,2101,0.01467,0.02687
1985,North Rhine-Westphalia,No migration background,Bündnis90/Grüne,0.03973,94,2101,0.03138,0.04808
1985,North Rhine-Westphalia,Direct migration background,Not leaning towards specific party,0.60735,539,768,0.57279,0.64191
1985,North Rhine-Westphalia,Direct migration background,SPD,0.21979,179,768,0.19049,0.24910
1985,North Rhine-Westphalia,Direct migration background,CDU/CSU,0.14712,50,768,0.12205,0.17219
1985,Hesse,No migration background,Not leaning towards specific party,0.39203,273,680,0.35531,0.42875
1985,Hesse,No migration background,SPD,0.28169,195,680,0.24786,0.31553
1985,Hesse,No migration background,CDU/CSU,0.23420,156,680,0.20234,0.26605
1985,Hesse,No migration background,Bündnis90/Grüne,0.06817,56,680,0.04921,0.08713
1985,Hesse,Direct migration background,Not leaning towards specific party,0.54304,287,379,0.49282,0.59326
1985,Hesse,Direct migration background,SPD,0.24861,92,379,0.20504,0.29218
1985,"Rhineland-Palatinate, Saarland",No migration background,Not leaning towards specific party,0.48549,303,593,0.44523,0.52575
1985,"Rhineland-Palatinate, Saarland",No migration background,SPD,0.23916,153,593,0.20480,0.27352
1985,"Rhineland-Palatinate, Saarland",No migration background,CDU/CSU,0.21615,137,593,0.18299,0.24931
1985,"Rhineland-Palatinate, Saarland",Direct migration background,Not leaning towards specific party,0.63018,87,121,0.54380,0.71656
1985,"Rhineland-Palatinate, Saarland",Direct migration background,SPD,0.28945,34,121,0.20831,0.37059
1985,Baden-Wuerttemberg,No migration background,Not leaning towards specific party,0.44684,534,1209,0.41880,0.47487
1985,Baden-Wuerttemberg,No migration background,SPD,0.21276,264,1209,0.18968,0.23584
1985,Baden-Wuerttemberg,No migration background,CDU/CSU,0.27035,332,1209,0.24530,0.29540
1985,Baden-Wuerttemberg,No migration background,FDP,0.03544,39,1209,0.02501,0.04586
1985,Baden-Wuerttemberg,No migration background,Bündnis90/Grüne,0.03095,40,1209,0.02119,0.04072
1985,Baden-Wuerttemberg,Direct migration background,Not leaning towards specific party,0.59749,529,766,0.56274,0.63224
1985,Baden-Wuerttemberg,Direct migration background,SPD,0.22765,189,766,0.19794,0.25737
1985,Baden-Wuerttemberg,Direct migration background,CDU/CSU,0.13969,48,766,0.11512,0.16426
1985,Bavaria,No migration background,Not leaning towards specific party,0.42319,626,1441,0.39767,0.44871
1985,Bavaria,No migration background,SPD,0.20501,304,1441,0.18416,0.22586
