year,age_gr,sex,party,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,male,Not leaning towards specific party,0.50520,923,1693,0.48137,0.52902
1984,17-29 y.,male,SPD,0.20321,372,1693,0.18404,0.22239
1984,17-29 y.,male,CDU/CSU,0.18671,253,1693,0.16814,0.20527
1984,17-29 y.,male,Bündnis90/Grüne,0.08968,145,1693,0.07606,0.10329
1984,17-29 y.,female,Not leaning towards specific party,0.55268,1011,1668,0.52881,0.57655
1984,17-29 y.,female,SPD,0.19039,317,1668,0.17154,0.20923
1984,17-29 y.,female,CDU/CSU,0.15129,201,1668,0.13409,0.16849
1984,17-29 y.,female,Bündnis90/Grüne,0.09388,139,1668,0.07988,0.10788
1984,30-45 y.,male,Not leaning towards specific party,0.35766,802,1914,0.33618,0.37914
1984,30-45 y.,male,SPD,0.32790,627,1914,0.30686,0.34894
1984,30-45 y.,male,CDU/CSU,0.25296,388,1914,0.23348,0.27244
1984,30-45 y.,male,FDP,0.02535,39,1914,0.01830,0.03239
1984,30-45 y.,male,Bündnis90/Grüne,0.03269,58,1914,0.02472,0.04066
1984,30-45 y.,female,Not leaning towards specific party,0.40512,968,1927,0.38319,0.42704
1984,30-45 y.,female,SPD,0.29492,532,1927,0.27455,0.31529
1984,30-45 y.,female,CDU/CSU,0.24829,375,1927,0.22899,0.26758
1984,30-45 y.,female,Bündnis90/Grüne,0.03026,52,1927,0.02261,0.03791
1984,46-65 y.,male,Not leaning towards specific party,0.31704,693,1744,0.29520,0.33889
1984,46-65 y.,male,SPD,0.30734,525,1744,0.28568,0.32900
1984,46-65 y.,male,CDU/CSU,0.34231,494,1744,0.32003,0.36458
1984,46-65 y.,male,FDP,0.02334,32,1744,0.01625,0.03042
1984,46-65 y.,female,Not leaning towards specific party,0.37738,771,1717,0.35444,0.40031
1984,46-65 y.,female,SPD,0.27955,469,1717,0.25832,0.30079
1984,46-65 y.,female,CDU/CSU,0.31848,477,1717,0.29644,0.34052
1984,66 and older,male,Not leaning towards specific party,0.34566,172,471,0.30266,0.38865
1984,66 and older,male,SPD,0.27250,132,471,0.23225,0.31276
1984,66 and older,male,CDU/CSU,0.33239,167,471,0.28980,0.37498
1984,66 and older,female,Not leaning towards specific party,0.40265,306,738,0.36725,0.43806
1984,66 and older,female,SPD,0.25061,185,738,0.21932,0.28189
1984,66 and older,female,CDU/CSU,0.32159,247,738,0.28786,0.35531
1985,17-29 y.,male,Not leaning towards specific party,0.51723,878,1579,0.49258,0.54189
1985,17-29 y.,male,SPD,0.18832,328,1579,0.16903,0.20761
1985,17-29 y.,male,CDU/CSU,0.18720,241,1579,0.16796,0.20645
1985,17-29 y.,male,Bündnis90/Grüne,0.08766,132,1579,0.07370,0.10161
1985,17-29 y.,female,Not leaning towards specific party,0.58759,951,1509,0.56275,0.61244
1985,17-29 y.,female,SPD,0.19015,288,1509,0.17034,0.20995
1985,17-29 y.,female,CDU/CSU,0.12721,155,1509,0.11039,0.14403
1985,17-29 y.,female,Bündnis90/Grüne,0.08792,115,1509,0.07362,0.10221
1985,30-45 y.,male,Not leaning towards specific party,0.34784,685,1683,0.32508,0.37060
1985,30-45 y.,male,SPD,0.33496,558,1683,0.31240,0.35752
1985,30-45 y.,male,CDU/CSU,0.24694,344,1683,0.22633,0.26755
1985,30-45 y.,male,FDP,0.02596,36,1683,0.01836,0.03356
1985,30-45 y.,male,Bündnis90/Grüne,0.03928,60,1683,0.03000,0.04856
1985,30-45 y.,female,Not leaning towards specific party,0.39623,855,1758,0.37336,0.41910
1985,30-45 y.,female,SPD,0.29935,478,1758,0.27794,0.32077
1985,30-45 y.,female,CDU/CSU,0.23948,332,1758,0.21953,0.25944
1985,30-45 y.,female,FDP,0.02422,31,1758,0.01703,0.03141
1985,30-45 y.,female,Bündnis90/Grüne,0.03908,62,1758,0.03002,0.04814
1985,46-65 y.,male,Not leaning towards specific party,0.33200,663,1615,0.30903,0.35498
1985,46-65 y.,male,SPD,0.29857,476,1615,0.27624,0.32090
1985,46-65 y.,male,CDU/CSU,0.32241,434,1615,0.29961,0.34521
1985,46-65 y.,male,FDP,0.03020,42,1615,0.02185,0.03855
1985,46-65 y.,female,Not leaning towards specific party,0.39752,753,1596,0.37351,0.42154
1985,46-65 y.,female,SPD,0.26125,400,1596,0.23969,0.28281
1985,46-65 y.,female,CDU/CSU,0.31117,443,1596,0.28845,0.33389
1985,66 and older,male,Not leaning towards specific party,0.30997,132,417,0.26553,0.35442
1985,66 and older,male,SPD,0.27947,122,417,0.23635,0.32259
1985,66 and older,male,CDU/CSU,0.36172,163,417,0.31554,0.40789
1985,66 and older,female,Not leaning towards specific party,0.43382,291,638,0.39533,0.47230
1985,66 and older,female,SPD,0.23035,147,638,0.19765,0.26305
1985,66 and older,female,CDU/CSU,0.29848,200,638,0.26294,0.33401
1986,17-29 y.,male,Not leaning towards specific party,0.51035,871,1558,0.48552,0.53518
1986,17-29 y.,male,SPD,0.22273,350,1558,0.20206,0.24339
1986,17-29 y.,male,CDU/CSU,0.18069,227,1558,0.16158,0.19981
1986,17-29 y.,male,Bündnis90/Grüne,0.07212,110,1558,0.05927,0.08497
1986,17-29 y.,female,Not leaning towards specific party,0.58944,929,1450,0.56411,0.61477
1986,17-29 y.,female,SPD,0.18977,261,1450,0.16958,0.20996
1986,17-29 y.,female,CDU/CSU,0.12682,157,1450,0.10969,0.14396
1986,17-29 y.,female,Bündnis90/Grüne,0.08903,103,1450,0.07437,0.10369
1986,30-45 y.,male,Not leaning towards specific party,0.36631,664,1557,0.34237,0.39024
1986,30-45 y.,male,SPD,0.31496,489,1557,0.29188,0.33804
1986,30-45 y.,male,CDU/CSU,0.24049,304,1557,0.21925,0.26172
1986,30-45 y.,male,FDP,0.02603,34,1557,0.01812,0.03394
1986,30-45 y.,male,Bündnis90/Grüne,0.04728,66,1557,0.03673,0.05782
1986,30-45 y.,female,Not leaning towards specific party,0.41855,827,1650,0.39474,0.44236
1986,30-45 y.,female,SPD,0.28835,448,1650,0.26649,0.31022
1986,30-45 y.,female,CDU/CSU,0.22500,308,1650,0.20484,0.24515
1986,30-45 y.,female,Bündnis90/Grüne,0.04586,67,1650,0.03577,0.05596
1986,46-65 y.,male,Not leaning towards specific party,0.31678,644,1615,0.29408,0.33947
1986,46-65 y.,male,SPD,0.31413,493,1615,0.29148,0.33677
1986,46-65 y.,male,CDU/CSU,0.32718,444,1615,0.30429,0.35007
1986,46-65 y.,male,FDP,0.02507,34,1615,0.01744,0.03269
1986,46-65 y.,female,Not leaning towards specific party,0.38784,700,1532,0.36343,0.41225
1986,46-65 y.,female,SPD,0.26075,386,1532,0.23875,0.28274
1986,46-65 y.,female,CDU/CSU,0.32549,446,1532,0.30202,0.34896
1986,66 and older,male,Not leaning towards specific party,0.33127,143,390,0.28450,0.37804
1986,66 and older,male,SPD,0.30618,119,390,0.26038,0.35199
1986,66 and older,male,CDU/CSU,0.30823,128,390,0.26234,0.35411
1986,66 and older,female,Not leaning towards specific party,0.42614,272,589,0.38617,0.46611
1986,66 and older,female,SPD,0.22991,137,589,0.19590,0.26392
