year,age_gr,regtyp,party,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,Urban regions,Not leaning towards specific party,0.53719,1440,2457,0.51747,0.55691
1985,17-29 y.,Urban regions,SPD,0.20166,517,2457,0.18579,0.21752
1985,17-29 y.,Urban regions,CDU/CSU,0.14812,291,2457,0.13407,0.16217
1985,17-29 y.,Urban regions,Bündnis90/Grüne,0.09457,209,2457,0.08299,0.10614
1985,17-29 y.,Rural regions,Not leaning towards specific party,0.58722,389,631,0.54878,0.62567
1985,17-29 y.,Rural regions,SPD,0.14521,99,631,0.11770,0.17272
1985,17-29 y.,Rural regions,CDU/CSU,0.18511,105,631,0.15478,0.21544
1985,17-29 y.,Rural regions,Bündnis90/Grüne,0.06412,38,631,0.04499,0.08325
1985,30-45 y.,Urban regions,Not leaning towards specific party,0.37356,1247,2726,0.35539,0.39172
1985,30-45 y.,Urban regions,SPD,0.32013,828,2726,0.30261,0.33765
1985,30-45 y.,Urban regions,CDU/CSU,0.22086,486,2726,0.20528,0.23643
1985,30-45 y.,Urban regions,FDP,0.02525,52,2726,0.01936,0.03114
1985,30-45 y.,Urban regions,Bündnis90/Grüne,0.04721,113,2726,0.03925,0.05518
1985,30-45 y.,Rural regions,Not leaning towards specific party,0.35217,293,691,0.31653,0.38781
1985,30-45 y.,Rural regions,SPD,0.29484,208,691,0.26082,0.32887
1985,30-45 y.,Rural regions,CDU/CSU,0.30590,190,691,0.27152,0.34029
1985,46-65 y.,Urban regions,Not leaning towards specific party,0.36148,1132,2592,0.34298,0.37998
1985,46-65 y.,Urban regions,SPD,0.29234,725,2592,0.27482,0.30985
1985,46-65 y.,Urban regions,CDU/CSU,0.29656,644,2592,0.27897,0.31415
1985,46-65 y.,Urban regions,FDP,0.02693,60,2592,0.02070,0.03317
1985,46-65 y.,Urban regions,Bündnis90/Grüne,0.01099,31,2592,0.00698,0.01501
1985,46-65 y.,Rural regions,Not leaning towards specific party,0.36992,284,668,0.33328,0.40656
1985,46-65 y.,Rural regions,SPD,0.22767,151,668,0.19585,0.25949
1985,46-65 y.,Rural regions,CDU/CSU,0.36967,233,668,0.33304,0.40630
1985,66 and older,Urban regions,Not leaning towards specific party,0.38145,312,777,0.34727,0.41563
1985,66 and older,Urban regions,SPD,0.25914,209,777,0.22831,0.28997
1985,66 and older,Urban regions,CDU/CSU,0.30518,256,777,0.27278,0.33757
1985,66 and older,Rural regions,Not leaning towards specific party,0.39660,111,278,0.33899,0.45421
1985,66 and older,Rural regions,SPD,0.20928,60,278,0.16138,0.25719
1985,66 and older,Rural regions,CDU/CSU,0.35313,107,278,0.29684,0.40941
1986,17-29 y.,Urban regions,Not leaning towards specific party,0.53353,1422,2386,0.51350,0.55355
1986,17-29 y.,Urban regions,SPD,0.21663,505,2386,0.20009,0.23316
1986,17-29 y.,Urban regions,CDU/CSU,0.14380,280,2386,0.12971,0.15788
1986,17-29 y.,Urban regions,Bündnis90/Grüne,0.08782,179,2386,0.07646,0.09918
1986,17-29 y.,Rural regions,Not leaning towards specific party,0.57700,378,622,0.53815,0.61586
