year,migback,quintil_oecd,party,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,1st Quintile,Not leaning towards specific party,0.45931,651,1411,0.43330,0.48532
1984,No migration background,1st Quintile,SPD,0.24247,350,1411,0.22010,0.26484
1984,No migration background,1st Quintile,CDU/CSU,0.23395,325,1411,0.21186,0.25605
1984,No migration background,1st Quintile,Bündnis90/Grüne,0.04812,85,1411,0.03695,0.05929
1984,No migration background,2nd Quintile,Not leaning towards specific party,0.39546,632,1559,0.37118,0.41974
1984,No migration background,2nd Quintile,SPD,0.32411,507,1559,0.30087,0.34735
1984,No migration background,2nd Quintile,CDU/CSU,0.23987,374,1559,0.21867,0.26108
1984,No migration background,2nd Quintile,Bündnis90/Grüne,0.02606,46,1559,0.01815,0.03397
1984,No migration background,3rd Quintile,Not leaning towards specific party,0.38162,655,1675,0.35834,0.40489
1984,No migration background,3rd Quintile,SPD,0.28360,494,1675,0.26201,0.30520
1984,No migration background,3rd Quintile,CDU/CSU,0.27848,457,1675,0.25701,0.29995
1984,No migration background,3rd Quintile,Bündnis90/Grüne,0.03672,69,1675,0.02771,0.04573
1984,No migration background,4th Quintile,Not leaning towards specific party,0.38105,704,1834,0.35881,0.40328
1984,No migration background,4th Quintile,SPD,0.28682,528,1834,0.26611,0.30752
1984,No migration background,4th Quintile,CDU/CSU,0.28765,522,1834,0.26693,0.30838
1984,No migration background,4th Quintile,FDP,0.01706,32,1834,0.01113,0.02299
1984,No migration background,4th Quintile,Bündnis90/Grüne,0.02512,48,1834,0.01795,0.03228
1984,No migration background,5th Quintile,Not leaning towards specific party,0.33213,666,1989,0.31143,0.35284
1984,No migration background,5th Quintile,SPD,0.23526,473,1989,0.21662,0.25391
1984,No migration background,5th Quintile,CDU/CSU,0.35242,695,1989,0.33142,0.37342
1984,No migration background,5th Quintile,FDP,0.03888,74,1989,0.03038,0.04738
1984,No migration background,5th Quintile,Bündnis90/Grüne,0.03691,81,1989,0.02863,0.04520
1984,Direct migration background,1st Quintile,Not leaning towards specific party,0.63165,718,1010,0.60188,0.66141
1984,Direct migration background,1st Quintile,SPD,0.22348,216,1010,0.19777,0.24918
1984,Direct migration background,1st Quintile,CDU/CSU,0.10401,44,1010,0.08517,0.12285
1984,Direct migration background,1st Quintile,Bündnis90/Grüne,0.03733,32,1010,0.02564,0.04903
1984,Direct migration background,2nd Quintile,Not leaning towards specific party,0.64987,543,742,0.61552,0.68421
1984,Direct migration background,2nd Quintile,SPD,0.19700,160,742,0.16836,0.22564
1984,Direct migration background,2nd Quintile,CDU/CSU,0.12079,39,742,0.09732,0.14425
1984,Direct migration background,3rd Quintile,Not leaning towards specific party,0.56018,378,581,0.51979,0.60058
1984,Direct migration background,3rd Quintile,SPD,0.23085,159,581,0.19656,0.26515
1984,Direct migration background,3rd Quintile,CDU/CSU,0.15460,44,581,0.12518,0.18402
1984,Direct migration background,4th Quintile,Not leaning towards specific party,0.57780,380,567,0.53711,0.61849
1984,Direct migration background,4th Quintile,SPD,0.25078,148,567,0.21507,0.28650
1984,Direct migration background,4th Quintile,CDU/CSU,0.14649,39,567,0.11736,0.17563
1984,Direct migration background,5th Quintile,Not leaning towards specific party,0.53490,230,372,0.48414,0.58565
1984,Direct migration background,5th Quintile,SPD,0.21296,95,372,0.17130,0.25461
1984,Direct migration background,5th Quintile,CDU/CSU,0.20851,47,372,0.16717,0.24984
1985,No migration background,1st Quintile,Not leaning towards specific party,0.47597,616,1268,0.44847,0.50348
1985,No migration background,1st Quintile,SPD,0.22382,296,1268,0.20087,0.24677
1985,No migration background,1st Quintile,CDU/CSU,0.22528,280,1268,0.20228,0.24829
1985,No migration background,1st Quintile,Bündnis90/Grüne,0.04942,76,1268,0.03749,0.06136
1985,No migration background,2nd Quintile,Not leaning towards specific party,0.40691,596,1433,0.38146,0.43235
1985,No migration background,2nd Quintile,SPD,0.30961,448,1433,0.28566,0.33356
1985,No migration background,2nd Quintile,CDU/CSU,0.23714,347,1433,0.21511,0.25917
1985,No migration background,2nd Quintile,Bündnis90/Grüne,0.02609,42,1433,0.01783,0.03434
1985,No migration background,3rd Quintile,Not leaning towards specific party,0.38973,628,1581,0.36568,0.41378
1985,No migration background,3rd Quintile,SPD,0.29158,466,1581,0.26917,0.31399
1985,No migration background,3rd Quintile,CDU/CSU,0.26442,427,1581,0.24267,0.28616
1985,No migration background,3rd Quintile,Bündnis90/Grüne,0.03494,60,1581,0.02589,0.04400
1985,No migration background,4th Quintile,Not leaning towards specific party,0.41252,704,1691,0.38904,0.43599
1985,No migration background,4th Quintile,SPD,0.26544,448,1691,0.24439,0.28649
1985,No migration background,4th Quintile,CDU/CSU,0.25943,432,1691,0.23854,0.28033
1985,No migration background,4th Quintile,FDP,0.02230,37,1691,0.01526,0.02935
1985,No migration background,4th Quintile,Bündnis90/Grüne,0.03684,70,1691,0.02786,0.04583
1985,No migration background,5th Quintile,Not leaning towards specific party,0.33648,617,1838,0.31488,0.35809
1985,No migration background,5th Quintile,SPD,0.23610,451,1838,0.21668,0.25552
1985,No migration background,5th Quintile,CDU/CSU,0.34414,617,1838,0.32242,0.36587
1985,No migration background,5th Quintile,FDP,0.04676,84,1838,0.03710,0.05641
1985,No migration background,5th Quintile,Bündnis90/Grüne,0.03437,69,1838,0.02604,0.04270
1985,Direct migration background,1st Quintile,Not leaning towards specific party,0.67745,676,891,0.64674,0.70816
