year,migback,regtyp,party,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No migration background,Urban regions,Not leaning towards specific party,0.33708,2329,5932,0.32505,0.34911
1985,No migration background,Urban regions,SPD,0.23805,1674,5932,0.22721,0.24889
1985,No migration background,Urban regions,CDU/CSU,0.21749,1505,5932,0.20699,0.22798
1985,No migration background,Urban regions,FDP,0.02194,149,5932,0.01821,0.02567
1985,No migration background,Urban regions,Bündnis90/Grüne,0.03571,275,5932,0.03099,0.04043
1985,No migration background,Rural regions,Not leaning towards specific party,0.34640,833,1947,0.32526,0.36754
1985,No migration background,Rural regions,SPD,0.18591,436,1947,0.16863,0.20320
1985,No migration background,Rural regions,CDU/CSU,0.25686,598,1947,0.23745,0.27628
1985,No migration background,Rural regions,FDP,0.01677,37,1947,0.01106,0.02247
1985,No migration background,Rural regions,Bündnis90/Grüne,0.01677,43,1947,0.01107,0.02248
1985,Direct migration background,Urban regions,Not leaning towards specific party,0.53304,1721,2537,0.51363,0.55246
1985,Direct migration background,Urban regions,SPD,0.20845,578,2537,0.19264,0.22426
1985,Direct migration background,Urban regions,CDU/CSU,0.13200,162,2537,0.11883,0.14517
1985,Direct migration background,Urban regions,Bündnis90/Grüne,0.02913,76,2537,0.02258,0.03567
1985,Direct migration background,Rural regions,Not leaning towards specific party,0.49782,231,346,0.44506,0.55059
1985,Direct migration background,Rural regions,SPD,0.16951,80,346,0.12992,0.20911
1985,Direct migration background,Rural regions,CDU/CSU,0.22503,35,346,0.18096,0.26909
1985,Indirect migration background,Urban regions,Not leaning towards specific party,0.08213,81,81,0.02197,0.14230
1986,No migration background,Urban regions,Not leaning towards specific party,0.33538,2269,5687,0.32311,0.34765
1986,No migration background,Urban regions,SPD,0.24192,1591,5687,0.23079,0.25305
1986,No migration background,Urban regions,CDU/CSU,0.21943,1441,5687,0.20867,0.23019
1986,No migration background,Urban regions,FDP,0.01965,129,5687,0.01604,0.02326
1986,No migration background,Urban regions,Bündnis90/Grüne,0.03503,257,5687,0.03025,0.03980
1986,No migration background,Rural regions,Not leaning towards specific party,0.34364,774,1801,0.32170,0.36558
1986,No migration background,Rural regions,SPD,0.19350,432,1801,0.17525,0.21175
1986,No migration background,Rural regions,CDU/CSU,0.24793,542,1801,0.22798,0.26788
1986,No migration background,Rural regions,Bündnis90/Grüne,0.02074,53,1801,0.01416,0.02733
1986,Direct migration background,Urban regions,Not leaning towards specific party,0.54058,1658,2441,0.52080,0.56035
1986,Direct migration background,Urban regions,SPD,0.19995,563,2441,0.18408,0.21582
1986,Direct migration background,Urban regions,CDU/CSU,0.13559,161,2441,0.12201,0.14918
1986,Direct migration background,Urban regions,Bündnis90/Grüne,0.02716,59,2441,0.02071,0.03361
1986,Direct migration background,Rural regions,Not leaning towards specific party,0.56106,249,354,0.50929,0.61283
1986,Direct migration background,Rural regions,SPD,0.18976,71,354,0.14885,0.23066
1986,Direct migration background,Rural regions,CDU/CSU,0.15459,34,354,0.11687,0.19230
1986,Indirect migration background,Urban regions,Not leaning towards specific party,0.08512,86,86,0.02579,0.14445
1987,No migration background,Urban regions,Not leaning towards specific party,0.28540,1932,5574,0.27354,0.29725
1987,No migration background,Urban regions,SPD,0.24351,1569,5574,0.23224,0.25478
1987,No migration background,Urban regions,CDU/CSU,0.24459,1571,5574,0.23331,0.25588
1987,No migration background,Urban regions,FDP,0.03307,204,5574,0.02837,0.03776
1987,No migration background,Urban regions,Bündnis90/Grüne,0.04133,298,5574,0.03611,0.04656
1987,No migration background,Rural regions,Not leaning towards specific party,0.28940,650,1792,0.26840,0.31041
1987,No migration background,Rural regions,SPD,0.18941,423,1792,0.17126,0.20755
1987,No migration background,Rural regions,CDU/CSU,0.28543,603,1792,0.26452,0.30635
1987,No migration background,Rural regions,FDP,0.02635,55,1792,0.01893,0.03376
1987,No migration background,Rural regions,Bündnis90/Grüne,0.02251,61,1792,0.01564,0.02938
1987,Direct migration background,Urban regions,Not leaning towards specific party,0.53638,1621,2415,0.51649,0.55628
1987,Direct migration background,Urban regions,SPD,0.19132,517,2415,0.17563,0.20702
1987,Direct migration background,Urban regions,CDU/CSU,0.15230,188,2415,0.13797,0.16663
1987,Direct migration background,Urban regions,Bündnis90/Grüne,0.03431,89,2415,0.02705,0.04158
1987,Direct migration background,Rural regions,Not leaning towards specific party,0.55008,261,356,0.49833,0.60184
1987,Direct migration background,Rural regions,SPD,0.18727,63,356,0.14668,0.22785
1987,Direct migration background,Rural regions,CDU/CSU,0.16196,32,356,0.12364,0.20029
1987,Indirect migration background,Urban regions,Not leaning towards specific party,0.09141,98,131,0.04187,0.14096
1987,Indirect migration background,Urban regions,SPD,0.02498,33,131,-0.00185,0.05181
1988,No migration background,Urban regions,Not leaning towards specific party,0.32024,2038,5310,0.30769,0.33279
1988,No migration background,Urban regions,SPD,0.25206,1571,5310,0.24038,0.26374
1988,No migration background,Urban regions,CDU/CSU,0.21360,1321,5310,0.20257,0.22462
1988,No migration background,Urban regions,FDP,0.02568,156,5310,0.02143,0.02994
1988,No migration background,Urban regions,Bündnis90/Grüne,0.03461,224,5310,0.02970,0.03953
1988,No migration background,Rural regions,Not leaning towards specific party,0.33097,705,1674,0.30842,0.35352
1988,No migration background,Rural regions,SPD,0.20760,416,1674,0.18817,0.22704
1988,No migration background,Rural regions,CDU/CSU,0.24034,479,1674,0.21986,0.26081
1988,No migration background,Rural regions,FDP,0.02248,42,1674,0.01537,0.02958
1988,No migration background,Rural regions,Bündnis90/Grüne,0.01408,32,1674,0.00843,0.01973
1988,Direct migration background,Urban regions,Not leaning towards specific party,0.53333,1585,2303,0.51294,0.55371
1988,Direct migration background,Urban regions,SPD,0.21201,495,2303,0.19531,0.22871
1988,Direct migration background,Urban regions,CDU/CSU,0.15063,157,2303,0.13602,0.16524
1988,Direct migration background,Urban regions,Bündnis90/Grüne,0.02601,66,2303,0.01951,0.03252
1988,Direct migration background,Rural regions,Not leaning towards specific party,0.54083,241,330,0.48698,0.59468
