year,age_gr,migback,party,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,No migration background,Not leaning towards specific party,0.51141,1164,2286,0.49091,0.53191
1984,17-29 y.,No migration background,SPD,0.19946,476,2286,0.18307,0.21584
1984,17-29 y.,No migration background,CDU/CSU,0.17936,418,2286,0.16363,0.19509
1984,17-29 y.,No migration background,Bündnis90/Grüne,0.09609,228,2286,0.08401,0.10818
1984,17-29 y.,Direct migration background,Not leaning towards specific party,0.66806,707,985,0.63863,0.69748
1984,17-29 y.,Direct migration background,SPD,0.17880,196,985,0.15486,0.20275
1984,17-29 y.,Direct migration background,CDU/CSU,0.08980,36,985,0.07194,0.10766
1984,17-29 y.,Direct migration background,Bündnis90/Grüne,0.05100,46,985,0.03725,0.06475
1984,17-29 y.,Indirect migration background,Not leaning towards specific party,0.76219,63,63,0.65622,0.86817
1984,30-45 y.,No migration background,Not leaning towards specific party,0.34051,849,2470,0.32182,0.35921
1984,30-45 y.,No migration background,SPD,0.32444,800,2470,0.30598,0.34291
1984,30-45 y.,No migration background,CDU/CSU,0.27633,683,2470,0.25870,0.29397
1984,30-45 y.,No migration background,FDP,0.02466,59,2470,0.01854,0.03078
1984,30-45 y.,No migration background,Bündnis90/Grüne,0.03139,79,2470,0.02451,0.03827
1984,30-45 y.,Direct migration background,Not leaning towards specific party,0.64479,915,1372,0.61945,0.67012
1984,30-45 y.,Direct migration background,SPD,0.22337,351,1372,0.20132,0.24542
1984,30-45 y.,Direct migration background,CDU/CSU,0.08747,75,1372,0.07251,0.10242
1984,30-45 y.,Direct migration background,Bündnis90/Grüne,0.03271,31,1372,0.02329,0.04212
1984,46-65 y.,No migration background,Not leaning towards specific party,0.33015,845,2543,0.31187,0.34843
1984,46-65 y.,No migration background,SPD,0.29766,766,2543,0.27989,0.31544
1984,46-65 y.,No migration background,CDU/CSU,0.34233,877,2543,0.32388,0.36078
1984,46-65 y.,No migration background,FDP,0.02094,55,2543,0.01537,0.02650
1984,46-65 y.,Direct migration background,Not leaning towards specific party,0.51578,612,929,0.48363,0.54794
1984,46-65 y.,Direct migration background,SPD,0.25056,226,929,0.22268,0.27844
1984,46-65 y.,Direct migration background,CDU/CSU,0.21459,91,929,0.18818,0.24101
1984,66 and older,No migration background,Not leaning towards specific party,0.38119,458,1171,0.35336,0.40902
1984,66 and older,No migration background,SPD,0.25923,311,1171,0.23412,0.28434
1984,66 and older,No migration background,CDU/CSU,0.32492,402,1171,0.29808,0.35176
1985,17-29 y.,No migration background,Not leaning towards specific party,0.53951,1163,2156,0.51846,0.56055
1985,17-29 y.,No migration background,SPD,0.19158,432,2156,0.17496,0.20820
1985,17-29 y.,No migration background,CDU/CSU,0.16363,360,2156,0.14801,0.17925
1985,17-29 y.,No migration background,Bündnis90/Grüne,0.09089,201,2156,0.07875,0.10302
1985,17-29 y.,Direct migration background,Not leaning towards specific party,0.65362,587,821,0.62105,0.68618
1985,17-29 y.,Direct migration background,SPD,0.17245,162,821,0.14660,0.19831
1985,17-29 y.,Direct migration background,CDU/CSU,0.11119,32,821,0.08967,0.13271
