"party","year","bildungsniveau","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"keine Parteineigung","1984","(noch) kein Abschluss","kein Migrationshintergrund","130","","",""
"keine Parteineigung","1984","(noch) kein Abschluss","direkter Migrationshintergrund","776","0.748276917697089","0.721887305265878","0.774666530128301"
"keine Parteineigung","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","9","0.799484039214231","0.589752644002909","1.00921543442555"
"keine Parteineigung","1984","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"keine Parteineigung","1984","Hauptschule","kein Migrationshintergrund","2075","","",""
"keine Parteineigung","1984","Hauptschule","direkter Migrationshintergrund","1156","","",""
"keine Parteineigung","1984","Hauptschule","indirekter Migrationshintergrund","49","0.620673024205375","0.50936538785782","0.73198066055293"
"keine Parteineigung","1984","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"keine Parteineigung","1984","Realschule","kein Migrationshintergrund","686","0.396337585701055","0.373037940387306","0.419637231014804"
"keine Parteineigung","1984","Realschule","direkter Migrationshintergrund","67","0.461112060584129","0.377640164216254","0.544583956952005"
"keine Parteineigung","1984","Realschule","indirekter Migrationshintergrund","13","","",""
"keine Parteineigung","1984","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"keine Parteineigung","1984","(Fach-)Abitur","kein Migrationshintergrund","200","","",""
"keine Parteineigung","1984","(Fach-)Abitur","direkter Migrationshintergrund","147","","",""
"keine Parteineigung","1984","(Fach-)Abitur","indirekter Migrationshintergrund","4","0.523898808440258","0.153923781431413","0.893873835449104"
"keine Parteineigung","1984","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"keine Parteineigung","1984","AkademikerIn","kein Migrationshintergrund","216","","",""
"keine Parteineigung","1984","AkademikerIn","direkter Migrationshintergrund","59","0.49604155089237","0.406955070848077","0.585128030936663"
"keine Parteineigung","1984","AkademikerIn","indirekter Migrationshintergrund","1","","",""
