year,migback,sex,party,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,male,Not leaning towards specific party,0.29598,1467,4048,0.28192,0.31005
1984,No migration background,male,SPD,0.23236,1149,4048,0.21935,0.24537
1984,No migration background,male,CDU/CSU,0.23720,1174,4048,0.22409,0.25030
1984,No migration background,male,FDP,0.01931,94,4048,0.01507,0.02355
1984,No migration background,male,Bündnis90/Grüne,0.03028,164,4048,0.02500,0.03556
1984,No migration background,female,Not leaning towards specific party,0.34585,1849,4497,0.33195,0.35975
1984,No migration background,female,SPD,0.22271,1204,4497,0.21055,0.23487
1984,No migration background,female,CDU/CSU,0.23240,1206,4497,0.22005,0.24475
1984,No migration background,female,FDP,0.01377,71,4497,0.01036,0.01717
1984,No migration background,female,Bündnis90/Grüne,0.02737,167,4497,0.02260,0.03214
1984,Direct migration background,male,Not leaning towards specific party,0.49386,1091,1752,0.47044,0.51728
1984,Direct migration background,male,SPD,0.22338,492,1752,0.20387,0.24289
1984,Direct migration background,male,CDU/CSU,0.12171,122,1752,0.10640,0.13702
1984,Direct migration background,male,Bündnis90/Grüne,0.02233,47,1752,0.01541,0.02926
1984,Direct migration background,female,Not leaning towards specific party,0.56776,1161,1580,0.54332,0.59219
1984,Direct migration background,female,SPD,0.16698,287,1580,0.14858,0.18537
1984,Direct migration background,female,CDU/CSU,0.12729,91,1580,0.11085,0.14373
1984,Direct migration background,female,Bündnis90/Grüne,0.02939,41,1580,0.02106,0.03772
1984,Indirect migration background,male,Not leaning towards specific party,0.05112,32,32,-0.02641,0.12866
1984,Indirect migration background,female,Not leaning towards specific party,0.09410,46,46,0.00879,0.17940
1985,No migration background,male,Not leaning towards specific party,0.30313,1371,3750,0.28842,0.31785
1985,No migration background,male,SPD,0.23358,1052,3750,0.22003,0.24712
1985,No migration background,male,CDU/CSU,0.23735,1063,3750,0.22373,0.25097
1985,No migration background,male,FDP,0.02276,105,3750,0.01798,0.02753
1985,No migration background,male,Bündnis90/Grüne,0.03279,159,3750,0.02709,0.03849
1985,No migration background,female,Not leaning towards specific party,0.37211,1791,4129,0.35736,0.38685
1985,No migration background,female,SPD,0.21629,1058,4129,0.20373,0.22885
1985,No migration background,female,CDU/CSU,0.21915,1040,4129,0.20653,0.23177
1985,No migration background,female,FDP,0.01865,81,4129,0.01452,0.02277
1985,No migration background,female,Bündnis90/Grüne,0.02896,159,4129,0.02385,0.03408
1985,Direct migration background,male,Not leaning towards specific party,0.50301,944,1526,0.47792,0.52811
1985,Direct migration background,male,SPD,0.22443,419,1526,0.20349,0.24537
1985,Direct migration background,male,CDU/CSU,0.14035,115,1526,0.12292,0.15779
1985,Direct migration background,male,Bündnis90/Grüne,0.02781,48,1526,0.01956,0.03606
1985,Direct migration background,female,Not leaning towards specific party,0.55416,1008,1362,0.52775,0.58057
1985,Direct migration background,female,SPD,0.18017,239,1362,0.15975,0.20059
1985,Direct migration background,female,CDU/CSU,0.15071,82,1362,0.13170,0.16972
1985,Direct migration background,female,Bündnis90/Grüne,0.02480,33,1362,0.01654,0.03306
1985,Indirect migration background,male,Not leaning towards specific party,0.08819,43,43,0.00243,0.17396
1985,Indirect migration background,female,Not leaning towards specific party,0.08831,51,51,0.00966,0.16696
1986,No migration background,male,Not leaning towards specific party,0.30466,1342,3596,0.28962,0.31971
1986,No migration background,male,SPD,0.24609,1030,3596,0.23201,0.26017
1986,No migration background,male,CDU/CSU,0.23076,986,3596,0.21699,0.24454
1986,No migration background,male,FDP,0.02173,93,3596,0.01696,0.02650
1986,No migration background,male,Bündnis90/Grüne,0.03112,145,3596,0.02545,0.03680
1986,No migration background,female,Not leaning towards specific party,0.36695,1701,3922,0.35186,0.38203
1986,No migration background,female,SPD,0.21452,993,3922,0.20168,0.22737
1986,No migration background,female,CDU/CSU,0.22320,997,3922,0.21017,0.23623
1986,No migration background,female,FDP,0.01557,66,3922,0.01170,0.01945
1986,No migration background,female,Bündnis90/Grüne,0.03154,165,3922,0.02607,0.03701
1986,Direct migration background,male,Not leaning towards specific party,0.50145,941,1496,0.47610,0.52679
1986,Direct migration background,male,SPD,0.22617,404,1496,0.20496,0.24737
1986,Direct migration background,male,CDU/CSU,0.13383,108,1496,0.11657,0.15109
1986,Direct migration background,male,Bündnis90/Grüne,0.03292,43,1496,0.02387,0.04196
1986,Direct migration background,female,Not leaning towards specific party,0.58903,966,1283,0.56210,0.61596
1986,Direct migration background,female,SPD,0.16861,230,1283,0.14812,0.18911
1986,Direct migration background,female,CDU/CSU,0.14350,87,1283,0.12431,0.16269
1986,Indirect migration background,male,Not leaning towards specific party,0.06499,39,39,-0.01339,0.14337
1986,Indirect migration background,female,Not leaning towards specific party,0.10490,61,61,0.02736,0.18243
1987,No migration background,male,Not leaning towards specific party,0.25546,1136,3538,0.24109,0.26983
1987,No migration background,male,SPD,0.24101,1007,3538,0.22692,0.25511
1987,No migration background,male,CDU/CSU,0.26027,1089,3538,0.24581,0.27473
