year,regtyp,party,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No answer / don't know,Not leaning towards specific party,0.40803,5646,12056,0.39926,0.41681
1984,No answer / don't know,SPD,0.26795,3159,12056,0.26005,0.27586
1984,No answer / don't know,CDU/CSU,0.26790,2602,12056,0.26000,0.27581
1984,No answer / don't know,FDP,0.01837,180,12056,0.01598,0.02077
1984,No answer / don't know,Bündnis90/Grüne,0.03409,429,12056,0.03085,0.03733
1984,No answer / don't know,Others,0.00365,40,12056,0.00257,0.00473
1985,Urban regions,Not leaning towards specific party,0.41618,4131,8603,0.40576,0.42660
1985,Urban regions,SPD,0.27301,2279,8603,0.26360,0.28243
1985,Urban regions,CDU/CSU,0.24229,1677,8603,0.23324,0.25135
1985,Urban regions,FDP,0.02373,160,8603,0.02051,0.02694
1985,Urban regions,Bündnis90/Grüne,0.04083,356,8603,0.03665,0.04502
1985,Rural regions,Not leaning towards specific party,0.42746,1077,2316,0.40731,0.44761
1985,Rural regions,SPD,0.22217,518,2316,0.20524,0.23911
1985,Rural regions,CDU/CSU,0.30719,635,2316,0.28840,0.32598
1985,Rural regions,FDP,0.01909,37,2316,0.01352,0.02466
1985,Rural regions,Bündnis90/Grüne,0.01979,49,2316,0.01412,0.02546
1986,Urban regions,Not leaning towards specific party,0.41605,4013,8270,0.40542,0.42667
1986,Urban regions,SPD,0.27542,2179,8270,0.26579,0.28505
1986,Urban regions,CDU/CSU,0.24406,1614,8270,0.23480,0.25332
1986,Urban regions,FDP,0.02113,139,8270,0.01803,0.02423
1986,Urban regions,Bündnis90/Grüne,0.04007,325,8270,0.03584,0.04430
1986,Rural regions,Not leaning towards specific party,0.43017,1037,2179,0.40938,0.45096
1986,Rural regions,SPD,0.23259,504,2179,0.21484,0.25033
1986,Rural regions,CDU/CSU,0.29340,580,2179,0.27428,0.31252
1986,Rural regions,Bündnis90/Grüne,0.02411,58,2179,0.01767,0.03055
1987,Urban regions,Not leaning towards specific party,0.36535,3651,8155,0.35490,0.37581
1987,Urban regions,SPD,0.27586,2119,8155,0.26616,0.28556
1987,Urban regions,CDU/CSU,0.27176,1771,8155,0.26210,0.28141
1987,Urban regions,FDP,0.03536,220,8155,0.03135,0.03937
1987,Urban regions,Bündnis90/Grüne,0.04728,394,8155,0.04267,0.05188
1987,Rural regions,Not leaning towards specific party,0.36926,924,2183,0.34901,0.38951
1987,Rural regions,SPD,0.22933,489,2183,0.21169,0.24696
1987,Rural regions,CDU/CSU,0.33850,641,2183,0.31865,0.35836
1987,Rural regions,FDP,0.03007,57,2183,0.02290,0.03723
1987,Rural regions,Bündnis90/Grüne,0.02736,72,2183,0.02051,0.03420
1988,Urban regions,Not leaning towards specific party,0.39951,3742,7849,0.38867,0.41035
1988,Urban regions,SPD,0.28757,2114,7849,0.27756,0.29759
1988,Urban regions,CDU/CSU,0.23931,1489,7849,0.22987,0.24875
1988,Urban regions,FDP,0.02767,171,7849,0.02404,0.03130
1988,Urban regions,Bündnis90/Grüne,0.03945,297,7849,0.03514,0.04376
1988,Urban regions,Others,0.00648,36,7849,0.00471,0.00826
1988,Rural regions,Not leaning towards specific party,0.41611,967,2042,0.39473,0.43750
1988,Rural regions,SPD,0.25062,477,2042,0.23182,0.26942
1988,Rural regions,CDU/CSU,0.28501,515,2042,0.26543,0.30460
1988,Rural regions,FDP,0.02560,43,2042,0.01875,0.03245
1988,Rural regions,Bündnis90/Grüne,0.01705,40,2042,0.01143,0.02266
1989,Urban regions,Not leaning towards specific party,0.41744,3663,7636,0.40638,0.42850
1989,Urban regions,SPD,0.28688,2130,7636,0.27673,0.29702
1989,Urban regions,CDU/CSU,0.21262,1272,7636,0.20344,0.22180
1989,Urban regions,FDP,0.01664,106,7636,0.01377,0.01951
1989,Urban regions,Bündnis90/Grüne,0.04213,319,7636,0.03762,0.04663
1989,Urban regions,Others,0.02430,146,7636,0.02084,0.02775
1989,Rural regions,Not leaning towards specific party,0.44481,956,1949,0.42275,0.46688
1989,Rural regions,SPD,0.23044,439,1949,0.21174,0.24914
1989,Rural regions,CDU/CSU,0.26337,446,1949,0.24381,0.28293
1989,Rural regions,FDP,0.02257,32,1949,0.01597,0.02916
1989,Rural regions,Bündnis90/Grüne,0.01589,38,1949,0.01034,0.02144
1989,Rural regions,Others,0.02292,38,1949,0.01628,0.02957
1990,Urban regions,Not leaning towards specific party,0.38967,3419,7439,0.37859,0.40075
1990,Urban regions,SPD,0.30845,2210,7439,0.29795,0.31895
1990,Urban regions,CDU/CSU,0.22970,1349,7439,0.22014,0.23926
1990,Urban regions,FDP,0.02642,160,7439,0.02278,0.03007
1990,Urban regions,Bündnis90/Grüne,0.03327,241,7439,0.02920,0.03735
1990,Urban regions,Far right parties,0.00935,60,7439,0.00716,0.01153
1990,Rural regions,Not leaning towards specific party,0.43647,937,1931,0.41434,0.45860
1990,Rural regions,SPD,0.24253,443,1931,0.22340,0.26165
1990,Rural regions,CDU/CSU,0.26545,459,1931,0.24575,0.28515
1990,Rural regions,FDP,0.02121,34,1931,0.01478,0.02764
1990,Rural regions,Bündnis90/Grüne,0.02397,58,1931,0.01715,0.03080
1991,Urban regions,Not leaning towards specific party,0.39217,2141,5312,0.37904,0.40530
1991,Urban regions,SPD,0.28357,1504,5312,0.27145,0.29569
1991,Urban regions,CDU/CSU,0.24605,1277,5312,0.23446,0.25763
1991,Urban regions,FDP,0.03470,166,5312,0.02978,0.03962
1991,Urban regions,Bündnis90/Grüne,0.03472,189,5312,0.02979,0.03964
1991,Urban regions,Far right parties,0.00592,35,5312,0.00385,0.00798
1991,Rural regions,Not leaning towards specific party,0.42179,751,1686,0.39821,0.44537
1991,Rural regions,SPD,0.22793,380,1686,0.20790,0.24796
1991,Rural regions,CDU/CSU,0.29856,487,1686,0.27671,0.32041
1991,Rural regions,FDP,0.02235,36,1686,0.01529,0.02941
1991,Rural regions,Bündnis90/Grüne,0.01791,32,1686,0.01158,0.02424
1992,No answer / don't know,Not leaning towards specific party,0.55152,69,69,0.43331,0.66973
1992,Urban regions,Not leaning towards specific party,0.49606,4836,8618,0.48551,0.50662
1992,Urban regions,SPD,0.23536,1871,8618,0.22640,0.24432
1992,Urban regions,CDU/CSU,0.19823,1343,8618,0.18981,0.20665
1992,Urban regions,FDP,0.02373,153,8618,0.02052,0.02695
1992,Urban regions,Bündnis90/Grüne,0.03362,289,8618,0.02981,0.03742
1992,Urban regions,PDS/Linke,0.00424,49,8618,0.00287,0.00562
1992,Urban regions,Others,0.00875,77,8618,0.00678,0.01072
1992,Rural regions,Not leaning towards specific party,0.57292,2822,4508,0.55848,0.58736
1992,Rural regions,SPD,0.16598,649,4508,0.15512,0.17685
1992,Rural regions,CDU/CSU,0.19531,730,4508,0.18374,0.20688
1992,Rural regions,FDP,0.02004,88,4508,0.01595,0.02414
1992,Rural regions,Bündnis90/Grüne,0.01892,106,4508,0.01495,0.02290
1992,Rural regions,PDS/Linke,0.01437,74,4508,0.01089,0.01784
1992,Rural regions,Others,0.01245,39,4508,0.00921,0.01569
1993,Urban regions,Not leaning towards specific party,0.54953,5194,8538,0.53898,0.56009
1993,Urban regions,SPD,0.20409,1634,8538,0.19554,0.21264
1993,Urban regions,CDU/CSU,0.16289,1090,8538,0.15506,0.17073
1993,Urban regions,FDP,0.02082,134,8538,0.01779,0.02385
1993,Urban regions,Bündnis90/Grüne,0.04144,339,8538,0.03721,0.04566
1993,Urban regions,PDS/Linke,0.00481,54,8538,0.00334,0.00627
1993,Urban regions,Far right parties,0.01274,93,8538,0.01036,0.01512
1993,Rural regions,Not leaning towards specific party,0.60815,2971,4459,0.59382,0.62249
1993,Rural regions,SPD,0.14524,580,4459,0.13490,0.15559
1993,Rural regions,CDU/CSU,0.16949,609,4459,0.15848,0.18051
1993,Rural regions,FDP,0.01961,68,4459,0.01554,0.02368
1993,Rural regions,Bündnis90/Grüne,0.02140,98,4459,0.01715,0.02565
1993,Rural regions,PDS/Linke,0.01722,87,4459,0.01340,0.02104
1993,Rural regions,Far right parties,0.01402,46,4459,0.01057,0.01747
1994,Urban regions,Not leaning towards specific party,0.51409,4882,8426,0.50342,0.52477
1994,Urban regions,SPD,0.23126,1793,8426,0.22226,0.24027
