year,quintil_oecd,sex,party,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,male,Not leaning towards specific party,0.33166,587,1080,0.30357,0.35975
1984,1st Quintile,male,SPD,0.17262,277,1080,0.15007,0.19517
1984,1st Quintile,male,CDU/CSU,0.15040,155,1080,0.12907,0.17173
1984,1st Quintile,male,Bündnis90/Grüne,0.04404,61,1080,0.03179,0.05628
1984,1st Quintile,female,Not leaning towards specific party,0.39326,798,1367,0.36735,0.41916
1984,1st Quintile,female,SPD,0.19047,295,1367,0.16964,0.21129
1984,1st Quintile,female,CDU/CSU,0.17631,215,1367,0.15610,0.19652
1984,1st Quintile,female,Bündnis90/Grüne,0.02947,59,1367,0.02050,0.03844
1984,2nd Quintile,male,Not leaning towards specific party,0.28980,511,1067,0.26257,0.31704
1984,2nd Quintile,male,SPD,0.26081,356,1067,0.23445,0.28717
1984,2nd Quintile,male,CDU/CSU,0.17453,200,1067,0.15175,0.19732
1984,2nd Quintile,female,Not leaning towards specific party,0.37250,686,1255,0.34574,0.39926
1984,2nd Quintile,female,SPD,0.22662,318,1255,0.20345,0.24979
1984,2nd Quintile,female,CDU/CSU,0.17867,214,1255,0.15746,0.19987
1984,2nd Quintile,female,Bündnis90/Grüne,0.02570,37,1255,0.01694,0.03446
1984,3rd Quintile,male,Not leaning towards specific party,0.30918,509,1159,0.28256,0.33580
1984,3rd Quintile,male,SPD,0.22965,346,1159,0.20542,0.25387
1984,3rd Quintile,male,CDU/CSU,0.21923,258,1159,0.19540,0.24306
1984,3rd Quintile,male,Bündnis90/Grüne,0.02845,46,1159,0.01888,0.03803
1984,3rd Quintile,female,Not leaning towards specific party,0.33674,539,1137,0.30926,0.36422
1984,3rd Quintile,female,SPD,0.21954,310,1137,0.19547,0.24361
1984,3rd Quintile,female,CDU/CSU,0.21107,244,1137,0.18734,0.23480
1984,3rd Quintile,female,Bündnis90/Grüne,0.03081,44,1137,0.02076,0.04086
1984,4th Quintile,male,Not leaning towards specific party,0.31574,532,1196,0.28939,0.34209
1984,4th Quintile,male,SPD,0.24802,374,1196,0.22353,0.27251
1984,4th Quintile,male,CDU/CSU,0.23217,290,1196,0.20823,0.25611
1984,4th Quintile,female,Not leaning towards specific party,0.35341,572,1187,0.32620,0.38061
1984,4th Quintile,female,SPD,0.23150,310,1187,0.20749,0.25551
1984,4th Quintile,female,CDU/CSU,0.23417,273,1187,0.21007,0.25827
1984,4th Quintile,female,Bündnis90/Grüne,0.02055,32,1187,0.01248,0.02863
1984,5th Quintile,male,Not leaning towards specific party,0.29454,447,1249,0.26925,0.31984
1984,5th Quintile,male,SPD,0.21240,303,1249,0.18970,0.23509
1984,5th Quintile,male,CDU/CSU,0.30566,397,1249,0.28010,0.33122
1984,5th Quintile,male,FDP,0.03917,48,1249,0.02841,0.04994
1984,5th Quintile,male,Bündnis90/Grüne,0.03778,54,1249,0.02720,0.04836
