year,age_gr,party,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Not leaning towards specific party,0.52862,1934,3361,0.51174,0.54550
1984,17-29 y.,SPD,0.19688,689,3361,0.18344,0.21033
1984,17-29 y.,CDU/CSU,0.16923,454,3361,0.15656,0.18191
1984,17-29 y.,Bündnis90/Grüne,0.09175,284,3361,0.08199,0.10151
1984,30-45 y.,Not leaning towards specific party,0.38123,1770,3870,0.36593,0.39654
1984,30-45 y.,SPD,0.31152,1159,3870,0.29693,0.32611
1984,30-45 y.,CDU/CSU,0.25064,763,3870,0.23698,0.26430
1984,30-45 y.,FDP,0.02267,68,3870,0.01798,0.02736
1984,30-45 y.,Bündnis90/Grüne,0.03148,110,3870,0.02598,0.03698
1984,46-65 y.,Not leaning towards specific party,0.34884,1464,3486,0.33301,0.36466
1984,46-65 y.,SPD,0.29270,994,3486,0.27759,0.30780
1984,46-65 y.,CDU/CSU,0.32975,971,3486,0.31414,0.34536
1984,46-65 y.,FDP,0.01948,57,3486,0.01489,0.02407
1984,66 and older,Not leaning towards specific party,0.38227,478,1209,0.35487,0.40968
1984,66 and older,SPD,0.25844,317,1209,0.23375,0.28312
1984,66 and older,CDU/CSU,0.32545,414,1209,0.29903,0.35187
1985,17-29 y.,Not leaning towards specific party,0.55184,1829,3088,0.53430,0.56939
1985,17-29 y.,SPD,0.18922,616,3088,0.17540,0.20303
1985,17-29 y.,CDU/CSU,0.15769,396,3088,0.14484,0.17055
1985,17-29 y.,Bündnis90/Grüne,0.08778,247,3088,0.07780,0.09777
1985,30-45 y.,Not leaning towards specific party,0.37203,1540,3441,0.35588,0.38818
1985,30-45 y.,SPD,0.31716,1036,3441,0.30161,0.33271
1985,30-45 y.,CDU/CSU,0.24321,676,3441,0.22888,0.25755
1985,30-45 y.,FDP,0.02509,67,3441,0.01987,0.03032
1985,30-45 y.,Bündnis90/Grüne,0.03918,122,3441,0.03270,0.04566
1985,46-65 y.,Not leaning towards specific party,0.36634,1416,3271,0.34982,0.38285
1985,46-65 y.,SPD,0.27901,876,3271,0.26364,0.29439
1985,46-65 y.,CDU/CSU,0.31652,877,3271,0.30058,0.33246
1985,46-65 y.,FDP,0.02415,69,3271,0.01889,0.02941
1985,46-65 y.,Bündnis90/Grüne,0.00914,33,3271,0.00588,0.01241
1985,66 and older,Not leaning towards specific party,0.38927,423,1090,0.36031,0.41823
1985,66 and older,SPD,0.24802,269,1090,0.22237,0.27367
1985,66 and older,CDU/CSU,0.32122,363,1090,0.29349,0.34896
1985,66 and older,FDP,0.03537,35,1090,0.02440,0.04634
1986,17-29 y.,Not leaning towards specific party,0.54889,1800,3008,0.53111,0.56668
1986,17-29 y.,SPD,0.20667,611,3008,0.19219,0.22114
1986,17-29 y.,CDU/CSU,0.15444,384,3008,0.14153,0.16736
1986,17-29 y.,Bündnis90/Grüne,0.08036,213,3008,0.07064,0.09008
1986,30-45 y.,Not leaning towards specific party,0.39228,1491,3231,0.37545,0.40912
1986,30-45 y.,SPD,0.30173,937,3231,0.28590,0.31756
1986,30-45 y.,CDU/CSU,0.23278,612,3231,0.21821,0.24736
1986,30-45 y.,FDP,0.02296,58,3231,0.01780,0.02813
1986,30-45 y.,Bündnis90/Grüne,0.04657,133,3231,0.03931,0.05384
1986,46-65 y.,Not leaning towards specific party,0.35380,1344,3201,0.33723,0.37036
1986,46-65 y.,SPD,0.28632,879,3201,0.27066,0.30198
1986,46-65 y.,CDU/CSU,0.32630,890,3201,0.31006,0.34255
1986,46-65 y.,FDP,0.02017,55,3201,0.01530,0.02504
1986,46-65 y.,Bündnis90/Grüne,0.00983,33,3201,0.00641,0.01325
1986,66 and older,Not leaning towards specific party,0.39228,415,1015,0.36223,0.42233
1986,66 and older,SPD,0.25713,256,1015,0.23023,0.28403
1986,66 and older,CDU/CSU,0.30775,308,1015,0.27934,0.33616
1986,66 and older,FDP,0.03391,36,1015,0.02277,0.04505
1987,17-29 y.,Not leaning towards specific party,0.48979,1610,2975,0.47182,0.50775
1987,17-29 y.,SPD,0.19980,605,2975,0.18542,0.21417
1987,17-29 y.,CDU/CSU,0.20134,479,2975,0.18692,0.21575
1987,17-29 y.,FDP,0.01543,35,2975,0.01100,0.01986
1987,17-29 y.,Bündnis90/Grüne,0.08967,246,2975,0.07940,0.09994
1987,30-45 y.,Not leaning towards specific party,0.35191,1371,3139,0.33520,0.36862
1987,30-45 y.,SPD,0.29390,870,3139,0.27796,0.30984
1987,30-45 y.,CDU/CSU,0.25299,638,3139,0.23778,0.26820
1987,30-45 y.,FDP,0.03560,88,3139,0.02912,0.04208
1987,30-45 y.,Bündnis90/Grüne,0.06195,172,3139,0.05352,0.07039
1987,46-65 y.,Not leaning towards specific party,0.30147,1222,3170,0.28550,0.31745
1987,46-65 y.,SPD,0.28883,859,3170,0.27305,0.30461
1987,46-65 y.,CDU/CSU,0.35159,935,3170,0.33497,0.36822
1987,46-65 y.,FDP,0.04105,110,3170,0.03414,0.04796
1987,46-65 y.,Bündnis90/Grüne,0.01231,44,3170,0.00847,0.01615
1987,66 and older,Not leaning towards specific party,0.33445,372,1050,0.30590,0.36300
1987,66 and older,SPD,0.26883,274,1050,0.24200,0.29566
1987,66 and older,CDU/CSU,0.34006,360,1050,0.31140,0.36873
1987,66 and older,FDP,0.04488,44,1050,0.03235,0.05741
1988,17-29 y.,Not leaning towards specific party,0.54892,1708,2810,0.53052,0.56732
1988,17-29 y.,SPD,0.20803,574,2810,0.19302,0.22304
1988,17-29 y.,CDU/CSU,0.15759,364,2810,0.14412,0.17107
1988,17-29 y.,Bündnis90/Grüne,0.06770,164,2810,0.05840,0.07699
1988,30-45 y.,Not leaning towards specific party,0.38760,1356,2914,0.36991,0.40529
1988,30-45 y.,SPD,0.30175,830,2914,0.28508,0.31842
1988,30-45 y.,CDU/CSU,0.21300,509,2914,0.19813,0.22787
1988,30-45 y.,FDP,0.03076,72,2914,0.02449,0.03703
1988,30-45 y.,Bündnis90/Grüne,0.06154,147,2914,0.05282,0.07027
1988,46-65 y.,Not leaning towards specific party,0.33425,1265,3059,0.31753,0.35097
1988,46-65 y.,SPD,0.31416,913,3059,0.29771,0.33061
1988,46-65 y.,CDU/CSU,0.31058,804,3059,0.29418,0.32698
1988,46-65 y.,FDP,0.02954,77,3059,0.02354,0.03554
1988,66 and older,Not leaning towards specific party,0.35503,380,1018,0.32562,0.38444
1988,66 and older,SPD,0.27830,274,1018,0.25075,0.30584
1988,66 and older,CDU/CSU,0.31808,327,1018,0.28946,0.34671
1988,66 and older,FDP,0.03809,37,1018,0.02632,0.04985
1989,17-29 y.,Not leaning towards specific party,0.58196,1704,2783,0.56363,0.60029
1989,17-29 y.,SPD,0.19372,576,2783,0.17903,0.20840
1989,17-29 y.,CDU/CSU,0.12474,275,2783,0.11246,0.13702
1989,17-29 y.,Bündnis90/Grüne,0.06860,174,2783,0.05921,0.07800
1989,17-29 y.,Others,0.02281,54,2783,0.01726,0.02836
1989,30-45 y.,Not leaning towards specific party,0.39062,1276,2818,0.37260,0.40864
1989,30-45 y.,SPD,0.30853,845,2818,0.29148,0.32559
