year,pgisced97,regtyp,party,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Pre-primary Level,Urban regions,Not leaning towards specific party,0.62976,95,95,0.53214,0.72737
1985,Primary Level,Urban regions,Not leaning towards specific party,0.73116,574,697,0.69822,0.76410
1985,Primary Level,Urban regions,SPD,0.19657,123,697,0.16704,0.22609
1985,Primary Level,Rural regions,Not leaning towards specific party,0.71088,80,80,0.61091,0.81085
1985,Lower Secondary Level,Urban regions,Not leaning towards specific party,0.48569,1275,2290,0.46522,0.50617
1985,Lower Secondary Level,Urban regions,SPD,0.26418,585,2290,0.24612,0.28224
1985,Lower Secondary Level,Urban regions,CDU/CSU,0.21133,372,2290,0.19460,0.22805
1985,Lower Secondary Level,Urban regions,Bündnis90/Grüne,0.02157,58,2290,0.01562,0.02752
1985,Lower Secondary Level,Rural regions,Not leaning towards specific party,0.46040,381,715,0.42384,0.49696
1985,Lower Secondary Level,Rural regions,SPD,0.20625,144,715,0.17657,0.23592
1985,Lower Secondary Level,Rural regions,CDU/CSU,0.29761,190,715,0.26407,0.33115
1985,Upper Secondary Level,Urban regions,Not leaning towards specific party,0.38231,1682,3998,0.36724,0.39737
1985,Upper Secondary Level,Urban regions,SPD,0.29788,1199,3998,0.28370,0.31206
1985,Upper Secondary Level,Urban regions,CDU/CSU,0.24917,887,3998,0.23576,0.26258
1985,Upper Secondary Level,Urban regions,FDP,0.02375,78,3998,0.01903,0.02847
1985,Upper Secondary Level,Urban regions,Bündnis90/Grüne,0.03378,152,3998,0.02818,0.03938
1985,Upper Secondary Level,Rural regions,Not leaning towards specific party,0.42043,497,1090,0.39111,0.44975
1985,Upper Secondary Level,Rural regions,SPD,0.23462,277,1090,0.20945,0.25979
1985,Upper Secondary Level,Rural regions,CDU/CSU,0.29766,316,1090,0.27050,0.32482
1985,Post-secondary Non-tertiary Level,Urban regions,Not leaning towards specific party,0.33547,85,190,0.26815,0.40278
1985,Post-secondary Non-tertiary Level,Urban regions,SPD,0.23577,67,190,0.17526,0.29629
1985,Post-secondary Non-tertiary Level,Urban regions,CDU/CSU,0.20124,38,190,0.14408,0.25840
1985,First Stage of Tertiary Education,Urban regions,Not leaning towards specific party,0.33699,160,437,0.29262,0.38136
1985,First Stage of Tertiary Education,Urban regions,SPD,0.21133,105,437,0.17301,0.24965
1985,First Stage of Tertiary Education,Urban regions,CDU/CSU,0.36914,172,437,0.32384,0.41444
1985,First Stage of Tertiary Education,Rural regions,Not leaning towards specific party,0.30706,43,127,0.22652,0.38761
1985,First Stage of Tertiary Education,Rural regions,SPD,0.23420,32,127,0.16025,0.30815
1985,First Stage of Tertiary Education,Rural regions,CDU/CSU,0.40788,52,127,0.32207,0.49369
1985,Second Stage of Tertiary Education,Urban regions,Not leaning towards specific party,0.29816,191,626,0.26229,0.33402
1985,Second Stage of Tertiary Education,Urban regions,SPD,0.25542,171,626,0.22123,0.28961
1985,Second Stage of Tertiary Education,Urban regions,CDU/CSU,0.26236,158,626,0.22787,0.29685
1985,Second Stage of Tertiary Education,Urban regions,FDP,0.07540,44,626,0.05470,0.09611
1985,Second Stage of Tertiary Education,Urban regions,Bündnis90/Grüne,0.09609,62,626,0.07299,0.11920
1985,Second Stage of Tertiary Education,Rural regions,Not leaning towards specific party,0.27279,32,84,0.17696,0.36861
1985,Second Stage of Tertiary Education,Rural regions,CDU/CSU,0.44494,52,84,0.33803,0.55186
1986,Pre-primary Level,Urban regions,Not leaning towards specific party,0.64172,116,116,0.55408,0.72935
1986,Primary Level,Urban regions,Not leaning towards specific party,0.72156,512,641,0.68683,0.75628
1986,Primary Level,Urban regions,SPD,0.20966,129,641,0.17812,0.24120
1986,Primary Level,Rural regions,Not leaning towards specific party,0.83406,89,89,0.75632,0.91179
1986,Lower Secondary Level,Urban regions,Not leaning towards specific party,0.47229,1228,2181,0.45133,0.49325
1986,Lower Secondary Level,Urban regions,SPD,0.27070,551,2181,0.25205,0.28935
1986,Lower Secondary Level,Urban regions,CDU/CSU,0.22145,357,2181,0.20402,0.23888
1986,Lower Secondary Level,Urban regions,Bündnis90/Grüne,0.01933,45,2181,0.01355,0.02511
1986,Lower Secondary Level,Rural regions,Not leaning towards specific party,0.46832,367,673,0.43059,0.50605
1986,Lower Secondary Level,Rural regions,SPD,0.21758,140,673,0.18638,0.24877
1986,Lower Secondary Level,Rural regions,CDU/CSU,0.27613,166,673,0.24232,0.30993
1986,Upper Secondary Level,Urban regions,Not leaning towards specific party,0.38268,1632,3861,0.36735,0.39802
1986,Upper Secondary Level,Urban regions,SPD,0.30086,1162,3861,0.28639,0.31533
1986,Upper Secondary Level,Urban regions,CDU/CSU,0.25125,865,3861,0.23757,0.26494
1986,Upper Secondary Level,Urban regions,FDP,0.02262,75,3861,0.01793,0.02731
1986,Upper Secondary Level,Urban regions,Bündnis90/Grüne,0.03018,127,3861,0.02478,0.03558
1986,Upper Secondary Level,Rural regions,Not leaning towards specific party,0.41893,474,1044,0.38899,0.44887
1986,Upper Secondary Level,Rural regions,SPD,0.25879,281,1044,0.23221,0.28537
1986,Upper Secondary Level,Rural regions,CDU/CSU,0.27775,289,1044,0.25057,0.30494
1986,Post-secondary Non-tertiary Level,Urban regions,Not leaning towards specific party,0.33904,95,191,0.27173,0.40635
1986,Post-secondary Non-tertiary Level,Urban regions,SPD,0.24798,62,191,0.18658,0.30939
1986,Post-secondary Non-tertiary Level,Urban regions,CDU/CSU,0.21181,34,191,0.15371,0.26991
1986,First Stage of Tertiary Education,Urban regions,Not leaning towards specific party,0.39475,179,415,0.34766,0.44183
1986,First Stage of Tertiary Education,Urban regions,SPD,0.19405,88,415,0.15595,0.23214
1986,First Stage of Tertiary Education,Urban regions,CDU/CSU,0.32913,148,415,0.28387,0.37440
1986,First Stage of Tertiary Education,Rural regions,Not leaning towards specific party,0.30232,37,90,0.20691,0.39774
1986,First Stage of Tertiary Education,Rural regions,CDU/CSU,0.44339,53,90,0.34017,0.54660
1986,Second Stage of Tertiary Education,Urban regions,Not leaning towards specific party,0.30179,194,614,0.26545,0.33813
1986,Second Stage of Tertiary Education,Urban regions,SPD,0.23079,153,614,0.19743,0.26414
1986,Second Stage of Tertiary Education,Urban regions,CDU/CSU,0.27772,163,614,0.24227,0.31318
1986,Second Stage of Tertiary Education,Urban regions,FDP,0.05584,32,614,0.03767,0.07402
1986,Second Stage of Tertiary Education,Urban regions,Bündnis90/Grüne,0.11332,72,614,0.08823,0.13842
1986,Second Stage of Tertiary Education,Rural regions,Not leaning towards specific party,0.25021,31,81,0.15530,0.34513
1986,Second Stage of Tertiary Education,Rural regions,CDU/CSU,0.44029,50,81,0.33150,0.54907
1987,Pre-primary Level,Urban regions,Not leaning towards specific party,0.50404,93,124,0.41568,0.59240
1987,Pre-primary Level,Urban regions,SPD,0.18684,31,124,0.11796,0.25573
1987,Primary Level,Urban regions,Not leaning towards specific party,0.71721,490,607,0.68135,0.75307
1987,Primary Level,Urban regions,SPD,0.19143,117,607,0.16010,0.22275
1987,Primary Level,Rural regions,Not leaning towards specific party,0.76830,81,81,0.67584,0.86075
1987,Lower Secondary Level,Urban regions,Not leaning towards specific party,0.42120,1124,2126,0.40021,0.44220
1987,Lower Secondary Level,Urban regions,SPD,0.29489,561,2126,0.27551,0.31428
1987,Lower Secondary Level,Urban regions,CDU/CSU,0.23787,383,2126,0.21976,0.25597
1987,Lower Secondary Level,Urban regions,Bündnis90/Grüne,0.02152,58,2126,0.01535,0.02768
1987,Lower Secondary Level,Rural regions,Not leaning towards specific party,0.40725,322,639,0.36912,0.44537
1987,Lower Secondary Level,Rural regions,SPD,0.22931,139,639,0.19669,0.26193
1987,Lower Secondary Level,Rural regions,CDU/CSU,0.31961,178,639,0.28343,0.35580
1987,Upper Secondary Level,Urban regions,Not leaning towards specific party,0.33066,1461,3819,0.31573,0.34558
1987,Upper Secondary Level,Urban regions,SPD,0.29506,1110,3819,0.28059,0.30952
1987,Upper Secondary Level,Urban regions,CDU/CSU,0.28564,975,3819,0.27131,0.29997
1987,Upper Secondary Level,Urban regions,FDP,0.03536,108,3819,0.02950,0.04121
1987,Upper Secondary Level,Urban regions,Bündnis90/Grüne,0.03909,165,3819,0.03294,0.04523
1987,Upper Secondary Level,Rural regions,Not leaning towards specific party,0.34809,417,1097,0.31988,0.37629
1987,Upper Secondary Level,Rural regions,SPD,0.24374,271,1097,0.21832,0.26916
1987,Upper Secondary Level,Rural regions,CDU/CSU,0.33491,340,1097,0.30696,0.36285
1987,Upper Secondary Level,Rural regions,FDP,0.03512,34,1097,0.02422,0.04602
