year,pgisced97,sampreg,party,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No answer / don't know,West,Not leaning towards specific party,0.56395,43,43,0.41397,0.71392
1984,Pre-primary Level,West,Not leaning towards specific party,0.62989,113,144,0.55076,0.70903
1984,Pre-primary Level,West,SPD,0.13367,31,144,0.07789,0.18944
1984,Primary Level,West,Not leaning towards specific party,0.69301,743,951,0.66368,0.72234
1984,Primary Level,West,SPD,0.21881,208,951,0.19252,0.24510
1984,Lower Secondary Level,West,Not leaning towards specific party,0.43934,1746,3413,0.42269,0.45600
1984,Lower Secondary Level,West,SPD,0.27041,869,3413,0.25550,0.28531
1984,Lower Secondary Level,West,CDU/CSU,0.25051,672,3413,0.23597,0.26505
1984,Lower Secondary Level,West,FDP,0.01122,32,3413,0.00768,0.01475
1984,Lower Secondary Level,West,Bündnis90/Grüne,0.02395,94,3413,0.01882,0.02908
1984,Upper Secondary Level,West,Not leaning towards specific party,0.39063,2387,5633,0.37789,0.40337
1984,Upper Secondary Level,West,SPD,0.28770,1624,5633,0.27587,0.29952
1984,Upper Secondary Level,West,CDU/CSU,0.27423,1366,5633,0.26258,0.28588
1984,Upper Secondary Level,West,FDP,0.01511,71,5633,0.01193,0.01830
1984,Upper Secondary Level,West,Bündnis90/Grüne,0.02911,185,5633,0.02472,0.03351
1984,Post-secondary Non-tertiary Level,West,Not leaning towards specific party,0.36151,123,261,0.30311,0.41991
1984,Post-secondary Non-tertiary Level,West,SPD,0.26074,88,261,0.20737,0.31411
1984,Post-secondary Non-tertiary Level,West,CDU/CSU,0.20465,50,261,0.15561,0.25369
1984,First Stage of Tertiary Education,West,Not leaning towards specific party,0.32824,215,598,0.29057,0.36591
1984,First Stage of Tertiary Education,West,SPD,0.22056,144,598,0.18730,0.25382
1984,First Stage of Tertiary Education,West,CDU/CSU,0.38302,239,598,0.34403,0.42202
1984,Second Stage of Tertiary Education,West,Not leaning towards specific party,0.34621,276,779,0.31278,0.37964
1984,Second Stage of Tertiary Education,West,SPD,0.20761,179,779,0.17911,0.23611
1984,Second Stage of Tertiary Education,West,CDU/CSU,0.31090,219,779,0.27838,0.34343
1984,Second Stage of Tertiary Education,West,FDP,0.05836,44,779,0.04189,0.07483
1984,Second Stage of Tertiary Education,West,Bündnis90/Grüne,0.07552,61,779,0.05696,0.09409
1985,No answer / don't know,West,Not leaning towards specific party,0.59100,79,79,0.48189,0.70011
1985,Pre-primary Level,West,Not leaning towards specific party,0.60368,114,114,0.51349,0.69386
1985,Primary Level,West,Not leaning towards specific party,0.72671,654,797,0.69575,0.75767
1985,Primary Level,West,SPD,0.19867,143,797,0.17095,0.22638
1985,Lower Secondary Level,West,Not leaning towards specific party,0.48116,1656,3018,0.46333,0.49898
1985,Lower Secondary Level,West,SPD,0.24908,729,3018,0.23364,0.26451
1985,Lower Secondary Level,West,CDU/CSU,0.23718,562,3018,0.22200,0.25236
1985,Lower Secondary Level,West,Bündnis90/Grüne,0.02055,71,3018,0.01548,0.02561
1985,Upper Secondary Level,West,Not leaning towards specific party,0.39501,2179,5123,0.38162,0.40840
1985,Upper Secondary Level,West,SPD,0.28546,1476,5123,0.27309,0.29783
1985,Upper Secondary Level,West,CDU/CSU,0.26312,1203,5123,0.25107,0.27518
1985,Upper Secondary Level,West,FDP,0.02236,93,5123,0.01831,0.02641
1985,Upper Secondary Level,West,Bündnis90/Grüne,0.03020,172,5123,0.02551,0.03488
1985,Post-secondary Non-tertiary Level,West,Not leaning towards specific party,0.33302,100,260,0.27562,0.39041
1985,Post-secondary Non-tertiary Level,West,SPD,0.24481,79,260,0.19245,0.29718
1985,Post-secondary Non-tertiary Level,West,CDU/CSU,0.20304,47,260,0.15405,0.25203
1985,Post-secondary Non-tertiary Level,West,Bündnis90/Grüne,0.15840,34,260,0.11393,0.20286
1985,First Stage of Tertiary Education,West,Not leaning towards specific party,0.33231,203,595,0.29443,0.37019
1985,First Stage of Tertiary Education,West,SPD,0.21813,137,595,0.18492,0.25134
1985,First Stage of Tertiary Education,West,CDU/CSU,0.38073,224,595,0.34169,0.41978
1985,First Stage of Tertiary Education,West,Bündnis90/Grüne,0.04027,31,595,0.02446,0.05608
1985,Second Stage of Tertiary Education,West,Not leaning towards specific party,0.29706,223,744,0.26421,0.32992
1985,Second Stage of Tertiary Education,West,SPD,0.24509,196,744,0.21416,0.27601
1985,Second Stage of Tertiary Education,West,CDU/CSU,0.29812,210,744,0.26523,0.33101
1985,Second Stage of Tertiary Education,West,FDP,0.07270,51,744,0.05403,0.09137
1985,Second Stage of Tertiary Education,West,Bündnis90/Grüne,0.08133,64,744,0.06168,0.10099
1986,No answer / don't know,West,Not leaning towards specific party,0.50660,67,67,0.38598,0.62721
1986,Pre-primary Level,West,Not leaning towards specific party,0.61177,127,127,0.52667,0.69687
1986,Primary Level,West,Not leaning towards specific party,0.74930,601,740,0.71806,0.78055
1986,Primary Level,West,SPD,0.18373,139,740,0.15581,0.21165
1986,Lower Secondary Level,West,Not leaning towards specific party,0.47433,1595,2873,0.45606,0.49259
1986,Lower Secondary Level,West,SPD,0.25750,691,2873,0.24151,0.27349
1986,Lower Secondary Level,West,CDU/CSU,0.23838,523,2873,0.22280,0.25397
1986,Lower Secondary Level,West,Bündnis90/Grüne,0.02082,64,2873,0.01560,0.02604
1986,Upper Secondary Level,West,Not leaning towards specific party,0.39434,2106,4940,0.38071,0.40797
1986,Upper Secondary Level,West,SPD,0.29326,1443,4940,0.28056,0.30596
1986,Upper Secondary Level,West,CDU/CSU,0.25955,1154,4940,0.24732,0.27177
1986,Upper Secondary Level,West,FDP,0.02111,88,4940,0.01710,0.02512
1986,Upper Secondary Level,West,Bündnis90/Grüne,0.02785,149,4940,0.02326,0.03244
1986,Post-secondary Non-tertiary Level,West,Not leaning towards specific party,0.35512,113,233,0.29354,0.41670
1986,Post-secondary Non-tertiary Level,West,SPD,0.24015,74,233,0.18518,0.29512
1986,Post-secondary Non-tertiary Level,West,CDU/CSU,0.23070,46,233,0.17649,0.28491
1986,First Stage of Tertiary Education,West,Not leaning towards specific party,0.37877,216,532,0.33751,0.42003
1986,First Stage of Tertiary Education,West,SPD,0.19884,115,532,0.16489,0.23278
1986,First Stage of Tertiary Education,West,CDU/CSU,0.35959,201,532,0.31877,0.40040
1986,Second Stage of Tertiary Education,West,Not leaning towards specific party,0.29870,225,734,0.26557,0.33184
1986,Second Stage of Tertiary Education,West,SPD,0.22429,178,734,0.19409,0.25449
1986,Second Stage of Tertiary Education,West,CDU/CSU,0.31355,213,734,0.27997,0.34714
1986,Second Stage of Tertiary Education,West,FDP,0.05883,39,734,0.04180,0.07587
1986,Second Stage of Tertiary Education,West,Bündnis90/Grüne,0.10301,79,734,0.08101,0.12502
1987,No answer / don't know,West,Not leaning towards specific party,0.49626,73,73,0.38077,0.61175
1987,Pre-primary Level,West,Not leaning towards specific party,0.50706,107,144,0.42512,0.58901
1987,Pre-primary Level,West,SPD,0.19663,37,144,0.13149,0.26177
1987,Primary Level,West,Not leaning towards specific party,0.72927,571,731,0.69704,0.76151
1987,Primary Level,West,SPD,0.17936,129,731,0.15152,0.20719
1987,Primary Level,West,CDU/CSU,0.05652,31,731,0.03976,0.07327
1987,Lower Secondary Level,West,Not leaning towards specific party,0.42049,1446,2784,0.40215,0.43883
1987,Lower Secondary Level,West,SPD,0.27899,700,2784,0.26233,0.29566
1987,Lower Secondary Level,West,CDU/CSU,0.26220,561,2784,0.24586,0.27854
1987,Lower Secondary Level,West,Bündnis90/Grüne,0.02150,77,2784,0.01611,0.02689
1987,Upper Secondary Level,West,Not leaning towards specific party,0.33738,1878,4916,0.32416,0.35060
1987,Upper Secondary Level,West,SPD,0.28499,1381,4916,0.27237,0.29761
1987,Upper Secondary Level,West,CDU/CSU,0.29967,1315,4916,0.28686,0.31247
1987,Upper Secondary Level,West,FDP,0.03557,142,4916,0.03039,0.04075
1987,Upper Secondary Level,West,Bündnis90/Grüne,0.03677,200,4916,0.03151,0.04203
1987,Post-secondary Non-tertiary Level,West,Not leaning towards specific party,0.36421,114,264,0.30605,0.42236
1987,Post-secondary Non-tertiary Level,West,SPD,0.18641,58,264,0.13934,0.23348
1987,Post-secondary Non-tertiary Level,West,CDU/CSU,0.26350,58,264,0.21026,0.31674
1987,Post-secondary Non-tertiary Level,West,Bündnis90/Grüne,0.14521,34,264,0.10263,0.18779
1987,First Stage of Tertiary Education,West,Not leaning towards specific party,0.32350,183,499,0.28242,0.36459
1987,First Stage of Tertiary Education,West,SPD,0.19267,114,499,0.15803,0.22731
1987,First Stage of Tertiary Education,West,CDU/CSU,0.40059,202,499,0.35755,0.44363
