"hlf0291","year","quintil","sampreg","n","percent","lower_confidence","upper_confidence"
"Ja","1995","1","Westdeutschland","217","0.0582541950107607","0.0515898045749314","0.0649185854465899"
"Ja","1995","1","Ostdeutschland","99","0.056278388789292","0.0468986553884617","0.0656581221901222"
"Ja","1995","2","Westdeutschland","127","0.0454040946893412","0.0384021037545085","0.0524060856241738"
"Ja","1995","2","Ostdeutschland","46","0.0406013964336931","0.0306827248544578","0.0505200680129283"
"Ja","1995","3","Westdeutschland","86","0.0380876320998308","0.0302905459191485","0.0458847182805131"
"Ja","1995","3","Ostdeutschland","","","",""
"Ja","1995","4","Westdeutschland","62","0.0402725276076511","0.030434369029372","0.0501106861859302"
"Ja","1995","4","Ostdeutschland","","","",""
"Ja","1995","5","Westdeutschland","","","",""
"Ja","1995","5","Ostdeutschland","","","",""
"Nein","1995","1","Westdeutschland","4528","0.941745804989239","0.93508141455341","0.948410195425069"
"Nein","1995","1","Ostdeutschland","2220","0.943721611210708","0.934341877809878","0.953101344611538"
"Nein","1995","2","Westdeutschland","3269","0.954595905310659","0.947593914375826","0.961597896245492"
"Nein","1995","2","Ostdeutschland","1475","0.959398603566307","0.949479931987072","0.969317275145542"
"Nein","1995","3","Westdeutschland","2229","0.961912367900169","0.954115281719487","0.969709454080852"
"Nein","1995","3","Ostdeutschland","672","0.957958297852711","0.943005981014256","0.972910614691166"
"Nein","1995","4","Westdeutschland","1472","0.959727472392349","0.94988931381407","0.969565630970628"
"Nein","1995","4","Ostdeutschland","238","0.97104256546791","0.950087949170883","0.991997181764937"
"Nein","1995","5","Westdeutschland","763","0.967735689733149","0.955382577429274","0.980088802037025"
"Nein","1995","5","Ostdeutschland","51","1","1","1"
"Ja","1996","1","Westdeutschland","230","0.0715353174878556","0.0638368467767756","0.0792337881989355"
"Ja","1996","1","Ostdeutschland","89","0.0519254642672615","0.0422759697326741","0.0615749588018489"
"Ja","1996","2","Westdeutschland","99","0.0284837570224524","0.0228277936334471","0.0341397204114577"
"Ja","1996","2","Ostdeutschland","49","0.0432387073270107","0.0332507114952636","0.0532267031587578"
"Ja","1996","3","Westdeutschland","96","0.041173344574642","0.033153714911851","0.0491929742374329"
"Ja","1996","3","Ostdeutschland","","","",""
"Ja","1996","4","Westdeutschland","53","0.0281925645240625","0.020099787904312","0.036285341143813"
"Ja","1996","4","Ostdeutschland","","","",""
"Ja","1996","5","Westdeutschland","","","",""
"Ja","1996","5","Ostdeutschland","","","",""
"Nein","1996","1","Westdeutschland","4075","0.928464682512144","0.920766211801064","0.936163153223224"
"Nein","1996","1","Ostdeutschland","1942","0.948074535732739","0.938425041198151","0.957724030267326"
"Nein","1996","2","Westdeutschland","3224","0.971516242977548","0.965860279588542","0.977172206366553"
"Nein","1996","2","Ostdeutschland","1544","0.956761292672989","0.946773296841242","0.966749288504737"
"Nein","1996","3","Westdeutschland","2262","0.958826655425358","0.950807025762567","0.966846285088149"
"Nein","1996","3","Ostdeutschland","773","0.968877670186904","0.956791686015349","0.980963654358459"
"Nein","1996","4","Westdeutschland","1554","0.971807435475938","0.963714658856187","0.979900212095688"
"Nein","1996","4","Ostdeutschland","278","0.97158560950845","0.952295469927937","0.990875749088964"
"Nein","1996","5","Westdeutschland","867","0.96598277862795","0.954086810993033","0.977878746262868"
"Nein","1996","5","Ostdeutschland","73","0.961075002479523","0.917301590782212","1.00484841417683"
"Ja","1997","1","Westdeutschland","167","0.0522975995150074","0.0454079262278529","0.0591872728021619"
"Ja","1997","1","Ostdeutschland","59","0.0461584973409426","0.0368596824061082","0.0554573122757769"
"Ja","1997","2","Westdeutschland","146","0.0511158709542363","0.0436052079154446","0.058626533993028"
"Ja","1997","2","Ostdeutschland","53","0.0486900791466453","0.0378634450731923","0.0595167132200983"
"Ja","1997","3","Westdeutschland","66","0.0292268661061216","0.0225665397190838","0.0358871924931593"
"Ja","1997","3","Ostdeutschland","38","0.0414933394461003","0.0278268112666174","0.0551598676255832"
"Ja","1997","4","Westdeutschland","44","0.0295638228239531","0.0213360048454917","0.0377916408024144"
"Ja","1997","4","Ostdeutschland","","","",""
"Ja","1997","5","Westdeutschland","","","",""
"Ja","1997","5","Ostdeutschland","","","",""
"Nein","1997","1","Westdeutschland","3844","0.947702400484993","0.940812727197838","0.954592073772147"
"Nein","1997","1","Ostdeutschland","1897","0.953841502659057","0.944542687724223","0.963140317593892"
"Nein","1997","2","Westdeutschland","3157","0.948884129045764","0.941373466006972","0.956394792084555"
"Nein","1997","2","Ostdeutschland","1465","0.951309920853355","0.940483286779902","0.962136554926808"
"Nein","1997","3","Westdeutschland","2391","0.970773133893878","0.964112807506841","0.977433460280916"
"Nein","1997","3","Ostdeutschland","780","0.9585066605539","0.944840132374417","0.972173188733383"
"Nein","1997","4","Westdeutschland","1584","0.970436177176047","0.962208359197586","0.978663995154508"
"Nein","1997","4","Ostdeutschland","290","0.936482962498133","0.9092011034645","0.963764821531766"
"Nein","1997","5","Westdeutschland","867","0.973696160434051","0.963146383893726","0.984245936974376"
"Nein","1997","5","Ostdeutschland","76","0.969916821906366","0.932249594971359","1.00758404884137"
"Ja","1998","1","Westdeutschland","126","0.0301745376670983","0.0250803965634926","0.0352686787707039"
"Ja","1998","1","Ostdeutschland","57","0.0296820792931025","0.022428829382304","0.0369353292039011"
"Ja","1998","2","Westdeutschland","155","0.0501060241353616","0.0431271800599737","0.0570848682107494"
"Ja","1998","2","Ostdeutschland","53","0.053433454064071","0.0417278945946087","0.0651390135335334"
"Ja","1998","3","Westdeutschland","104","0.0434581689990826","0.0357505337427116","0.0511658042554536"
"Ja","1998","3","Ostdeutschland","","","",""
"Ja","1998","4","Westdeutschland","84","0.039157508534039","0.0306395200234477","0.0476754970446304"
"Ja","1998","4","Ostdeutschland","","","",""
"Ja","1998","5","Westdeutschland","","","",""
"Ja","1998","5","Ostdeutschland","","","",""
