year,regtyp,rentown,hlf0291,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,Owner,Yes,0.04420,53,5246,0.04405,0.04435
1985,Urban regions,Owner,No,0.95580,1246,5246,0.95565,0.95595
1985,Urban regions,Tenant,Yes,0.03378,80,5246,0.03368,0.03388
1985,Urban regions,Tenant,No,0.96622,2803,5246,0.96612,0.96632
1985,Rural regions,Owner,Yes,0.06240,35,5246,0.06214,0.06267
1985,Rural regions,Owner,No,0.93760,527,5246,0.93733,0.93786
1985,Rural regions,Tenant,No,1.00000,502,5246,1.00000,1.00000
1986,Urban regions,Owner,Yes,0.04466,48,5009,0.04452,0.04481
1986,Urban regions,Owner,No,0.95534,1236,5009,0.95519,0.95548
1986,Urban regions,Tenant,Yes,0.03231,77,5009,0.03222,0.03241
1986,Urban regions,Tenant,No,0.96769,2641,5009,0.96759,0.96778
1986,Rural regions,Owner,Yes,0.06167,33,5009,0.06141,0.06193
1986,Rural regions,Owner,No,0.93833,512,5009,0.93807,0.93859
1986,Rural regions,Tenant,No,1.00000,462,5009,1.00000,1.00000
1987,Urban regions,Owner,Yes,0.04736,53,4916,0.04720,0.04751
1987,Urban regions,Owner,No,0.95264,1246,4916,0.95249,0.95280
1987,Urban regions,Tenant,Yes,0.03202,67,4916,0.03193,0.03212
1987,Urban regions,Tenant,No,0.96798,2584,4916,0.96788,0.96807
1987,Rural regions,Owner,No,1.00000,503,4916,1.00000,1.00000
1987,Rural regions,Tenant,No,1.00000,463,4916,1.00000,1.00000
1988,Urban regions,Owner,Yes,0.03513,37,4707,0.03499,0.03526
1988,Urban regions,Owner,No,0.96487,1214,4707,0.96474,0.96501
1988,Urban regions,Tenant,Yes,0.03474,74,4707,0.03465,0.03484
1988,Urban regions,Tenant,No,0.96526,2468,4707,0.96516,0.96535
1988,Rural regions,Owner,No,1.00000,464,4707,1.00000,1.00000
1988,Rural regions,Tenant,No,1.00000,450,4707,1.00000,1.00000
1989,Urban regions,Owner,Yes,0.04021,45,4601,0.04008,0.04035
1989,Urban regions,Owner,No,0.95979,1194,4601,0.95965,0.95992
1989,Urban regions,Tenant,Yes,0.02432,52,4601,0.02424,0.02440
1989,Urban regions,Tenant,No,0.97568,2429,4601,0.97560,0.97576
1989,Rural regions,Owner,No,1.00000,448,4601,1.00000,1.00000
1989,Rural regions,Tenant,No,1.00000,433,4601,1.00000,1.00000
1990,Urban regions,Owner,Yes,0.03978,46,4540,0.03965,0.03992
1990,Urban regions,Owner,No,0.96022,1203,4540,0.96008,0.96035
1990,Urban regions,Tenant,Yes,0.02774,58,4540,0.02765,0.02783
1990,Urban regions,Tenant,No,0.97226,2341,4540,0.97217,0.97235
1990,Rural regions,Owner,No,1.00000,460,4540,1.00000,1.00000
1990,Rural regions,Tenant,No,1.00000,432,4540,1.00000,1.00000
1991,Urban regions,Owner,Yes,0.04181,51,6560,0.04167,0.04194
1991,Urban regions,Owner,No,0.95819,1285,6560,0.95806,0.95833
1991,Urban regions,Tenant,Yes,0.03361,89,6560,0.03352,0.03370
1991,Urban regions,Tenant,No,0.96639,2917,6560,0.96630,0.96648
1991,Rural regions,Owner,Yes,0.06105,58,6560,0.06084,0.06127
1991,Rural regions,Owner,No,0.93895,934,6560,0.93873,0.93916
1991,Rural regions,Tenant,Yes,0.05834,50,6560,0.05814,0.05853
1991,Rural regions,Tenant,No,0.94166,1176,6560,0.94147,0.94186
1992,Urban regions,Owner,Yes,0.04939,59,6508,0.04924,0.04953
1992,Urban regions,Owner,No,0.95061,1306,6508,0.95047,0.95076
1992,Urban regions,Tenant,Yes,0.04101,92,6508,0.04091,0.04110
1992,Urban regions,Tenant,No,0.95899,2894,6508,0.95890,0.95909
1992,Rural regions,Owner,Yes,0.06710,57,6508,0.06688,0.06733
1992,Rural regions,Owner,No,0.93290,901,6508,0.93267,0.93312
1992,Rural regions,Tenant,Yes,0.05701,48,6508,0.05682,0.05720
1992,Rural regions,Tenant,No,0.94299,1151,6508,0.94280,0.94318
1993,Urban regions,Owner,Yes,0.05241,58,6523,0.05226,0.05255
1993,Urban regions,Owner,No,0.94759,1295,6523,0.94745,0.94774
1993,Urban regions,Tenant,Yes,0.03373,82,6523,0.03364,0.03382
1993,Urban regions,Tenant,No,0.96627,2908,6523,0.96618,0.96636
1993,Rural regions,Owner,Yes,0.07547,56,6523,0.07524,0.07570
1993,Rural regions,Owner,No,0.92453,899,6523,0.92430,0.92476
1993,Rural regions,Tenant,Yes,0.05884,55,6523,0.05865,0.05903
1993,Rural regions,Tenant,No,0.94116,1170,6523,0.94097,0.94135
