year,regtyp,hlf0291,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,Yes,0.028842734009781535,133,5272,0.028778759453788025,0.028906708565775045
1985,Urban regions,No,0.7399553691334526,4049,5272,0.7397876930988894,0.7401230451680159
1985,Rural regions,Yes,0.011064059239146135,48,5272,0.01102407529679585,0.01110404318149642
1985,Rural regions,No,0.2201378376176198,1029,5272,0.219979457537276,0.2202962176979636
1986,Urban regions,Yes,0.028336097595118518,125,5039,0.0282730896672325,0.028399105523004536
1986,Urban regions,No,0.744081376237691,3880,5039,0.7439156740255772,0.7442470784498048
1986,Rural regions,Yes,0.011977378339101421,47,5039,0.011936070595624636,0.012018686082578205
1986,Rural regions,No,0.2156051478280891,975,5039,0.2154489898872719,0.2157613057689063
1987,Urban regions,Yes,0.02904749402347215,120,4975,0.02898402434680911,0.029110963700135193
1987,Urban regions,No,0.746805251885975,3832,4975,0.7466409116201395,0.7469695921518106
1987,Rural regions,Yes,0.011285041841125137,41,4975,0.011245120962057487,0.011324962720192788
1987,Rural regions,No,0.21286221224942758,966,4975,0.21270751320769615,0.21301691129115902
1988,Urban regions,Yes,0.027152466460644085,111,4770,0.02709141181267996,0.02721352110860821
1988,Urban regions,No,0.7516292714404539,3683,4770,0.751466962013096,0.7517915808678117
1988,Rural regions,Yes,0.01032515640334216,38,4770,0.010287182408899911,0.01036313039778441
1988,Rural regions,No,0.21089310569555988,914,4770,0.2107398591097778,0.21104635228134197
1989,Urban regions,Yes,0.023582681851580994,97,4651,0.023526176268543357,0.023639187434618632
1989,Urban regions,No,0.7604407918094994,3626,4651,0.760281858046996,0.7605997255720028
1989,Rural regions,Yes,0.00858387896239535,32,4651,0.008549527375180112,0.008618230549610589
1989,Rural regions,No,0.20739264737652424,881,4651,0.20724167317072958,0.2075436215823189
1990,Urban regions,Yes,0.02510547551013418,104,6705,0.02504758278807462,0.02516336823219374
1990,Urban regions,No,0.7558176171460607,3545,6705,0.7556586429644977,0.7559765913276236
1990,Rural regions,Yes,0.009094574323348033,37,6705,0.009059445126539648,0.009129703520156419
1990,Rural regions,No,0.2099823330204572,892,6705,0.20983161308174916,0.21013305295916526
1991,Urban regions,Yes,0.025473782910087908,140,6583,0.025421553112995873,0.025526012707179944
1991,Urban regions,No,0.6740573958028157,4203,6583,0.6739020162532913,0.67421277535234
1991,Rural regions,Yes,0.017908899235345704,108,6583,0.017864936451266744,0.017952862019424663
1991,Rural regions,No,0.2825599220517506,2110,6583,0.2824106690922897,0.28270917501121157
1992,Urban regions,Yes,0.03096926157329692,151,6544,0.030912048689603542,0.031026474456990295
1992,Urban regions,No,0.6731847228849369,4200,6544,0.6730298134260931,0.6733396323437807
1992,Rural regions,Yes,0.018248773779952134,105,6544,0.018204568188449406,0.01829297937145486
1992,Rural regions,No,0.27759724176181405,2052,6544,0.27744934559868795,0.27774513792494016
1993,Urban regions,Yes,0.02828017169341366,140,6570,0.028225938322842523,0.028334405063984797
1993,Urban regions,No,0.6710553520300893,4204,6570,0.6709016443288031,0.6712090597313755
1993,Rural regions,Yes,0.019985874477139683,111,6570,0.019940088468213858,0.020031660486065507
1993,Rural regions,No,0.2806786017993574,2069,6570,0.2805316004960394,0.28082560310267535
1994,Urban regions,Yes,0.028420558774194877,149,6496,0.028366634457889624,0.02847448309050013
1994,Urban regions,No,0.6682927208655177,4154,6496,0.6681399325828578,0.6684455091481777
1994,Rural regions,Yes,0.018849899053236575,105,6496,0.018805767275331384,0.018894030831141766
1994,Rural regions,No,0.2844368213070508,2066,6496,0.28429041961919826,0.2845832229949033
1995,Urban regions,Yes,0.03301360948223886,163,6697,0.032955816097232665,0.03307140286724505
1995,Urban regions,No,0.663131495741067,4266,6697,0.6629786154579681,0.6632843760241659
1995,Rural regions,Yes,0.016623175488440278,101,6697,0.016581819498048874,0.016664531478831682
1995,Rural regions,No,0.2872317192882539,2132,6697,0.2870853628514263,0.28737807572508156
1996,Urban regions,Yes,0.02945610025984511,157,6631,0.029401664817549224,0.029510535702140996
1996,Urban regions,No,0.6706288187404705,4221,6631,0.670477507760496,0.6707801297204451
1996,Rural regions,Yes,0.014288334875198932,90,6631,0.014250127051836406,0.014326542698561458
1996,Rural regions,No,0.2856267461244855,2133,6631,0.2854813179446787,0.28577217430429236
1997,Urban regions,Yes,0.026618892694494415,143,6545,0.026567259247248565,0.026670526141740265
1997,Urban regions,No,0.6722865117809487,4179,6545,0.672135948514047,0.6724370750478503
1997,Rural regions,Yes,0.016376231901037853,94,6545,0.016335520488682007,0.0164169433133937
1997,Rural regions,No,0.2847183636235191,2113,6545,0.2845736061651261,0.2848631210819121
1998,Urban regions,Yes,0.026659080958991725,168,7417,0.026607520144519378,0.02671064177346407
1998,Urban regions,No,0.6732052773048235,4743,7417,0.6730551443733203,0.6733554102363267
1998,Rural regions,Yes,0.014683961618389512,97,7417,0.01464546043415859,0.014722462802620434
1998,Rural regions,No,0.2854516801177952,2405,7417,0.28530712056551194,0.28559623967007847
1999,Urban regions,Yes,0.030547185516370416,167,7143,0.030492319974680826,0.030602051058060006
1999,Urban regions,No,0.6672135183623112,4542,7143,0.6670632851377903,0.6673637515868321
1999,Rural regions,Yes,0.015371413806191624,95,7143,0.01533219053059572,0.01541063708178753
1999,Rural regions,No,0.2868678823151266,2338,7143,0.2867236785186866,0.28701208611156664
2000,Urban regions,Yes,0.026503872040869868,309,12950,0.026452882791352716,0.02655486129038702
2000,Urban regions,No,0.6669343073499882,8271,12950,0.6667846964201855,0.6670839182797909
2000,Rural regions,Yes,0.013212613677254693,179,12950,0.013176367433583969,0.013248859920925418
2000,Rural regions,No,0.29334920693188726,4191,12950,0.29320467902032477,0.29349373484344976
2001,Urban regions,Yes,0.026379344843752244,287,11680,0.026328680897234506,0.026430008790269983
2001,Urban regions,No,0.6689749472880464,7477,11680,0.6688261799872751,0.6691237145888177
2001,Rural regions,Yes,0.013999711450169372,166,11680,0.013962569030921962,0.014036853869416782
2001,Rural regions,No,0.290645996418032,3747,11680,0.29050245216516085,0.2907895406709032
2002,Urban regions,Yes,0.027296161628247457,285,12212,0.02724483590132294,0.027347487355171975
2002,Urban regions,No,0.6679190370697456,7952,12212,0.667770690364746,0.6680673837747453
2002,Rural regions,Yes,0.014824180523799364,166,12212,0.014786114613221548,0.014862246434377181
2002,Rural regions,No,0.2899606207782076,3809,12212,0.2898176969198453,0.2901035446365699
2003,Urban regions,Yes,0.02711973591914014,277,11804,0.027068714555710464,0.02717075728256982
2003,Urban regions,No,0.6681648494948741,7691,11804,0.6680169445678543,0.6683127544218939
2003,Rural regions,Yes,0.016316870208420996,178,11804,0.0162770754679881,0.01635666494885389
2003,Rural regions,No,0.28839854437756474,3657,11804,0.28825624775862496,0.2885408409965045
2004,Urban regions,Yes,0.028961319043722452,290,11543,0.028908769012326824,0.02901386907511808
2004,Urban regions,No,0.6658003070784708,7484,11543,0.6656524913784022,0.6659481227785394
2004,Rural regions,Yes,0.01645571638412511,180,11543,0.016415850545733027,0.01649558222251719
2004,Rural regions,No,0.2887826574936817,3589,11543,0.288640643131019,0.2889246718563444
2005,Urban regions,Yes,0.027576097080227263,274,11199,0.027524818653212296,0.02762737550724223
2005,Urban regions,No,0.6659716924926566,7266,11199,0.6658239994616105,0.6661193855237028
2005,Rural regions,Yes,0.013756912669712454,149,11199,0.013720437866423244,0.013793387473001663
2005,Rural regions,No,0.29269529775740355,3510,11199,0.29255281850506787,0.29283777700973923
2006,Urban regions,Yes,0.027958881852360565,303,12265,0.027907642653349635,0.028010121051371496
2006,Urban regions,No,0.6586287311798861,7843,12265,0.6584813527472168,0.6587761096125554
2006,Rural regions,Yes,0.015972703863952147,194,12265,0.015933737228620622,0.016011670499283672
2006,Rural regions,No,0.2974396831038013,3925,12265,0.2972976003463023,0.2975817658613003
2007,Urban regions,Yes,0.0289475622768899,286,11453,0.028895417847486848,0.02899970670629295
2007,Urban regions,No,0.6553257226157885,7300,11453,0.6551779092779769,0.6554735359536
2007,Rural regions,Yes,0.01391147673805394,171,11453,0.01387504959186362,0.01394790388424426
2007,Rural regions,No,0.30181523836926755,3695,11453,0.3016724685715899,0.3019580081669452
2008,Urban regions,Yes,0.028691968231610302,263,10822,0.02864027157514134,0.028743664888079265
2008,Urban regions,No,0.6579198295728884,6908,10822,0.657772918600605,0.6580667405451718
2008,Rural regions,Yes,0.013220587746453993,146,10822,0.0131852174079268,0.013255958084981185
2008,Rural regions,No,0.3001676144490472,3503,10822,0.30002568166231114,0.3003095472357833
2009,Urban regions,Yes,0.02968318016453859,260,10177,0.029630709100731706,0.029735651228345476
2009,Urban regions,No,0.654757607699155,6423,10177,0.6546106101104986,0.6549046052878115
2009,Rural regions,Yes,0.013764034091385616,151,10177,0.013728011814233448,0.013800056368537783
2009,Rural regions,No,0.3017951780449208,3343,10177,0.3016532541747597,0.3019371019150819
2010,Urban regions,Yes,0.027808160542433572,276,13799,0.02775739602401603,0.027858925060851115
2010,Urban regions,No,0.6604130361659762,8787,13799,0.6602668246844902,0.6605592476474623
2010,Rural regions,Yes,0.01358442630152874,191,13799,0.013548686777443147,0.013620165825614332
2010,Rural regions,No,0.29819437699006146,4545,13799,0.2980531374480793,0.2983356165320436
2011,Urban regions,Yes,0.024484735575252957,327,16603,0.024436543239400053,0.02453292791110586
2011,Urban regions,No,0.6582869511195654,10405,16603,0.658139056750875,0.6584348454882557
2011,Rural regions,Yes,0.012859041488292904,230,16603,0.012823909144999415,0.012894173831586394
2011,Rural regions,No,0.3043692718168888,5640,16603,0.30422578796910027,0.3045127556646773
2012,Urban regions,Yes,0.02559486892124685,329,16303,0.025545747743680198,0.0256439900988135
2012,Urban regions,No,0.6546151949667854,10100,16303,0.6544672953025551,0.6547630946310158
2012,Rural regions,Yes,0.014812874056164625,237,16303,0.01477529883351499,0.01485044927881426
2012,Rural regions,No,0.304977062055803,5637,16303,0.30483385787718204,0.30512026623442395
2013,Urban regions,Yes,0.024319656829357585,381,17870,0.024271879420150595,0.024367434238564575
2013,Urban regions,No,0.6537066436122377,11450,17870,0.6535590717267544,0.653854215497721
2013,Rural regions,Yes,0.01597150963734056,268,17870,0.015932625997018175,0.016010393277662946
2013,Rural regions,No,0.30600218992106415,5771,17870,0.30585925728141594,0.30614512256071236
2014,Urban regions,Yes,0.026409122595912164,376,15828,0.026359561940668064,0.026458683251156263
2014,Urban regions,No,0.6534100199716111,10008,15828,0.6532629335095351,0.653557106433687
2014,Rural regions,Yes,0.015704890134086942,256,15828,0.01566646176791325,0.015743318500260634
2014,Rural regions,No,0.3044759672983899,5186,15828,0.3043337329835017,0.3046182016132781
2015,Urban regions,Yes,0.02654038870649043,343,15764,0.026491051220261883,0.026589726192718977
2015,Urban regions,No,0.6536763884336264,10026,15764,0.6535303433775572,0.6538224334896956
2015,Rural regions,Yes,0.013930653462707413,236,15764,0.013894678207500536,0.01396662871791429
2015,Rural regions,No,0.3058525693971758,5159,15764,0.30571113783553555,0.30599400095881607
2016,Urban regions,Yes,0.02846298278525182,467,16419,0.028412050165589366,0.028513915404914273
2016,Urban regions,No,0.6547275328901516,10345,16419,0.6545819073970086,0.6548731583832946
2016,Rural regions,Yes,0.016488483194605046,288,16419,0.016449479458380573,0.01652748693082952
2016,Rural regions,No,0.30032100112999155,5300,16419,0.30018060071106684,0.30046140154891626
2017,Urban regions,Yes,0.02909318093240113,474,18279,0.029041914370804795,0.02914444749399747
2017,Urban regions,No,0.6607624008493841,11531,18279,0.660617981806383,0.6609068198923852
2017,Rural regions,Yes,0.016565406311938626,308,18279,0.01652647279842403,0.016604339825453222
2017,Rural regions,No,0.2935790119062761,5958,18279,0.293440098516153,0.29371792529639923
2018,Urban regions,Yes,0.03157921583711957,560,17878,0.031525929024442276,0.03163250264979686
2018,Urban regions,No,0.6577123620036845,11356,17878,0.657567784529933,0.6578569394774361
2018,Rural regions,Yes,0.015755639466487892,303,17878,0.015717694296124907,0.015793584636850877
2018,Rural regions,No,0.2949527826927079,5656,17878,0.294813828270521,0.29509173711489484
2019,Urban regions,Yes,0.03227321140632963,535,17961,0.032218942449676914,0.03232748036298235
2019,Urban regions,No,0.6552586534796825,11425,17961,0.6551127024818979,0.6554046044774671
2019,Rural regions,Yes,0.0157895655824675,278,17961,0.015751284600262205,0.015827846564672794
2019,Rural regions,No,0.29667856953152033,5722,17961,0.296538296555004,0.29681884250803664
2020,Urban regions,Yes,0.033396217229215014,535,19329,0.03334123698126363,0.0334511974771664
2020,Urban regions,No,0.6550585207345624,12815,19329,0.6549130597338337,0.655203981735291
2020,Rural regions,Yes,0.016896759104003668,293,19329,0.016857319269821747,0.016936198938185588
2020,Rural regions,No,0.2946485029322189,5647,19329,0.29450899826871285,0.29478800759572493
2021,Urban regions,Yes,0.037825596799070695,444,12567,0.03776752249044564,0.03788367110769575
2021,Urban regions,No,0.646673958216373,8155,12567,0.6465284475718649,0.646819468860881
2021,Rural regions,Yes,0.01934385167928664,240,12567,0.019301924648367993,0.019385778710205286
2021,Rural regions,No,0.29615659330526967,3712,12567,0.29601760988970416,0.2962955767208352
