,Unnamed: 0,year,hhtyp,hlf0291,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,Single-person household,No,1.0,1243,5737,0.98097,1.01674
1,1,1984,Couple without children,Yes,0.04692,52,5737,0.04294,0.05029
2,2,1984,Couple without children,No,0.95308,1294,5737,0.93447,0.96996
3,3,1984,Single parent,No,1.0,313,5737,0.95747,1.04325
4,4,1984,Couple with children,Yes,0.02143,56,5737,0.01804,0.02531
5,5,1984,Couple with children,No,0.97857,2568,5737,0.95613,1.003
6,6,1984,Multi-generational household,No,1.0,104,5737,0.88595,1.10794
7,7,1984,Other Combinations,No,1.0,107,5737,0.93464,1.07703
8,8,1985,Single-person household,No,1.0,1113,5177,0.97749,1.02251
9,9,1985,Couple without children,Yes,0.05418,51,5177,0.05129,0.0567
10,10,1985,Couple without children,No,0.94582,1170,5177,0.92562,0.96652
11,11,1985,Single parent,No,1.0,284,5177,0.93922,1.05101
12,12,1985,Couple with children,Yes,0.01974,48,5177,0.01544,0.0232
13,13,1985,Couple with children,No,0.98026,2323,5177,0.95911,0.99838
14,14,1985,Multi-generational household,No,1.0,90,5177,0.88324,1.13155
15,15,1985,Other Combinations,No,1.0,98,5177,0.88943,1.09383
16,16,1986,Single-person household,No,1.0,1053,4952,0.98026,1.02425
17,17,1986,Couple without children,Yes,0.05217,47,4952,0.0486,0.05597
18,18,1986,Couple without children,No,0.94783,1152,4952,0.92703,0.97116
19,19,1986,Single parent,No,1.0,274,4952,0.95319,1.04603
20,20,1986,Couple with children,Yes,0.02233,50,4952,0.01771,0.02691
21,21,1986,Couple with children,No,0.97767,2186,4952,0.95266,1.00393
22,22,1986,Multi-generational household,No,1.0,95,4952,0.86456,1.12563
23,23,1986,Other Combinations,No,1.0,95,4952,0.89724,1.10972
24,24,1987,Single-person household,No,1.0,1039,4884,0.97947,1.02007
25,25,1987,Couple without children,Yes,0.04586,41,4884,0.04186,0.04957
26,26,1987,Couple without children,No,0.95414,1149,4884,0.93244,0.97871
27,27,1987,Single parent,No,1.0,271,4884,0.95241,1.05981
28,28,1987,Couple with children,Yes,0.02118,45,4884,0.01726,0.02559
29,29,1987,Couple with children,No,0.97882,2143,4884,0.95336,1.00582
30,30,1987,Multi-generational household,No,1.0,104,4884,0.86997,1.13535
31,31,1987,Other Combinations,No,1.0,92,4884,0.8943,1.10466
32,32,1988,Single-person household,No,1.0,1002,4692,0.97777,1.02292
