year,hhtyp,quintil_oecd_hh,hlf0291,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1984,Single-person household,1st Quintile,No,1.00000,313,5370,1.00000,1.00000
1984,Single-person household,2nd Quintile,No,1.00000,232,5370,1.00000,1.00000
1984,Single-person household,3rd Quintile,No,1.00000,226,5370,1.00000,1.00000
1984,Single-person household,4th Quintile,No,1.00000,231,5370,1.00000,1.00000
1984,Single-person household,5th Quintile,No,1.00000,223,5370,1.00000,1.00000
1984,Couple without children,1st Quintile,No,1.00000,147,5370,1.00000,1.00000
1984,Couple without children,2nd Quintile,No,1.00000,194,5370,1.00000,1.00000
1984,Couple without children,3rd Quintile,No,1.00000,247,5370,1.00000,1.00000
1984,Couple without children,4th Quintile,No,1.00000,288,5370,1.00000,1.00000
1984,Couple without children,5th Quintile,No,1.00000,417,5370,1.00000,1.00000
1984,Single parent,1st Quintile,No,1.00000,121,5370,1.00000,1.00000
1984,Single parent,2nd Quintile,No,1.00000,70,5370,1.00000,1.00000
1984,Single parent,3rd Quintile,No,1.00000,51,5370,1.00000,1.00000
1984,Single parent,4th Quintile,No,1.00000,43,5370,1.00000,1.00000
1984,Couple with children,1st Quintile,No,1.00000,502,5370,1.00000,1.00000
1984,Couple with children,2nd Quintile,No,1.00000,611,5370,1.00000,1.00000
1984,Couple with children,3rd Quintile,No,1.00000,564,5370,1.00000,1.00000
1984,Couple with children,4th Quintile,No,1.00000,543,5370,1.00000,1.00000
1984,Couple with children,5th Quintile,No,1.00000,347,5370,1.00000,1.00000
1985,Single-person household,1st Quintile,No,1.00000,289,4858,1.00000,1.00000
1985,Single-person household,2nd Quintile,No,1.00000,202,4858,1.00000,1.00000
1985,Single-person household,3rd Quintile,No,1.00000,203,4858,1.00000,1.00000
1985,Single-person household,4th Quintile,No,1.00000,222,4858,1.00000,1.00000
1985,Single-person household,5th Quintile,No,1.00000,193,4858,1.00000,1.00000
1985,Couple without children,1st Quintile,No,1.00000,113,4858,1.00000,1.00000
1985,Couple without children,2nd Quintile,No,1.00000,180,4858,1.00000,1.00000
1985,Couple without children,3rd Quintile,No,1.00000,216,4858,1.00000,1.00000
1985,Couple without children,4th Quintile,No,1.00000,280,4858,1.00000,1.00000
1985,Couple without children,5th Quintile,No,1.00000,380,4858,1.00000,1.00000
1985,Single parent,1st Quintile,No,1.00000,104,4858,1.00000,1.00000
1985,Single parent,2nd Quintile,No,1.00000,65,4858,1.00000,1.00000
1985,Single parent,3rd Quintile,No,1.00000,50,4858,1.00000,1.00000
1985,Single parent,4th Quintile,No,1.00000,38,4858,1.00000,1.00000
1985,Couple with children,1st Quintile,No,1.00000,465,4858,1.00000,1.00000
1985,Couple with children,2nd Quintile,No,1.00000,553,4858,1.00000,1.00000
1985,Couple with children,3rd Quintile,No,1.00000,523,4858,1.00000,1.00000
1985,Couple with children,4th Quintile,No,1.00000,462,4858,1.00000,1.00000
1985,Couple with children,5th Quintile,No,1.00000,320,4858,1.00000,1.00000
1986,Single-person household,1st Quintile,No,1.00000,272,4633,1.00000,1.00000
1986,Single-person household,2nd Quintile,No,1.00000,177,4633,1.00000,1.00000
1986,Single-person household,3rd Quintile,No,1.00000,204,4633,1.00000,1.00000
1986,Single-person household,4th Quintile,No,1.00000,219,4633,1.00000,1.00000
