,Unnamed: 0,year,hhtyp,regtyp,hlf0291,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,Single-person household,Urban regions,No,1.0,934,5131,0.97663,1.02594
1,1,1985,Single-person household,Rural regions,No,1.0,179,5131,0.93814,1.05041
2,2,1985,Couple without children,Urban regions,Yes,0.04924,36,5131,0.0453,0.05213
3,3,1985,Couple without children,Urban regions,No,0.95076,924,5131,0.92376,0.97508
4,4,1985,Couple without children,Rural regions,No,1.0,246,5131,0.96409,1.03773
5,5,1985,Single parent,Urban regions,No,1.0,222,5131,0.93699,1.06673
6,6,1985,Single parent,Rural regions,No,1.0,62,5131,0.91335,1.07295
7,7,1985,Couple with children,Urban regions,Yes,0.01808,36,5131,0.01381,0.02332
8,8,1985,Couple with children,Urban regions,No,0.98192,1832,5131,0.95591,1.00603
9,9,1985,Couple with children,Rural regions,No,1.0,491,5131,0.96476,1.03389
10,10,1985,Multi-generational household,Urban regions,No,1.0,58,5131,0.81877,1.18467
11,11,1985,Multi-generational household,Rural regions,No,1.0,32,5131,0.86638,1.13296
12,12,1985,Other Combinations,Urban regions,No,1.0,79,5131,0.87923,1.10236
13,13,1986,Single-person household,Urban regions,No,1.0,886,4908,0.97017,1.02463
14,14,1986,Single-person household,Rural regions,No,1.0,167,4908,0.94578,1.04607
15,15,1986,Couple without children,Urban regions,Yes,0.04391,32,4908,0.03914,0.04807
16,16,1986,Couple without children,Urban regions,No,0.95609,929,4908,0.93173,0.97893
17,17,1986,Couple without children,Rural regions,No,1.0,223,4908,0.94276,1.0522
18,18,1986,Single parent,Urban regions,No,1.0,212,4908,0.93252,1.07353
19,19,1986,Single parent,Rural regions,No,1.0,62,4908,0.91414,1.10031
20,20,1986,Couple with children,Urban regions,Yes,0.02307,41,4908,0.019,0.0285
21,21,1986,Couple with children,Urban regions,No,0.97693,1714,4908,0.94895,1.00115
22,22,1986,Couple with children,Rural regions,No,1.0,472,4908,0.95839,1.0378
23,23,1986,Multi-generational household,Urban regions,No,1.0,64,4908,0.80037,1.22095
24,24,1986,Multi-generational household,Rural regions,No,1.0,31,4908,0.85701,1.15046
25,25,1986,Other Combinations,Urban regions,No,1.0,75,4908,0.87088,1.11585
26,26,1987,Single-person household,Urban regions,No,1.0,876,4819,0.9735,1.02511
27,27,1987,Single-person household,Rural regions,No,1.0,163,4819,0.93878,1.04536
28,28,1987,Couple without children,Urban regions,No,1.0,918,4819,0.96776,1.0278
29,29,1987,Couple without children,Rural regions,No,1.0,231,4819,0.94796,1.04856
30,30,1987,Single parent,Urban regions,No,1.0,206,4819,0.92879,1.06178
31,31,1987,Single parent,Rural regions,No,1.0,65,4819,0.90292,1.10226
32,32,1987,Couple with children,Urban regions,Yes,0.02143,37,4819,0.01562,0.02649
33,33,1987,Couple with children,Urban regions,No,0.97857,1683,4819,0.94685,1.01194
34,34,1987,Couple with children,Rural regions,No,1.0,460,4819,0.95811,1.03058
35,35,1987,Multi-generational household,Urban regions,No,1.0,73,4819,0.83152,1.19867
36,36,1987,Multi-generational household,Rural regions,No,1.0,31,4819,0.80726,1.15495
37,37,1987,Other Combinations,Urban regions,No,1.0,76,4819,0.88234,1.10725
