year,hhtyp,hgeqpter,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Single-person household,Yes,0.51481,624,1262,0.48723,0.54240
1984,Single-person household,No,0.46476,638,1262,0.43723,0.49229
1984,Couple without children,Yes,0.70566,882,1326,0.68112,0.73020
1984,Couple without children,No,0.27581,444,1326,0.25174,0.29987
1984,Single parent,Yes,0.64476,192,322,0.59241,0.69712
1984,Single parent,No,0.34442,130,322,0.29244,0.39641
1984,Couple with children,Yes,0.73489,1691,2590,0.71789,0.75189
1984,Couple with children,No,0.24827,899,2590,0.23163,0.26491
1984,Multi-generational household,Yes,0.65520,71,126,0.57188,0.73852
1984,Multi-generational household,No,0.31966,55,126,0.23791,0.40142
1984,Other Combinations,Yes,0.70791,86,131,0.62974,0.78608
1984,Other Combinations,No,0.27373,45,131,0.19709,0.35038
1985,Single-person household,Yes,0.52858,572,1117,0.49929,0.55787
1985,Single-person household,No,0.45068,545,1117,0.42149,0.47987
1985,Couple without children,Yes,0.69571,799,1202,0.66969,0.72173
1985,Couple without children,No,0.28461,403,1202,0.25909,0.31013
1985,Single parent,Yes,0.64565,174,288,0.59032,0.70099
1985,Single parent,No,0.34235,114,288,0.28746,0.39725
1985,Couple with children,Yes,0.74741,1563,2327,0.72975,0.76507
1985,Couple with children,No,0.23288,764,2327,0.21570,0.25006
1985,Multi-generational household,Yes,0.66327,68,112,0.57535,0.75119
1985,Multi-generational household,No,0.30257,44,112,0.21711,0.38803
1985,Other Combinations,Yes,0.62126,72,119,0.53374,0.70879
1985,Other Combinations,No,0.34762,47,119,0.26170,0.43355
1986,Single-person household,Yes,0.56074,572,1050,0.53071,0.59078
1986,Single-person household,No,0.41455,478,1050,0.38474,0.44437
1986,Couple without children,Yes,0.69105,787,1180,0.66467,0.71742
1986,Couple without children,No,0.28344,393,1180,0.25772,0.30917
1986,Single parent,Yes,0.64297,176,275,0.58624,0.69970
1986,Single parent,No,0.33379,99,275,0.27795,0.38963
1986,Couple with children,Yes,0.74749,1481,2189,0.72928,0.76569
1986,Couple with children,No,0.23289,708,2189,0.21518,0.25060
1986,Multi-generational household,Yes,0.61372,66,113,0.52355,0.70389
1986,Multi-generational household,No,0.34732,47,113,0.25914,0.43550
1986,Other Combinations,Yes,0.64005,73,116,0.55232,0.72777
1986,Other Combinations,No,0.34429,43,116,0.25745,0.43113
1987,Single-person household,Yes,0.56329,580,1054,0.53333,0.59325
1987,Single-person household,No,0.41447,474,1054,0.38472,0.44423
1987,Couple without children,Yes,0.70129,785,1171,0.67506,0.72752
1987,Couple without children,No,0.27848,386,1171,0.25279,0.30416
1987,Single parent,Yes,0.63570,177,267,0.57786,0.69353
1987,Single parent,No,0.32252,90,267,0.26635,0.37870
1987,Couple with children,Yes,0.74700,1464,2143,0.72859,0.76541
1987,Couple with children,No,0.23349,679,2143,0.21557,0.25141
