year,hhtyp,regtyp,hgeqpter,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Single-person household,Urban regions,Yes,0.53816,489,943,0.50632,0.56999
1985,Single-person household,Urban regions,No,0.44281,454,943,0.41109,0.47453
1985,Single-person household,Rural regions,Yes,0.48500,83,174,0.41052,0.55947
1985,Single-person household,Rural regions,No,0.48651,91,174,0.41203,0.56099
1985,Couple without children,Urban regions,Yes,0.71128,638,946,0.68239,0.74017
1985,Couple without children,Urban regions,No,0.26753,308,946,0.23931,0.29575
1985,Couple without children,Rural regions,Yes,0.64574,161,256,0.58704,0.70445
1985,Couple without children,Rural regions,No,0.33942,95,256,0.28130,0.39754
1985,Single parent,Urban regions,Yes,0.65416,135,228,0.59228,0.71604
1985,Single parent,Urban regions,No,0.33505,93,228,0.27365,0.39646
1985,Single parent,Rural regions,Yes,0.62003,39,39,0.46570,0.77436
1985,Couple with children,Urban regions,Yes,0.73727,1198,1842,0.71717,0.75738
1985,Couple with children,Urban regions,No,0.24535,644,1842,0.22570,0.26501
1985,Couple with children,Rural regions,Yes,0.77748,365,485,0.74042,0.81453
1985,Couple with children,Rural regions,No,0.19590,120,485,0.16054,0.23126
1985,Multi-generational household,Urban regions,Yes,0.74226,43,43,0.60998,0.87454
1985,Other Combinations,Urban regions,Yes,0.59624,58,95,0.49705,0.69543
1985,Other Combinations,Urban regions,No,0.36337,37,95,0.26614,0.46060
1986,Single-person household,Urban regions,Yes,0.56505,483,888,0.53243,0.59768
1986,Single-person household,Urban regions,No,0.41322,405,888,0.38081,0.44562
1986,Single-person household,Rural regions,Yes,0.54144,89,162,0.46447,0.61841
1986,Single-person household,Rural regions,No,0.42055,73,162,0.34430,0.49681
1986,Couple without children,Urban regions,Yes,0.70759,643,947,0.67860,0.73658
1986,Couple without children,Urban regions,No,0.26478,304,947,0.23666,0.29289
1986,Couple without children,Rural regions,Yes,0.63106,144,233,0.56897,0.69315
1986,Couple without children,Rural regions,No,0.35114,89,233,0.28972,0.41256
1986,Single parent,Urban regions,Yes,0.65863,137,216,0.59525,0.72202
1986,Single parent,Urban regions,No,0.32322,79,216,0.26070,0.38573
1986,Single parent,Rural regions,Yes,0.59739,39,39,0.44146,0.75332
1986,Couple with children,Urban regions,Yes,0.74129,1138,1723,0.72061,0.76198
1986,Couple with children,Urban regions,No,0.24090,585,1723,0.22070,0.26110
1986,Couple with children,Rural regions,Yes,0.76569,343,466,0.72719,0.80419
1986,Couple with children,Rural regions,No,0.20935,123,466,0.17237,0.24633
1986,Multi-generational household,Urban regions,Yes,0.59490,40,71,0.47990,0.70991
1986,Multi-generational household,Urban regions,No,0.37726,31,71,0.26371,0.49081
1986,Other Combinations,Urban regions,Yes,0.63065,57,89,0.52981,0.73148
1986,Other Combinations,Urban regions,No,0.34813,32,89,0.24860,0.44767
1987,Single-person household,Urban regions,Yes,0.56258,488,889,0.52996,0.59521
1987,Single-person household,Urban regions,No,0.41479,401,889,0.38238,0.44720
