year,age_gr,migback,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,No migration background,Catholic,0.33340,798,2844,0.31607,0.35073
1990,17-29 y.,No migration background,Protestant,0.41982,1081,2844,0.40168,0.43796
1990,17-29 y.,No migration background,Non-denominational,0.22808,965,2844,0.21265,0.24350
1990,17-29 y.,Direct migration background,Catholic,0.37238,214,666,0.33563,0.40912
1990,17-29 y.,Direct migration background,Other Christian community,0.05541,41,666,0.03802,0.07280
1990,17-29 y.,Direct migration background,Islamic community,0.35228,334,666,0.31597,0.38858
1990,17-29 y.,Direct migration background,Non-denominational,0.06712,31,666,0.04810,0.08614
1990,17-29 y.,Direct migration background,Christian orthodox,0.02679,46,666,0.01452,0.03906
1990,17-29 y.,Indirect migration background,Catholic,0.36923,118,225,0.30603,0.43243
1990,17-29 y.,Indirect migration background,Islamic community,0.23911,58,225,0.18325,0.29496
1990,17-29 y.,Indirect migration background,Christian orthodox,0.11154,49,225,0.07031,0.15276
1990,30-45 y.,No migration background,Catholic,0.34923,913,3345,0.33307,0.36538
1990,30-45 y.,No migration background,Protestant,0.37424,1157,3345,0.35784,0.39065
1990,30-45 y.,No migration background,Non-denominational,0.25871,1275,3345,0.24387,0.27356
1990,30-45 y.,Direct migration background,Catholic,0.42017,367,858,0.38713,0.45322
1990,30-45 y.,Direct migration background,Protestant,0.09233,39,858,0.07295,0.11171
1990,30-45 y.,Direct migration background,Other Christian community,0.08667,95,858,0.06783,0.10551
1990,30-45 y.,Direct migration background,Islamic community,0.21575,213,858,0.18821,0.24329
1990,30-45 y.,Direct migration background,Non-denominational,0.11215,61,858,0.09102,0.13328
1990,30-45 y.,Direct migration background,Christian orthodox,0.04680,83,858,0.03266,0.06094
1990,46-65 y.,No migration background,Catholic,0.31985,857,3214,0.30372,0.33598
1990,46-65 y.,No migration background,Protestant,0.46020,1420,3214,0.44296,0.47743
