year,age_gr,pgisced97,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,Pre-primary Level,Catholic,0.41567,65,127,0.32962,0.50173
1990,17-29 y.,Pre-primary Level,Protestant,0.41293,62,127,0.32696,0.49890
1990,17-29 y.,Primary Level,Islamic community,0.19454,51,51,0.08482,0.30427
1990,17-29 y.,Lower Secondary Level,Catholic,0.34509,317,913,0.31424,0.37595
1990,17-29 y.,Lower Secondary Level,Protestant,0.40622,263,913,0.37434,0.43809
1990,17-29 y.,Lower Secondary Level,Islamic community,0.06862,172,913,0.05221,0.08503
1990,17-29 y.,Lower Secondary Level,Non-denominational,0.14543,161,913,0.12255,0.16831
1990,17-29 y.,Upper Secondary Level,Catholic,0.33967,560,1954,0.31867,0.36068
1990,17-29 y.,Upper Secondary Level,Protestant,0.37236,587,1954,0.35091,0.39380
1990,17-29 y.,Upper Secondary Level,Other Christian community,0.01505,32,1954,0.00965,0.02045
1990,17-29 y.,Upper Secondary Level,Islamic community,0.01763,105,1954,0.01179,0.02347
1990,17-29 y.,Upper Secondary Level,Non-denominational,0.24315,622,1954,0.22413,0.26218
1990,17-29 y.,Upper Secondary Level,Christian orthodox,0.00483,48,1954,0.00175,0.00790
1990,17-29 y.,Post-secondary Non-tertiary Level,Catholic,0.30366,49,145,0.22855,0.37876
1990,17-29 y.,Post-secondary Non-tertiary Level,Protestant,0.46233,57,145,0.38089,0.54376
1990,17-29 y.,Post-secondary Non-tertiary Level,Non-denominational,0.20015,39,145,0.13480,0.26550
1990,17-29 y.,First Stage of Tertiary Education,Catholic,0.43177,43,75,0.31891,0.54463
1990,17-29 y.,First Stage of Tertiary Education,Protestant,0.35910,32,75,0.24979,0.46840
1990,17-29 y.,Second Stage of Tertiary Education,Catholic,0.19539,33,222,0.14311,0.24767
1990,17-29 y.,Second Stage of Tertiary Education,Protestant,0.38947,67,222,0.32518,0.45376
1990,17-29 y.,Second Stage of Tertiary Education,Non-denominational,0.40207,122,222,0.33742,0.46671
1990,30-45 y.,Primary Level,Catholic,0.33993,82,142,0.26175,0.41812
1990,30-45 y.,Primary Level,Islamic community,0.28734,60,142,0.21265,0.36204
1990,30-45 y.,Lower Secondary Level,Catholic,0.46090,226,491,0.41676,0.50503
1990,30-45 y.,Lower Secondary Level,Protestant,0.29217,103,491,0.25191,0.33244
1990,30-45 y.,Lower Secondary Level,Islamic community,0.07307,73,491,0.05002,0.09611
1990,30-45 y.,Lower Secondary Level,Non-denominational,0.10168,52,491,0.07492,0.12844
1990,30-45 y.,Lower Secondary Level,Christian orthodox,0.02009,37,491,0.00767,0.03252
1990,30-45 y.,Upper Secondary Level,Catholic,0.36153,680,2243,0.34164,0.38141
1990,30-45 y.,Upper Secondary Level,Protestant,0.37755,735,2243,0.35748,0.39761
1990,30-45 y.,Upper Secondary Level,Other Christian community,0.01668,55,2243,0.01138,0.02199
1990,30-45 y.,Upper Secondary Level,Islamic community,0.01025,51,2243,0.00608,0.01442
1990,30-45 y.,Upper Secondary Level,Non-denominational,0.22635,722,2243,0.20903,0.24367
1990,30-45 y.,Post-secondary Non-tertiary Level,Catholic,0.29864,35,78,0.19642,0.40087
1990,30-45 y.,Post-secondary Non-tertiary Level,Non-denominational,0.34568,43,78,0.23945,0.45191
1990,30-45 y.,First Stage of Tertiary Education,Catholic,0.43790,110,290,0.38070,0.49510
1990,30-45 y.,First Stage of Tertiary Education,Protestant,0.33346,94,290,0.27910,0.38781
1990,30-45 y.,First Stage of Tertiary Education,Non-denominational,0.19830,86,290,0.15233,0.24427
1990,30-45 y.,Second Stage of Tertiary Education,Catholic,0.25365,133,782,0.22314,0.28417
1990,30-45 y.,Second Stage of Tertiary Education,Protestant,0.31315,227,782,0.28062,0.34567
1990,30-45 y.,Second Stage of Tertiary Education,Non-denominational,0.40534,422,782,0.37091,0.43977
1990,46-65 y.,Primary Level,Catholic,0.30487,110,266,0.24944,0.36030
1990,46-65 y.,Primary Level,Islamic community,0.33716,102,266,0.28024,0.39408
1990,46-65 y.,Primary Level,Christian orthodox,0.11593,54,266,0.07738,0.15447
