year,pgisced97,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Pre-primary Level,Catholic,0.41472,65,127,0.32869,0.50074
1990,Pre-primary Level,Protestant,0.41198,62,127,0.32603,0.49792
1990,Primary Level,Catholic,0.33739,233,618,0.30008,0.37470
1990,Primary Level,Protestant,0.21950,48,618,0.18684,0.25216
1990,Primary Level,Other Christian community,0.07961,45,618,0.05825,0.10097
1990,Primary Level,Islamic community,0.25939,216,618,0.22480,0.29397
1990,Primary Level,Christian orthodox,0.05591,76,618,0.03778,0.07403
1990,Lower Secondary Level,Catholic,0.38416,1062,2949,0.36660,0.40172
1990,Lower Secondary Level,Protestant,0.43894,972,2949,0.42103,0.45686
1990,Lower Secondary Level,Other Christian community,0.01746,82,2949,0.01273,0.02219
1990,Lower Secondary Level,Islamic community,0.03462,323,2949,0.02802,0.04122
1990,Lower Secondary Level,Non-denominational,0.10882,393,2949,0.09758,0.12006
1990,Lower Secondary Level,Christian orthodox,0.00800,117,2949,0.00478,0.01122
1990,Upper Secondary Level,Catholic,0.33857,2049,7034,0.32751,0.34963
1990,Upper Secondary Level,Protestant,0.42200,2527,7034,0.41046,0.43355
1990,Upper Secondary Level,Other Christian community,0.01417,126,7034,0.01140,0.01693
1990,Upper Secondary Level,Islamic community,0.00873,191,7034,0.00656,0.01090
1990,Upper Secondary Level,Other religious community,0.00257,31,7034,0.00139,0.00375
1990,Upper Secondary Level,Non-denominational,0.20803,2017,7034,0.19855,0.21752
1990,Upper Secondary Level,Christian orthodox,0.00243,93,7034,0.00128,0.00358
1990,Post-secondary Non-tertiary Level,Catholic,0.28185,105,348,0.23451,0.32919
1990,Post-secondary Non-tertiary Level,Protestant,0.40609,108,348,0.35441,0.45776
1990,Post-secondary Non-tertiary Level,Islamic community,0.04032,38,348,0.01962,0.06102
1990,Post-secondary Non-tertiary Level,Non-denominational,0.24242,97,348,0.19732,0.28751
1990,First Stage of Tertiary Education,Catholic,0.36734,249,746,0.33272,0.40196
1990,First Stage of Tertiary Education,Protestant,0.40398,286,746,0.36874,0.43922
1990,First Stage of Tertiary Education,Non-denominational,0.20411,211,746,0.17517,0.23306
1990,Second Stage of Tertiary Education,Catholic,0.25143,292,1635,0.23039,0.27247
1990,Second Stage of Tertiary Education,Protestant,0.34757,514,1635,0.32448,0.37066
1990,Second Stage of Tertiary Education,Non-denominational,0.37501,829,1635,0.35153,0.39848
1997,Pre-primary Level,Catholic,0.34613,89,302,0.29239,0.39988
1997,Pre-primary Level,Protestant,0.31270,79,302,0.26032,0.36507
1997,Pre-primary Level,Other religious community,0.07603,33,302,0.04609,0.10598
1997,Pre-primary Level,Non-denominational,0.23892,101,302,0.19074,0.28709
1997,Primary Level,Catholic,0.33581,159,447,0.29198,0.37964
1997,Primary Level,Protestant,0.16183,32,447,0.12765,0.19601
1997,Primary Level,Other Christian community,0.07837,52,447,0.05342,0.10331
1997,Primary Level,Other religious community,0.28204,170,447,0.24028,0.32381
1997,Primary Level,Non-denominational,0.09343,34,447,0.06642,0.12044
1997,Lower Secondary Level,Catholic,0.39247,824,2309,0.37254,0.41239
1997,Lower Secondary Level,Protestant,0.38578,680,2309,0.36592,0.40564
1997,Lower Secondary Level,Other Christian community,0.02619,127,2309,0.01968,0.03271
1997,Lower Secondary Level,Other religious community,0.05681,290,2309,0.04737,0.06625
