year,migback,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No migration background,Catholic,0.27778,2975,10866,0.26936,0.28620
1990,No migration background,Protestant,0.36723,4359,10866,0.35817,0.37629
1990,No migration background,Other Christian community,0.00861,87,10866,0.00687,0.01034
1990,No migration background,Other religious community,0.00158,37,10866,0.00083,0.00232
1990,No migration background,Non-denominational,0.17630,3408,10866,0.16914,0.18347
1990,Direct migration background,Catholic,0.39322,1007,2630,0.37455,0.41189
1990,Direct migration background,Protestant,0.15743,178,2630,0.14350,0.17135
1990,Direct migration background,Other Christian community,0.06166,207,2630,0.05247,0.07086
1990,Direct migration background,Islamic community,0.18518,786,2630,0.17033,0.20003
1990,Direct migration background,Non-denominational,0.10046,186,2630,0.08897,0.11196
1990,Direct migration background,Christian orthodox,0.03802,266,2630,0.03071,0.04533
1990,Indirect migration background,Catholic,0.07914,138,245,0.04527,0.11302
1990,Indirect migration background,Islamic community,0.03369,58,245,0.01105,0.05633
1990,Indirect migration background,Christian orthodox,0.01572,49,245,0.00011,0.03132
1997,No migration background,Catholic,0.26145,2630,9726,0.25272,0.27019
1997,No migration background,Protestant,0.32850,3525,9726,0.31917,0.33784
1997,No migration background,Other Christian community,0.00910,95,9726,0.00721,0.01098
1997,No migration background,Non-denominational,0.22929,3476,9726,0.22093,0.23764
1997,Direct migration background,Catholic,0.38965,940,2425,0.37024,0.40907
1997,Direct migration background,Protestant,0.14855,253,2425,0.13439,0.16270
1997,Direct migration background,Other Christian community,0.07355,273,2425,0.06316,0.08394
1997,Direct migration background,Other religious community,0.17183,677,2425,0.15681,0.18685
1997,Direct migration background,Non-denominational,0.14537,282,2425,0.13134,0.15940
1997,Indirect migration background,Catholic,0.13236,202,562,0.10432,0.16041
1997,Indirect migration background,Protestant,0.06032,45,562,0.04062,0.08002
1997,Indirect migration background,Other Christian community,0.02987,92,562,0.01579,0.04396
1997,Indirect migration background,Other religious community,0.08756,163,562,0.06417,0.11095
1997,Indirect migration background,Non-denominational,0.05252,60,562,0.03406,0.07098
2003,No migration background,Catholic,0.26059,5378,18659,0.25430,0.26689
2003,No migration background,Protestant,0.32169,6830,18659,0.31499,0.32839
2003,No migration background,Other Christian community,0.00687,149,18659,0.00569,0.00806
2003,No migration background,Other religious community,0.00332,65,18659,0.00249,0.00414
2003,No migration background,Non-denominational,0.25345,6237,18659,0.24721,0.25969
2003,Direct migration background,Catholic,0.33257,923,2599,0.31446,0.35069
2003,Direct migration background,Protestant,0.17343,421,2599,0.15887,0.18799
2003,Direct migration background,Other Christian community,0.09523,280,2599,0.08394,0.10652
2003,Direct migration background,Other religious community,0.19595,617,2599,0.18069,0.21121
2003,Direct migration background,Non-denominational,0.14531,358,2599,0.13176,0.15886
2003,Indirect migration background,Catholic,0.13530,281,767,0.11108,0.15953
2003,Indirect migration background,Protestant,0.08013,118,767,0.06091,0.09936
2003,Indirect migration background,Other Christian community,0.02337,76,767,0.01267,0.03407
2003,Indirect migration background,Other religious community,0.09022,181,767,0.06993,0.11051
2003,Indirect migration background,Non-denominational,0.05672,111,767,0.04034,0.07310
2007,No migration background,Catholic,0.25354,4967,17552,0.24711,0.25998
2007,No migration background,Protestant,0.32031,6537,17552,0.31341,0.32721
2007,No migration background,Other Christian community,0.00932,181,17552,0.00790,0.01074
2007,No migration background,Non-denominational,0.26539,5867,17552,0.25886,0.27192
2007,Direct migration background,Catholic,0.32134,708,2084,0.30129,0.34140
2007,Direct migration background,Protestant,0.17707,413,2084,0.16067,0.19346
2007,Direct migration background,Other Christian community,0.10802,237,2084,0.09469,0.12135
2007,Direct migration background,Islamic community,0.20631,458,2084,0.18894,0.22369
2007,Direct migration background,Non-denominational,0.13438,268,2084,0.11973,0.14902
2007,Indirect migration background,Catholic,0.16555,274,769,0.13926,0.19183
2007,Indirect migration background,Protestant,0.09248,133,769,0.07199,0.11297
2007,Indirect migration background,Other Christian community,0.03712,86,769,0.02375,0.05049
2007,Indirect migration background,Islamic community,0.09335,160,769,0.07278,0.11393
2007,Indirect migration background,Non-denominational,0.07142,116,769,0.05320,0.08963
2011,No migration background,Catholic,0.22720,5360,19069,0.22125,0.23315
2011,No migration background,Protestant,0.29405,6918,19069,0.28758,0.30051
2011,No migration background,Other Christian community,0.00879,236,19069,0.00747,0.01012
