year,sex,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,male,Catholic,0.27100,1988,6736,0.26039,0.28162
1990,male,Protestant,0.31301,2043,6736,0.30194,0.32409
1990,male,Other Christian community,0.01143,142,6736,0.00889,0.01397
1990,male,Islamic community,0.01905,451,6736,0.01579,0.02232
1990,male,Other religious community,0.00239,32,6736,0.00122,0.00355
1990,male,Non-denominational,0.18813,1918,6736,0.17880,0.19746
1990,male,Christian orthodox,0.00427,162,6736,0.00271,0.00583
1990,female,Catholic,0.29000,2132,7078,0.27943,0.30057
1990,female,Protestant,0.36122,2510,7078,0.35003,0.37241
1990,female,Other Christian community,0.01492,163,7078,0.01209,0.01774
1990,female,Islamic community,0.01505,393,7078,0.01221,0.01789
1990,female,Other religious community,0.00243,37,7078,0.00128,0.00357
1990,female,Non-denominational,0.14142,1690,7078,0.13330,0.14954
1990,female,Christian orthodox,0.00335,153,7078,0.00200,0.00469
1997,male,Catholic,0.26081,1807,6160,0.24984,0.27178
1997,male,Protestant,0.26394,1670,6160,0.25293,0.27495
1997,male,Other Christian community,0.01596,225,6160,0.01283,0.01909
1997,male,Other religious community,0.02975,450,6160,0.02551,0.03400
1997,male,Non-denominational,0.23660,2008,6160,0.22598,0.24721
1997,female,Catholic,0.27938,1965,6580,0.26854,0.29023
1997,female,Protestant,0.32056,2153,6580,0.30928,0.33183
1997,female,Other Christian community,0.01989,235,6580,0.01651,0.02326
1997,female,Other religious community,0.02532,417,6580,0.02153,0.02912
1997,female,Non-denominational,0.18463,1810,6580,0.17525,0.19401
2003,male,Catholic,0.24692,3084,10609,0.23871,0.25512
2003,male,Protestant,0.26378,3272,10609,0.25539,0.27216
2003,male,Other Christian community,0.01711,233,10609,0.01464,0.01958
2003,male,Other religious community,0.03453,444,10609,0.03106,0.03801
2003,male,Non-denominational,0.25716,3576,10609,0.24884,0.26548
2003,female,Catholic,0.27386,3498,11416,0.26568,0.28204
2003,female,Protestant,0.31394,4097,11416,0.30542,0.32245
2003,female,Other Christian community,0.01871,272,11416,0.01623,0.02120
2003,female,Other religious community,0.02702,419,11416,0.02404,0.02999
2003,female,Non-denominational,0.20099,3130,11416,0.19364,0.20834
2007,male,Catholic,0.24238,2748,9726,0.23386,0.25089
2007,male,Protestant,0.26399,3161,9726,0.25523,0.27275
2007,male,Other Christian community,0.01964,219,9726,0.01688,0.02240
2007,male,Islamic community,0.03377,321,9726,0.03018,0.03736
2007,male,Non-denominational,0.26174,3277,9726,0.25301,0.27048
2007,female,Catholic,0.26587,3201,10686,0.25750,0.27425
2007,female,Protestant,0.30896,3922,10686,0.30020,0.31772
2007,female,Other Christian community,0.02514,285,10686,0.02217,0.02811
2007,female,Islamic community,0.02723,304,10686,0.02414,0.03031
2007,female,Non-denominational,0.21100,2974,10686,0.20326,0.21873
2011,male,Catholic,0.22340,2909,10231,0.21533,0.23147
2011,male,Protestant,0.24300,3263,10231,0.23468,0.25131
2011,male,Other Christian community,0.01575,218,10231,0.01334,0.01816
2011,male,Islamic community,0.01985,249,10231,0.01715,0.02255
2011,male,Non-denominational,0.26585,3592,10231,0.25729,0.27441
2011,female,Catholic,0.23734,3478,11798,0.22966,0.24502
2011,female,Protestant,0.28360,4275,11798,0.27547,0.29173
2011,female,Other Christian community,0.02102,298,11798,0.01843,0.02360
2011,female,Islamic community,0.01751,256,11798,0.01514,0.01988
2011,female,Non-denominational,0.21675,3491,11798,0.20932,0.22419
2015,male,Catholic,0.23331,3353,12207,0.22580,0.24081
2015,male,Protestant,0.24041,3297,12207,0.23283,0.24799
2015,male,Other Christian community,0.01498,263,12207,0.01282,0.01713
