year,quintil_oecd,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,1st Quintile,Catholic,0.29752,684,1864,0.27676,0.31828
1990,1st Quintile,Protestant,0.35325,567,1864,0.33155,0.37496
1990,1st Quintile,Other Christian community,0.02413,87,1864,0.01716,0.03109
1990,1st Quintile,Islamic community,0.04990,381,1864,0.04001,0.05978
1990,1st Quintile,Non-denominational,0.03658,68,1864,0.02806,0.04511
1990,1st Quintile,Christian orthodox,0.00566,77,1864,0.00225,0.00906
1990,2nd Quintile,Catholic,0.33791,793,1877,0.31651,0.35931
1990,2nd Quintile,Protestant,0.34153,628,1877,0.32007,0.36299
1990,2nd Quintile,Other Christian community,0.01710,70,1877,0.01124,0.02297
1990,2nd Quintile,Islamic community,0.02950,244,1877,0.02185,0.03716
1990,2nd Quintile,Non-denominational,0.04710,90,1877,0.03751,0.05669
1990,2nd Quintile,Christian orthodox,0.00360,52,1877,0.00089,0.00631
1990,3rd Quintile,Catholic,0.35290,822,1892,0.33136,0.37444
1990,3rd Quintile,Protestant,0.35211,648,1892,0.33059,0.37364
1990,3rd Quintile,Other Christian community,0.01231,59,1892,0.00734,0.01728
1990,3rd Quintile,Islamic community,0.01896,143,1892,0.01281,0.02511
1990,3rd Quintile,Non-denominational,0.07317,142,1892,0.06143,0.08491
1990,3rd Quintile,Christian orthodox,0.00581,78,1892,0.00238,0.00923
1990,4th Quintile,Catholic,0.37270,843,1930,0.35113,0.39428
1990,4th Quintile,Protestant,0.38671,727,1930,0.36497,0.40844
1990,4th Quintile,Other Christian community,0.01781,49,1930,0.01191,0.02371
1990,4th Quintile,Islamic community,0.00753,62,1930,0.00367,0.01138
1990,4th Quintile,Non-denominational,0.09481,180,1930,0.08174,0.10788
1990,4th Quintile,Christian orthodox,0.00527,69,1930,0.00204,0.00850
1990,5th Quintile,Catholic,0.34954,729,1805,0.32753,0.37154
1990,5th Quintile,Protestant,0.39316,744,1805,0.37062,0.41570
1990,5th Quintile,Other Christian community,0.01210,40,1805,0.00705,0.01714
1990,5th Quintile,Non-denominational,0.13729,253,1805,0.12141,0.15318
1990,5th Quintile,Christian orthodox,0.00360,39,1805,0.00084,0.00636
1997,1st Quintile,Catholic,0.21872,578,2351,0.20200,0.23543
1997,1st Quintile,Protestant,0.26722,603,2351,0.24933,0.28511
1997,1st Quintile,Other Christian community,0.02229,101,2351,0.01632,0.02826
1997,1st Quintile,Other religious community,0.06755,393,2351,0.05740,0.07769
1997,1st Quintile,Non-denominational,0.17900,676,2351,0.16350,0.19450
1997,2nd Quintile,Catholic,0.25545,761,2750,0.23915,0.27175
1997,2nd Quintile,Protestant,0.25782,706,2750,0.24147,0.27417
1997,2nd Quintile,Other Christian community,0.01532,105,2750,0.01073,0.01991
1997,2nd Quintile,Other religious community,0.03986,288,2750,0.03255,0.04717
1997,2nd Quintile,Non-denominational,0.21517,890,2750,0.19981,0.23054
1997,3rd Quintile,Catholic,0.27594,797,2550,0.25859,0.29329
1997,3rd Quintile,Protestant,0.30335,802,2550,0.28551,0.32120
1997,3rd Quintile,Other Christian community,0.01371,85,2550,0.00920,0.01823
1997,3rd Quintile,Other religious community,0.01662,98,2550,0.01166,0.02158
1997,3rd Quintile,Non-denominational,0.19284,768,2550,0.17752,0.20815
1997,4th Quintile,Catholic,0.29045,831,2657,0.27318,0.30771
1997,4th Quintile,Protestant,0.31883,904,2657,0.30111,0.33655
1997,4th Quintile,Other Christian community,0.01806,89,2657,0.01300,0.02313
1997,4th Quintile,Other religious community,0.00976,64,2657,0.00602,0.01350
1997,4th Quintile,Non-denominational,0.21963,769,2657,0.20388,0.23537
1997,5th Quintile,Catholic,0.31113,805,2407,0.29263,0.32963
1997,5th Quintile,Protestant,0.31730,808,2407,0.29870,0.33589
1997,5th Quintile,Other Christian community,0.02047,80,2407,0.01481,0.02613
1997,5th Quintile,Non-denominational,0.24345,714,2407,0.22631,0.26060
2003,1st Quintile,Catholic,0.21030,820,3370,0.19654,0.22407
2003,1st Quintile,Protestant,0.25216,1005,3370,0.23750,0.26683
2003,1st Quintile,Other Christian community,0.02456,109,3370,0.01934,0.02979
2003,1st Quintile,Other religious community,0.07455,340,3370,0.06568,0.08342
2003,1st Quintile,Non-denominational,0.22235,1096,3370,0.20831,0.23639
2003,2nd Quintile,Catholic,0.25535,1113,3846,0.24157,0.26914
2003,2nd Quintile,Protestant,0.27512,1214,3846,0.26100,0.28923
2003,2nd Quintile,Other Christian community,0.01573,88,3846,0.01180,0.01967
2003,2nd Quintile,Other religious community,0.03563,239,3846,0.02977,0.04149
