year,regtyp,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Urban regions,Catholic,0.30232,3042,8910,0.29278,0.31186
1990,Urban regions,Protestant,0.34409,2887,8910,0.33422,0.35395
1990,Urban regions,Other Christian community,0.01620,266,8910,0.01358,0.01882
1990,Urban regions,Islamic community,0.02282,770,8910,0.01972,0.02592
1990,Urban regions,Other religious community,0.00231,41,8910,0.00131,0.00330
1990,Urban regions,Non-denominational,0.13362,1644,8910,0.12656,0.14069
1990,Urban regions,Christian orthodox,0.00451,260,8910,0.00312,0.00590
1990,Rural regions,Catholic,0.23777,1077,4790,0.22571,0.24983
1990,Rural regions,Protestant,0.32706,1651,4790,0.31377,0.34035
1990,Rural regions,Other Christian community,0.00702,39,4790,0.00465,0.00938
1990,Rural regions,Islamic community,0.00466,74,4790,0.00273,0.00659
1990,Rural regions,Non-denominational,0.22406,1894,4790,0.21225,0.23587
1990,Rural regions,Christian orthodox,0.00230,55,4790,0.00094,0.00366
1997,Urban regions,Catholic,0.29389,2786,8305,0.28409,0.30369
1997,Urban regions,Protestant,0.29322,2462,8305,0.28342,0.30301
1997,Urban regions,Other Christian community,0.02006,363,8305,0.01705,0.02308
1997,Urban regions,Other religious community,0.03701,800,8305,0.03295,0.04107
1997,Urban regions,Non-denominational,0.17766,1894,8305,0.16943,0.18588
1997,Rural regions,Catholic,0.21895,986,4434,0.20677,0.23112
1997,Rural regions,Protestant,0.29192,1360,4434,0.27854,0.30530
1997,Rural regions,Other Christian community,0.01340,97,4434,0.01002,0.01679
1997,Rural regions,Other religious community,0.00672,67,4434,0.00431,0.00912
1997,Rural regions,Non-denominational,0.28073,1924,4434,0.26751,0.29396
2003,Urban regions,Catholic,0.27862,4785,14627,0.27135,0.28588
2003,Urban regions,Protestant,0.29007,4989,14627,0.28271,0.29742
2003,Urban regions,Other Christian community,0.02111,397,14627,0.01878,0.02344
2003,Urban regions,Other religious community,0.04091,796,14627,0.03770,0.04412
2003,Urban regions,Non-denominational,0.19445,3660,14627,0.18803,0.20086
2003,Rural regions,Catholic,0.22194,1797,7398,0.21247,0.23141
2003,Rural regions,Protestant,0.28778,2380,7398,0.27746,0.29809
2003,Rural regions,Other Christian community,0.01106,108,7398,0.00867,0.01344
2003,Rural regions,Other religious community,0.00871,67,7398,0.00659,0.01083
2003,Rural regions,Non-denominational,0.30198,3046,7398,0.29152,0.31244
2007,Urban regions,Catholic,0.26992,4245,13406,0.26241,0.27744
2007,Urban regions,Protestant,0.28367,4732,13406,0.27604,0.29130
2007,Urban regions,Other Christian community,0.02614,409,13406,0.02344,0.02885
2007,Urban regions,Islamic community,0.04033,566,13406,0.03700,0.04366
2007,Urban regions,Other religious community,0.00331,38,13406,0.00234,0.00428
2007,Urban regions,Non-denominational,0.20644,3416,13406,0.19958,0.21329
2007,Rural regions,Catholic,0.22143,1704,7044,0.21173,0.23113
2007,Rural regions,Protestant,0.29365,2351,7044,0.28301,0.30429
2007,Rural regions,Other Christian community,0.01462,95,7044,0.01181,0.01742
2007,Rural regions,Islamic community,0.00956,59,7044,0.00729,0.01184
2007,Rural regions,Non-denominational,0.29815,2835,7044,0.28747,0.30883
2011,Urban regions,Catholic,0.24328,4466,14245,0.23623,0.25033
2011,Urban regions,Protestant,0.26423,4933,14245,0.25699,0.27147
2011,Urban regions,Other Christian community,0.02165,432,14245,0.01926,0.02404
2011,Urban regions,Islamic community,0.02416,443,14245,0.02164,0.02668
2011,Urban regions,Other religious community,0.00330,40,14245,0.00236,0.00424
2011,Urban regions,Non-denominational,0.21733,3931,14245,0.21056,0.22411
2011,Rural regions,Catholic,0.20405,1921,7824,0.19512,0.21298
2011,Rural regions,Protestant,0.26267,2605,7824,0.25292,0.27242
2011,Rural regions,Other Christian community,0.01178,84,7824,0.00939,0.01417
2011,Rural regions,Islamic community,0.00725,62,7824,0.00537,0.00913
2011,Rural regions,Non-denominational,0.28934,3152,7824,0.27930,0.29939
2015,Urban regions,Catholic,0.25777,5121,17357,0.25126,0.26428
2015,Urban regions,Protestant,0.25450,4887,17357,0.24802,0.26099
2015,Urban regions,Other Christian community,0.02019,506,17357,0.01810,0.02229
2015,Urban regions,Islamic community,0.02324,614,17357,0.02100,0.02548
2015,Urban regions,Other religious community,0.00474,140,17357,0.00372,0.00576
2015,Urban regions,Non-denominational,0.24812,5027,17357,0.24169,0.25454
2015,Urban regions,Christian orthodox,0.00763,514,17357,0.00633,0.00892
2015,Urban regions,Shiite denomination,0.00154,57,17357,0.00096,0.00213
2015,Urban regions,Sunni denomination,0.01564,452,17357,0.01379,0.01748
2015,Urban regions,Alevi denomination,0.00180,39,17357,0.00117,0.00243
2015,Rural regions,Catholic,0.21032,2318,9246,0.20201,0.21863
2015,Rural regions,Protestant,0.27768,2807,9246,0.26855,0.28681
2015,Rural regions,Other Christian community,0.00967,129,9246,0.00768,0.01167
2015,Rural regions,Islamic community,0.00670,142,9246,0.00504,0.00836
2015,Rural regions,Other religious community,0.00309,69,9246,0.00196,0.00422
2015,Rural regions,Non-denominational,0.32479,3505,9246,0.31525,0.33434
2015,Rural regions,Christian orthodox,0.00428,179,9246,0.00295,0.00561
2015,Rural regions,Sunni denomination,0.00451,97,9246,0.00314,0.00587
2019,Urban regions,Catholic,0.23244,4511,18632,0.22637,0.23850
2019,Urban regions,Protestant,0.23563,4591,18632,0.22953,0.24172
2019,Urban regions,Other Christian community,0.01467,311,18632,0.01294,0.01639
2019,Urban regions,Islamic community,0.01219,324,18632,0.01062,0.01377
2019,Urban regions,Other religious community,0.00503,314,18632,0.00401,0.00604
2019,Urban regions,Non-denominational,0.27427,5779,18632,0.26787,0.28068
2019,Urban regions,Christian orthodox,0.01678,504,18632,0.01494,0.01863
2019,Urban regions,Shiite denomination,0.00370,179,18632,0.00283,0.00457
2019,Urban regions,Sunni denomination,0.03536,2074,18632,0.03271,0.03802
2019,Urban regions,Alevi denomination,0.00201,45,18632,0.00136,0.00265
2019,Rural regions,Catholic,0.20100,1982,9663,0.19301,0.20899
2019,Rural regions,Protestant,0.25443,2600,9663,0.24574,0.26311
2019,Rural regions,Other Christian community,0.01016,99,9663,0.00816,0.01216
2019,Rural regions,Islamic community,0.00299,114,9663,0.00190,0.00408
2019,Rural regions,Other religious community,0.00373,156,9663,0.00251,0.00494
2019,Rural regions,Non-denominational,0.34416,3795,9663,0.33469,0.35364
2019,Rural regions,Christian orthodox,0.00825,177,9663,0.00644,0.01005
2019,Rural regions,Shiite denomination,0.00119,77,9663,0.00050,0.00188
2019,Rural regions,Sunni denomination,0.01025,663,9663,0.00825,0.01226
