year,age_gr,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,Catholic,0.33756,1130,3818,0.32256,0.35256
1990,17-29 y.,Protestant,0.38615,1118,3818,0.37070,0.40159
1990,17-29 y.,Other Christian community,0.01633,76,3818,0.01231,0.02035
1990,17-29 y.,Islamic community,0.03548,392,3818,0.02961,0.04134
1990,17-29 y.,Non-denominational,0.21019,1007,3818,0.19726,0.22311
1990,17-29 y.,Christian orthodox,0.00503,95,3818,0.00278,0.00727
1990,30-45 y.,Catholic,0.35714,1289,4252,0.34274,0.37155
1990,30-45 y.,Protestant,0.34370,1202,4252,0.32942,0.35797
1990,30-45 y.,Other Christian community,0.01965,126,4252,0.01547,0.02382
1990,30-45 y.,Islamic community,0.02391,213,4252,0.01931,0.02850
1990,30-45 y.,Non-denominational,0.24174,1339,4252,0.22887,0.25461
1990,30-45 y.,Christian orthodox,0.00519,83,4252,0.00303,0.00734
1990,46-65 y.,Catholic,0.33081,1241,4221,0.31661,0.34500
1990,46-65 y.,Protestant,0.42756,1500,4221,0.41263,0.44249
1990,46-65 y.,Other Christian community,0.01651,93,4221,0.01266,0.02035
1990,46-65 y.,Islamic community,0.01764,234,4221,0.01366,0.02161
1990,46-65 y.,Non-denominational,0.19359,1019,4221,0.18167,0.20551
1990,46-65 y.,Christian orthodox,0.00614,134,4221,0.00379,0.00850
1990,66 and older,Catholic,0.34016,460,1436,0.31565,0.36467
1990,66 and older,Protestant,0.51702,733,1436,0.49117,0.54288
1990,66 and older,Non-denominational,0.12768,243,1436,0.11041,0.14494
1997,17-29 y.,Catholic,0.33357,881,3010,0.31673,0.35042
1997,17-29 y.,Protestant,0.31133,795,3010,0.29478,0.32787
1997,17-29 y.,Other Christian community,0.02234,119,3010,0.01706,0.02762
1997,17-29 y.,Other religious community,0.06982,355,3010,0.06071,0.07893
1997,17-29 y.,Non-denominational,0.25445,860,3010,0.23889,0.27001
