year,age_gr,regtyp,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,Urban regions,Catholic,0.35219,813,2492,0.33343,0.37095
1990,17-29 y.,Urban regions,Protestant,0.40852,754,2492,0.38921,0.42782
1990,17-29 y.,Urban regions,Other Christian community,0.02269,69,2492,0.01684,0.02854
1990,17-29 y.,Urban regions,Islamic community,0.04799,359,2492,0.03960,0.05639
1990,17-29 y.,Urban regions,Non-denominational,0.15503,420,2492,0.14082,0.16924
1990,17-29 y.,Urban regions,Christian orthodox,0.00571,77,2492,0.00275,0.00866
1990,17-29 y.,Rural regions,Catholic,0.30971,316,1280,0.28437,0.33505
1990,17-29 y.,Rural regions,Protestant,0.34168,361,1280,0.31568,0.36767
1990,17-29 y.,Rural regions,Islamic community,0.00941,33,1280,0.00412,0.01471
1990,17-29 y.,Rural regions,Non-denominational,0.32016,570,1280,0.29459,0.34573
1990,30-45 y.,Urban regions,Catholic,0.38528,971,2710,0.36695,0.40360
1990,30-45 y.,Urban regions,Protestant,0.34439,752,2710,0.32649,0.36228
1990,30-45 y.,Urban regions,Other Christian community,0.02497,113,2710,0.01909,0.03085
1990,30-45 y.,Urban regions,Islamic community,0.03030,186,2710,0.02384,0.03675
1990,30-45 y.,Urban regions,Non-denominational,0.20157,622,2710,0.18647,0.21668
1990,30-45 y.,Urban regions,Christian orthodox,0.00566,66,2710,0.00284,0.00849
1990,30-45 y.,Rural regions,Catholic,0.29512,318,1448,0.27161,0.31862
1990,30-45 y.,Rural regions,Protestant,0.34472,444,1448,0.32023,0.36921
1990,30-45 y.,Rural regions,Non-denominational,0.32910,686,1448,0.30489,0.35331
1990,46-65 y.,Urban regions,Catholic,0.36340,942,2762,0.34546,0.38134
1990,46-65 y.,Urban regions,Protestant,0.42709,932,2762,0.40864,0.44554
1990,46-65 y.,Urban regions,Other Christian community,0.01845,78,2762,0.01343,0.02347
1990,46-65 y.,Urban regions,Islamic community,0.02416,221,2762,0.01843,0.02989
1990,46-65 y.,Urban regions,Non-denominational,0.15165,475,2762,0.13827,0.16503
1990,46-65 y.,Urban regions,Christian orthodox,0.00772,114,2762,0.00445,0.01098
1990,46-65 y.,Rural regions,Catholic,0.26360,299,1386,0.24039,0.28680
1990,46-65 y.,Rural regions,Protestant,0.43087,562,1386,0.40479,0.45695
