year,bula_h,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Schleswig-Holstein,Protestant,0.57723,190,232,0.51352,0.64093
1990,Schleswig-Holstein,Non-denominational,0.14084,42,232,0.09598,0.18570
1990,Hamburg,Protestant,0.46825,67,122,0.37934,0.55716
1990,Hamburg,Non-denominational,0.30296,55,122,0.22108,0.38484
1990,Lower Saxony,Catholic,0.12952,173,944,0.10809,0.15095
1990,Lower Saxony,Protestant,0.59164,611,944,0.56027,0.62301
1990,Lower Saxony,Islamic community,0.01445,54,944,0.00683,0.02206
1990,Lower Saxony,Non-denominational,0.10576,106,944,0.08613,0.12539
1990,Bremen,Protestant,0.58588,63,63,0.46327,0.70849
1990,North Rhine-Westphalia,Catholic,0.38029,1104,2532,0.36137,0.39920
1990,North Rhine-Westphalia,Protestant,0.31924,809,2532,0.30108,0.33740
1990,North Rhine-Westphalia,Other Christian community,0.01734,93,2532,0.01226,0.02243
1990,North Rhine-Westphalia,Islamic community,0.02704,273,2532,0.02072,0.03336
1990,North Rhine-Westphalia,Non-denominational,0.06457,173,2532,0.05500,0.07414
1990,North Rhine-Westphalia,Christian orthodox,0.00597,80,2532,0.00297,0.00897
1990,Hesse,Catholic,0.24353,305,954,0.21628,0.27079
1990,Hesse,Protestant,0.47020,412,954,0.43851,0.50189
1990,Hesse,Islamic community,0.02781,120,954,0.01737,0.03825
1990,Hesse,Non-denominational,0.07557,83,954,0.05879,0.09235
1990,Hesse,Christian orthodox,0.00452,34,954,0.00026,0.00878
1990,"Rhineland-Palatinate, Saarland",Catholic,0.47875,383,601,0.43878,0.51873
1990,"Rhineland-Palatinate, Saarland",Protestant,0.31422,218,601,0.27708,0.35137
1990,Baden-Wuerttemberg,Catholic,0.37965,829,1783,0.35712,0.40218
1990,Baden-Wuerttemberg,Protestant,0.33130,513,1783,0.30945,0.35316
1990,Baden-Wuerttemberg,Other Christian community,0.02773,97,1783,0.02011,0.03536
