year,sampreg,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,West,Catholic,0.34205,3872,9418,0.33247,0.35163
1990,West,Protestant,0.36529,3315,9418,0.35556,0.37501
1990,West,Other Christian community,0.01669,305,9418,0.01410,0.01927
1990,West,Islamic community,0.02142,844,9418,0.01850,0.02435
1990,West,Other religious community,0.00175,34,9418,0.00091,0.00260
1990,West,Non-denominational,0.07776,733,9418,0.07235,0.08317
1990,West,Christian orthodox,0.00478,315,9418,0.00339,0.00618
1990,East,Catholic,0.04627,248,4396,0.04005,0.05248
1990,East,Protestant,0.23263,1238,4396,0.22014,0.24512
1990,East,Other religious community,0.00491,35,4396,0.00284,0.00698
1990,East,Non-denominational,0.49360,2875,4396,0.47882,0.50838
1997,West,Catholic,0.32320,3597,9122,0.31360,0.33280
1997,West,Protestant,0.31178,2960,9122,0.30227,0.32128
1997,West,Other Christian community,0.02100,441,9122,0.01805,0.02394
1997,West,Other religious community,0.03361,862,9122,0.02991,0.03731
1997,West,Non-denominational,0.12590,1262,9122,0.11909,0.13271
1997,East,Catholic,0.04155,175,3594,0.03502,0.04807
1997,East,Protestant,0.21124,863,3594,0.19789,0.22458
1997,East,Non-denominational,0.57386,2556,3594,0.55769,0.59003
2003,West,Catholic,0.31033,6340,16703,0.30331,0.31734
2003,West,Protestant,0.30870,6125,16703,0.30170,0.31571
2003,West,Other Christian community,0.02092,481,16703,0.01875,0.02309
2003,West,Other religious community,0.03689,853,16703,0.03403,0.03975
2003,West,Non-denominational,0.14207,2904,16703,0.13678,0.14737
2003,East,Catholic,0.03595,242,5288,0.03093,0.04097
2003,East,Protestant,0.20177,1244,5288,0.19095,0.21259
2003,East,Non-denominational,0.61961,3802,5288,0.60653,0.63270
2007,West,Catholic,0.30188,5710,15467,0.29465,0.30912
2007,West,Protestant,0.30353,5838,15467,0.29629,0.31078
2007,West,Other Christian community,0.02611,474,15467,0.02360,0.02862
2007,West,Islamic community,0.03701,623,15467,0.03404,0.03999
2007,West,Other religious community,0.00285,42,15467,0.00201,0.00369
2007,West,Non-denominational,0.15290,2780,15467,0.14723,0.15857
2007,East,Catholic,0.03914,239,4955,0.03374,0.04454
2007,East,Protestant,0.21150,1245,4955,0.20013,0.22287
2007,East,Non-denominational,0.61163,3471,4955,0.59806,0.62520
2011,West,Catholic,0.27275,6149,16966,0.26605,0.27945
2011,West,Protestant,0.28094,6388,16966,0.27418,0.28770
2011,West,Other Christian community,0.02093,473,16966,0.01878,0.02309
2011,West,Islamic community,0.02262,503,16966,0.02038,0.02485
2011,West,Other religious community,0.00322,49,16966,0.00237,0.00407
2011,West,Non-denominational,0.16802,3404,16966,0.16239,0.17365
2011,East,Catholic,0.03355,238,5110,0.02861,0.03849
2011,East,Protestant,0.18344,1150,5110,0.17282,0.19405
2011,East,Other Christian community,0.00681,43,5110,0.00455,0.00906
2011,East,Non-denominational,0.58001,3679,5110,0.56647,0.59354
2015,West,Catholic,0.28678,7144,21253,0.28070,0.29286
2015,West,Protestant,0.28073,6605,21253,0.27469,0.28677
2015,West,Other Christian community,0.01900,583,21253,0.01716,0.02084
2015,West,Islamic community,0.02150,732,21253,0.01955,0.02345
2015,West,Other religious community,0.00457,189,21253,0.00366,0.00547
2015,West,Non-denominational,0.19758,4701,21253,0.19223,0.20293
2015,West,Christian orthodox,0.00716,647,21253,0.00602,0.00829
2015,West,Shiite denomination,0.00152,72,21253,0.00100,0.00204
2015,West,Sunni denomination,0.01439,535,21253,0.01279,0.01599
2015,West,Alevi denomination,0.00161,45,21253,0.00107,0.00215
2015,East,Catholic,0.03356,295,5313,0.02871,0.03840
2015,East,Protestant,0.17312,1089,5313,0.16294,0.18329
2015,East,Other Christian community,0.00651,52,5313,0.00435,0.00868
2015,East,Non-denominational,0.62771,3831,5313,0.61471,0.64071
2015,East,Christian orthodox,0.00370,46,5313,0.00207,0.00533
2019,West,Catholic,0.26138,6330,22814,0.25568,0.26708
2019,West,Protestant,0.25734,6248,22814,0.25167,0.26302
2019,West,Other Christian community,0.01447,358,22814,0.01292,0.01602
2019,West,Islamic community,0.01081,402,22814,0.00947,0.01216
2019,West,Other religious community,0.00539,449,22814,0.00444,0.00634
2019,West,Non-denominational,0.22938,5728,22814,0.22393,0.23484
2019,West,Christian orthodox,0.01633,625,22814,0.01469,0.01798
2019,West,Shiite denomination,0.00334,211,22814,0.00259,0.00409
2019,West,Sunni denomination,0.03155,2410,22814,0.02928,0.03382
2019,West,Alevi denomination,0.00179,53,22814,0.00124,0.00234
2019,East,Catholic,0.03108,267,5941,0.02666,0.03549
2019,East,Protestant,0.16099,1071,5941,0.15165,0.17034
2019,East,Other Christian community,0.00629,53,5941,0.00428,0.00830
2019,East,Islamic community,0.00119,36,5941,0.00031,0.00206
2019,East,Non-denominational,0.63384,4084,5941,0.62159,0.64609
2019,East,Christian orthodox,0.00213,57,5941,0.00095,0.00330
2019,East,Shiite denomination,0.00060,45,5941,-0.00002,0.00123
2019,East,Sunni denomination,0.00567,328,5941,0.00376,0.00758
