year,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Catholic,0.28072,4120,13814,0.27323,0.28822
1990,Protestant,0.33778,4553,13814,0.32990,0.34567
1990,Other Christian community,0.01323,305,13814,0.01132,0.01513
1990,Islamic community,0.01698,844,13814,0.01483,0.01914
1990,Other religious community,0.00241,69,13814,0.00159,0.00322
1990,Non-denominational,0.16398,3608,13814,0.15781,0.17016
1990,Christian orthodox,0.00379,315,13814,0.00277,0.00482
1997,Catholic,0.27031,3772,12772,0.26261,0.27801
1997,Protestant,0.29290,3823,12772,0.28500,0.30079
1997,Other Christian community,0.01797,460,12772,0.01566,0.02027
1997,Other religious community,0.02749,867,12772,0.02465,0.03032
1997,Non-denominational,0.21002,3818,12772,0.20295,0.21708
1997,Multiple answers,0.00200,32,12772,0.00122,0.00277
2003,Catholic,0.26065,6582,22025,0.25485,0.26645
2003,Protestant,0.28934,7369,22025,0.28335,0.29533
2003,Other Christian community,0.01793,505,22025,0.01617,0.01968
2003,Other religious community,0.03070,863,22025,0.02842,0.03298
2003,Non-denominational,0.22853,6706,22025,0.22299,0.23408
2007,Catholic,0.25434,5949,20461,0.24837,0.26030
2007,Protestant,0.28688,7083,20461,0.28068,0.29308
2007,Other Christian community,0.02244,504,20461,0.02041,0.02447
2007,Islamic community,0.03044,625,20461,0.02809,0.03280
2007,Other religious community,0.00255,49,20461,0.00186,0.00324
2007,Non-denominational,0.23592,6251,20461,0.23010,0.24174
2011,Catholic,0.23051,6387,22080,0.22495,0.23607
2011,Protestant,0.26372,7538,22080,0.25791,0.26953
2011,Other Christian community,0.01844,516,22080,0.01666,0.02021
2011,Islamic community,0.01865,505,22080,0.01687,0.02044
2011,Other religious community,0.00273,51,22080,0.00204,0.00342
2011,Non-denominational,0.24078,7083,22080,0.23514,0.24642
2015,Catholic,0.24255,7439,26629,0.23740,0.24770
2015,Protestant,0.26194,7694,26629,0.25666,0.26722
2015,Other Christian community,0.01682,635,26629,0.01527,0.01836
2015,Islamic community,0.01794,756,26629,0.01634,0.01953
2015,Other religious community,0.00421,209,26629,0.00343,0.00499
2015,Non-denominational,0.27271,8532,26629,0.26736,0.27806
2015,Christian orthodox,0.00655,693,26629,0.00558,0.00752
2015,Shiite denomination,0.00131,76,26629,0.00088,0.00174
2015,Sunni denomination,0.01207,549,26629,0.01076,0.01338
2015,Alevi denomination,0.00134,46,26629,0.00090,0.00178
2019,Catholic,0.22204,6603,28858,0.21724,0.22683
2019,Protestant,0.24085,7329,28858,0.23592,0.24579
2019,Other Christian community,0.01308,412,28858,0.01176,0.01439
2019,Islamic community,0.00917,438,28858,0.00807,0.01027
2019,Other religious community,0.00466,476,28858,0.00388,0.00545
2019,Non-denominational,0.29853,9869,28858,0.29325,0.30381
2019,Christian orthodox,0.01390,682,28858,0.01255,0.01525
2019,Shiite denomination,0.00287,256,28858,0.00225,0.00349
2019,Sunni denomination,0.02712,2738,28858,0.02525,0.02900
2019,Alevi denomination,0.00151,55,28858,0.00106,0.00195
