"year","bildungsniveau","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2005","(Fach-)Abitur","4.91","4.83","2291","4.86","4.96"
"2005","(noch) kein Abschluss","4.83","4.83","900","4.75","4.91"
"2005","AkademikerIn","4.82","4.83","4160","4.79","4.85"
"2005","Hauptschule","4.7","4.58","7532","4.67","4.73"
"2005","Realschule","4.89","4.83","5374","4.86","4.92"
"2006","(Fach-)Abitur","","","","",""
"2006","(noch) kein Abschluss","","","","",""
"2006","AkademikerIn","","","","",""
"2006","Hauptschule","","","","",""
"2006","Realschule","","","","",""
"2007","(Fach-)Abitur","","","","",""
"2007","(noch) kein Abschluss","","","","",""
"2007","AkademikerIn","","","","",""
"2007","Hauptschule","","","","",""
"2007","Realschule","","","","",""
"2008","(Fach-)Abitur","","","","",""
"2008","(noch) kein Abschluss","","","","",""
"2008","AkademikerIn","","","","",""
"2008","Hauptschule","","","","",""
"2008","Realschule","","","","",""
"2009","(Fach-)Abitur","4.87","4.83","1997","4.82","4.92"
"2009","(noch) kein Abschluss","4.69","4.5","480","4.58","4.8"
"2009","AkademikerIn","4.7","4.58","4022","4.66","4.74"
"2009","Hauptschule","4.63","4.58","6174","4.6","4.66"
"2009","Realschule","4.79","4.83","4795","4.76","4.82"
"2010","(Fach-)Abitur","","","","",""
"2010","(noch) kein Abschluss","","","","",""
"2010","AkademikerIn","","","","",""
"2010","Hauptschule","","","","",""
"2010","Realschule","","","","",""
"2011","(Fach-)Abitur","","","","",""
"2011","(noch) kein Abschluss","","","","",""
"2011","AkademikerIn","","","","",""
"2011","Hauptschule","","","","",""
"2011","Realschule","","","","",""
"2012","(Fach-)Abitur","5.04","4.83","1123","4.97","5.11"
"2012","(noch) kein Abschluss","5.09","4.83","348","4.97","5.21"
"2012","AkademikerIn","5","4.83","1494","4.95","5.05"
"2012","Hauptschule","5.01","4.83","1708","4.96","5.06"
"2012","Realschule","5.19","5.17","2295","5.14","5.24"
"2013","(Fach-)Abitur","4.95","4.83","2210","4.9","5"
"2013","(noch) kein Abschluss","4.84","4.83","482","4.73","4.95"
"2013","AkademikerIn","4.81","4.83","4455","4.78","4.84"
"2013","Hauptschule","4.73","4.58","6179","4.7","4.76"
"2013","Realschule","4.88","4.83","5028","4.85","4.91"
"2014","(Fach-)Abitur","","","","",""
"2014","(noch) kein Abschluss","","","","",""
"2014","AkademikerIn","","","","",""
"2014","Hauptschule","","","","",""
"2014","Realschule","","","","",""
"2015","(Fach-)Abitur","","","","",""
"2015","(noch) kein Abschluss","","","","",""
"2015","AkademikerIn","","","","",""
"2015","Hauptschule","","","","",""
"2015","Realschule","","","","",""
"2016","(Fach-)Abitur","","","","",""
"2016","(noch) kein Abschluss","","","","",""
"2016","AkademikerIn","","","","",""
"2016","Hauptschule","","","","",""
"2016","Realschule","","","","",""
"2017","(Fach-)Abitur","4.89","4.83","4520","4.86","4.92"
"2017","(noch) kein Abschluss","4.93","4.83","1651","4.87","4.99"
"2017","AkademikerIn","4.83","4.83","6929","4.8","4.86"
"2017","Hauptschule","4.8","4.83","7615","4.77","4.83"
"2017","Realschule","4.95","4.83","6942","4.92","4.98"
"2018","(Fach-)Abitur","","","","",""
"2018","(noch) kein Abschluss","","","","",""
"2018","AkademikerIn","","","","",""
"2018","Hauptschule","","","","",""
"2018","Realschule","","","","",""
"2019","(Fach-)Abitur","4.9","4.83","4155","4.86","4.94"
"2019","(noch) kein Abschluss","4.97","4.83","776","4.88","5.06"
"2019","AkademikerIn","4.83","4.83","7036","4.8","4.86"
"2019","Hauptschule","4.78","4.58","6198","4.75","4.81"
"2019","Realschule","4.93","4.83","6748","4.9","4.96"
