"year","bildungsniveau","migback","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2005","(Fach-)Abitur","direkter Migrationshintergrund","4.77","4.58","371","4.65","4.89"
"2005","(Fach-)Abitur","indirekter Migrationshintergrund","5.15","4.83","141","4.97","5.33"
"2005","(Fach-)Abitur","kein Migrationshintergrund","4.93","4.83","1779","4.88","4.98"
"2005","(noch) kein Abschluss","direkter Migrationshintergrund","4.49","4.5","219","4.31","4.67"
"2005","(noch) kein Abschluss","indirekter Migrationshintergrund","5.13","4.83","97","4.92","5.34"
"2005","(noch) kein Abschluss","kein Migrationshintergrund","4.93","4.83","584","4.83","5.03"
"2005","AkademikerIn","direkter Migrationshintergrund","4.69","4.5","337","4.56","4.82"
"2005","AkademikerIn","indirekter Migrationshintergrund","4.96","4.83","69","4.7","5.22"
"2005","AkademikerIn","kein Migrationshintergrund","4.84","4.83","3754","4.8","4.88"
"2005","Hauptschule","direkter Migrationshintergrund","4.51","4.58","1180","4.44","4.58"
"2005","Hauptschule","indirekter Migrationshintergrund","4.99","4.83","261","4.85","5.13"
"2005","Hauptschule","kein Migrationshintergrund","4.73","4.58","6091","4.7","4.76"
"2005","Realschule","direkter Migrationshintergrund","5.02","4.83","196","4.86","5.18"
"2005","Realschule","indirekter Migrationshintergrund","5.23","5.17","196","5.08","5.38"
"2005","Realschule","kein Migrationshintergrund","4.87","4.83","4982","4.84","4.9"
"2006","(Fach-)Abitur","direkter Migrationshintergrund","","","","",""
"2006","(Fach-)Abitur","indirekter Migrationshintergrund","","","","",""
"2006","(Fach-)Abitur","kein Migrationshintergrund","","","","",""
"2006","(noch) kein Abschluss","direkter Migrationshintergrund","","","","",""
"2006","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","",""
"2006","(noch) kein Abschluss","kein Migrationshintergrund","","","","",""
"2006","AkademikerIn","direkter Migrationshintergrund","","","","",""
"2006","AkademikerIn","indirekter Migrationshintergrund","","","","",""
"2006","AkademikerIn","kein Migrationshintergrund","","","","",""
"2006","Hauptschule","direkter Migrationshintergrund","","","","",""
"2006","Hauptschule","indirekter Migrationshintergrund","","","","",""
