year,pgisced97,plh0107,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No answer / don't know,Important,0.42467,35,35,0.25852,0.59082
1990,Pre-primary Level,Very important,0.37499,42,98,0.27865,0.47133
1990,Pre-primary Level,Important,0.51509,56,98,0.41564,0.61455
1990,Lower Secondary Level,Very important,0.17166,291,1528,0.15274,0.19057
1990,Lower Secondary Level,Important,0.37645,612,1528,0.35215,0.40075
1990,Lower Secondary Level,Less important,0.19349,290,1528,0.17367,0.21330
1990,Lower Secondary Level,Unimportant,0.25840,335,1528,0.23645,0.28036
1990,Upper Secondary Level,Very important,0.21449,837,3709,0.20128,0.22771
1990,Upper Secondary Level,Important,0.50490,1919,3709,0.48881,0.52100
1990,Upper Secondary Level,Less important,0.15259,568,3709,0.14101,0.16416
1990,Upper Secondary Level,Unimportant,0.12801,385,3709,0.11726,0.13877
1990,Post-secondary Non-tertiary Level,Very important,0.33869,61,171,0.26755,0.40983
1990,Post-secondary Non-tertiary Level,Important,0.53064,110,171,0.45562,0.60566
1990,First Stage of Tertiary Education,Very important,0.19660,100,473,0.16074,0.23245
1990,First Stage of Tertiary Education,Important,0.52142,251,473,0.47635,0.56648
1990,First Stage of Tertiary Education,Less important,0.17397,81,473,0.13977,0.20817
1990,First Stage of Tertiary Education,Unimportant,0.10802,41,473,0.08001,0.13602
1990,Second Stage of Tertiary Education,Very important,0.23227,156,640,0.19953,0.26502
1990,Second Stage of Tertiary Education,Important,0.56773,359,640,0.52932,0.60614
1990,Second Stage of Tertiary Education,Less important,0.13237,88,640,0.10609,0.15865
1990,Second Stage of Tertiary Education,Unimportant,0.06763,37,640,0.04816,0.08710
1992,No answer / don't know,Very important,0.41745,44,92,0.31613,0.51877
1992,No answer / don't know,Important,0.41545,48,92,0.31420,0.51670
1992,Pre-primary Level,Very important,0.41190,61,125,0.32527,0.49853
1992,Pre-primary Level,Important,0.46877,64,125,0.38094,0.55660
1992,Primary Level,Important,0.36604,34,34,0.20168,0.53040
1992,Lower Secondary Level,Very important,0.16077,383,1857,0.14406,0.17748
1992,Lower Secondary Level,Important,0.36031,691,1857,0.33846,0.38215
