year,sex,plh0107,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,male,Very important,0.28453,983,3312,0.26917,0.29990
1990,male,Important,0.51279,1715,3312,0.49576,0.52981
1990,male,Less important,0.11478,366,3312,0.10392,0.12564
1990,male,Unimportant,0.08790,248,3312,0.07825,0.09754
1990,female,Very important,0.14572,548,3498,0.13403,0.15741
1990,female,Important,0.45126,1657,3498,0.43477,0.46776
1990,female,Less important,0.20131,720,3498,0.18802,0.21460
1990,female,Unimportant,0.20171,573,3498,0.18841,0.21501
1992,male,Very important,0.30702,1728,5082,0.29434,0.31970
1992,male,Important,0.48412,2454,5082,0.47038,0.49786
1992,male,Less important,0.10044,451,5082,0.09217,0.10870
1992,male,Unimportant,0.10842,449,5082,0.09987,0.11697
1992,female,Very important,0.17866,1213,5534,0.16857,0.18876
1992,female,Important,0.42940,2498,5534,0.41635,0.44244
1992,female,Less important,0.17678,919,5534,0.16673,0.18684
1992,female,Unimportant,0.21516,904,5534,0.20433,0.22598
1995,male,Very important,0.29523,1634,5148,0.28277,0.30770
1995,male,Important,0.49940,2657,5148,0.48574,0.51306
1995,male,Less important,0.11072,491,5148,0.10215,0.11929
1995,male,Unimportant,0.09465,366,5148,0.08665,0.10265
1995,female,Very important,0.18627,1240,5596,0.17607,0.19647
1995,female,Important,0.45753,2676,5596,0.44447,0.47058
1995,female,Less important,0.17501,922,5596,0.16506,0.18497
1995,female,Unimportant,0.18119,758,5596,0.17110,0.19129
2004,male,Very important,0.25312,2661,9925,0.24456,0.26167
2004,male,Important,0.53781,5377,9925,0.52800,0.54762
2004,male,Less important,0.12144,1124,9925,0.11501,0.12786
2004,male,Unimportant,0.08763,763,9925,0.08207,0.09320
2004,female,Very important,0.16946,1922,10529,0.16229,0.17663
2004,female,Important,0.47447,5256,10529,0.46493,0.48401
2004,female,Less important,0.20687,2118,10529,0.19913,0.21460
2004,female,Unimportant,0.14921,1233,10529,0.14240,0.15601
2008,male,Very important,0.22938,1995,8763,0.22057,0.23818
2008,male,Important,0.53021,4693,8763,0.51976,0.54066
2008,male,Less important,0.13774,1187,8763,0.13052,0.14496
2008,male,Unimportant,0.10267,888,8763,0.09632,0.10903
2008,female,Very important,0.16070,1604,9507,0.15332,0.16808
2008,female,Important,0.49337,4774,9507,0.48332,0.50342
2008,female,Less important,0.18573,1775,9507,0.17791,0.19354
2008,female,Unimportant,0.16020,1354,9507,0.15283,0.16758
2012,male,Very important,0.22789,2804,11793,0.22032,0.23546
2012,male,Important,0.53074,6338,11793,0.52174,0.53975
2012,male,Less important,0.15217,1671,11793,0.14569,0.15865
2012,male,Unimportant,0.08919,980,11793,0.08405,0.09434
2012,female,Very important,0.17790,2489,14100,0.17158,0.18421
2012,female,Important,0.49713,7269,14100,0.48888,0.50539
2012,female,Less important,0.18642,2848,14100,0.17999,0.19284
2012,female,Unimportant,0.13855,1494,14100,0.13285,0.14426
2016,male,Very important,0.20666,2307,10528,0.19892,0.21439
2016,male,Important,0.51955,5535,10528,0.51001,0.52910
2016,male,Less important,0.18258,1795,10528,0.17520,0.18996
2016,male,Unimportant,0.09121,891,10528,0.08571,0.09671
2016,female,Very important,0.15454,2090,12362,0.14817,0.16092
2016,female,Important,0.49240,6279,12362,0.48359,0.50122
2016,female,Less important,0.21935,2725,12362,0.21205,0.22664
2016,female,Unimportant,0.13371,1268,12362,0.12771,0.13971
2021,male,Very important,0.16057,1393,7589,0.15231,0.16883
2021,male,Important,0.52488,4064,7589,0.51364,0.53611
2021,male,Less important,0.22440,1516,7589,0.21502,0.23379
2021,male,Unimportant,0.09015,616,7589,0.08370,0.09659
2021,female,Very important,0.14015,1300,8486,0.13277,0.14754
2021,female,Important,0.49559,4353,8486,0.48495,0.50623
2021,female,Less important,0.24615,2050,8486,0.23698,0.25531
2021,female,Unimportant,0.11811,783,8486,0.11124,0.12498
