year,sampreg,plh0107,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,West,Very important,0.21254,1531,6810,0.20282,0.22226
1990,West,Important,0.48088,3372,6810,0.46901,0.49274
1990,West,Less important,0.15966,1086,6810,0.15096,0.16836
1990,West,Unimportant,0.14692,821,6810,0.13852,0.15533
1992,West,Very important,0.21163,1528,6812,0.20193,0.22133
1992,West,Important,0.46985,3309,6812,0.45800,0.48170
1992,West,Less important,0.15679,1082,6812,0.14815,0.16542
1992,West,Unimportant,0.16174,893,6812,0.15299,0.17048
1992,East,Very important,0.34716,1413,3804,0.33203,0.36229
1992,East,Important,0.40275,1643,3804,0.38716,0.41834
1992,East,Less important,0.07802,288,3804,0.06950,0.08654
1992,East,Unimportant,0.17207,460,3804,0.16008,0.18407
1995,West,Very important,0.22557,1751,7261,0.21596,0.23519
1995,West,Important,0.47944,3608,7261,0.46794,0.49093
1995,West,Less important,0.16104,1155,7261,0.15259,0.16950
1995,West,Unimportant,0.13395,747,7261,0.12611,0.14178
1995,East,Very important,0.29248,1123,3483,0.27737,0.30759
1995,East,Important,0.47135,1725,3483,0.45477,0.48793
1995,East,Less important,0.07577,258,3483,0.06698,0.08456
1995,East,Unimportant,0.16040,377,3483,0.14821,0.17259
2004,West,Very important,0.20676,3388,15527,0.20039,0.21313
2004,West,Important,0.50249,7993,15527,0.49463,0.51036
2004,West,Less important,0.17671,2697,15527,0.17071,0.18271
2004,West,Unimportant,0.11404,1449,15527,0.10904,0.11904
2004,East,Very important,0.22892,1195,4927,0.21719,0.24066
2004,East,Important,0.52044,2640,4927,0.50649,0.53439
2004,East,Less important,0.11126,545,4927,0.10248,0.12004
2004,East,Unimportant,0.13938,547,4927,0.12970,0.14905
2008,West,Very important,0.19002,2650,13812,0.18347,0.19656
2008,West,Important,0.50680,7069,13812,0.49846,0.51514
2008,West,Less important,0.17179,2410,13812,0.16550,0.17808
2008,West,Unimportant,0.13139,1683,13812,0.12575,0.13702
2008,East,Very important,0.21433,949,4458,0.20228,0.22637
2008,East,Important,0.53238,2398,4458,0.51773,0.54703
2008,East,Less important,0.11902,552,4458,0.10951,0.12852
2008,East,Unimportant,0.13428,559,4458,0.12427,0.14429
2012,West,Very important,0.20212,4062,20163,0.19658,0.20766
2012,West,Important,0.51148,10555,20163,0.50458,0.51838
2012,West,Less important,0.17658,3734,20163,0.17132,0.18185
2012,West,Unimportant,0.10982,1812,20163,0.10550,0.11413
2012,East,Very important,0.20441,1231,5730,0.19397,0.21485
2012,East,Important,0.52399,3052,5730,0.51105,0.53692
2012,East,Less important,0.13676,785,5730,0.12786,0.14566
2012,East,Unimportant,0.13484,662,5730,0.12600,0.14369
2016,West,Very important,0.17891,3509,18252,0.17335,0.18448
2016,West,Important,0.50462,9378,18252,0.49736,0.51187
2016,West,Less important,0.20308,3682,18252,0.19724,0.20892
2016,West,Unimportant,0.11339,1683,18252,0.10879,0.11799
2016,East,Very important,0.18682,888,4638,0.17561,0.19804
2016,East,Important,0.51150,2436,4638,0.49711,0.52589
2016,East,Less important,0.19219,838,4638,0.18085,0.20353
2016,East,Unimportant,0.10948,476,4638,0.10049,0.11847
2021,West,Very important,0.14974,2149,12752,0.14355,0.15594
2021,West,Important,0.50595,6617,12752,0.49727,0.51463
2021,West,Less important,0.24072,2926,12752,0.23330,0.24814
2021,West,Unimportant,0.10359,1060,12752,0.09830,0.10888
2021,East,Very important,0.15273,544,3329,0.14051,0.16495
2021,East,Important,0.53067,1802,3329,0.51372,0.54763
2021,East,Less important,0.20866,643,3329,0.19485,0.22246
2021,East,Unimportant,0.10794,340,3329,0.09740,0.11848
