"plh0107","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"1 Sehr wichtig","1990","kein Migrationshintergrund","Staedtischer Raum","1061","0.21083756121438","0.199298122964886","0.222376999463874"
"1 Sehr wichtig","1990","kein Migrationshintergrund","Laendlicher Raum","350","0.209926630092192","0.18958643052901","0.230266829655374"
"1 Sehr wichtig","1990","direkter Migrationshintergrund","Staedtischer Raum","86","0.236082260966675","0.191270344386144","0.280894177547206"
"1 Sehr wichtig","1990","direkter Migrationshintergrund","Laendlicher Raum","22","","",""
"1 Sehr wichtig","1990","indirekter Migrationshintergrund","Staedtischer Raum","8","","",""
"1 Sehr wichtig","1990","indirekter Migrationshintergrund","Laendlicher Raum","4","","",""
"1 Sehr wichtig","1990","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"1 Sehr wichtig","1990","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"2 Wichtig","1990","kein Migrationshintergrund","Staedtischer Raum","2415","0.489581830129676","0.475440079295826","0.503723580963525"
"2 Wichtig","1990","kein Migrationshintergrund","Laendlicher Raum","752","0.471617592912823","0.446685605223176","0.49654958060247"
"2 Wichtig","1990","direkter Migrationshintergrund","Staedtischer Raum","154","0.435684063557536","0.383361918764518","0.488006208350554"
"2 Wichtig","1990","direkter Migrationshintergrund","Laendlicher Raum","29","","",""
"2 Wichtig","1990","indirekter Migrationshintergrund","Staedtischer Raum","22","","",""
"2 Wichtig","1990","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"2 Wichtig","1990","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"2 Wichtig","1990","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"3 Weniger wichtig","1990","kein Migrationshintergrund","Staedtischer Raum","760","0.157036236676116","0.146743476237958","0.167328997114274"
"3 Weniger wichtig","1990","kein Migrationshintergrund","Laendlicher Raum","254","0.169745339301736","0.150995725743695","0.188494952859778"
"3 Weniger wichtig","1990","direkter Migrationshintergrund","Staedtischer Raum","50","0.145035070042191","0.107877337164196","0.182192802920186"
