year,plh0107,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1990,Very important,0.21256,1531,6810,0.21245,0.21268
1990,Important,0.48084,3372,6810,0.48070,0.48099
1990,Less important,0.15968,1086,6810,0.15957,0.15979
1990,Unimportant,0.14691,821,6810,0.14681,0.14702
1992,Very important,0.24027,2941,10616,0.24016,0.24038
1992,Important,0.45566,4952,10616,0.45553,0.45579
1992,Less important,0.14015,1370,10616,0.14006,0.14024
1992,Unimportant,0.16392,1353,10616,0.16382,0.16401
1995,Very important,0.23906,2874,10744,0.23895,0.23917
1995,Important,0.47780,5333,10744,0.47768,0.47793
1995,Less important,0.14386,1413,10744,0.14377,0.14395
1995,Unimportant,0.13927,1124,10744,0.13918,0.13936
2004,Very important,0.21089,4583,20454,0.21079,0.21099
2004,Important,0.50577,10633,20454,0.50565,0.50589
2004,Less important,0.16461,3242,20454,0.16451,0.16470
2004,Unimportant,0.11874,1996,20454,0.11866,0.11882
2008,Very important,0.19449,3599,18270,0.19439,0.19458
2008,Important,0.51140,9467,18270,0.51128,0.51153
2008,Less important,0.16213,2962,18270,0.16204,0.16222
2008,Unimportant,0.13198,2242,18270,0.13190,0.13207
2012,Very important,0.20239,5293,25893,0.20229,0.20249
2012,Important,0.51367,13607,25893,0.51354,0.51379
2012,Less important,0.16966,4519,25893,0.16956,0.16975
2012,Unimportant,0.11429,2474,25893,0.11421,0.11437
2016,Very important,0.17979,4397,22890,0.17970,0.17989
2016,Important,0.50628,11814,22890,0.50616,0.50640
2016,Less important,0.20125,4520,22890,0.20115,0.20135
2016,Unimportant,0.11268,2159,22890,0.11260,0.11276
2021,Very important,0.15027,2693,16081,0.15018,0.15035
2021,Important,0.51061,8419,16081,0.51049,0.51074
2021,Less important,0.23499,3569,16081,0.23489,0.23510
2021,Unimportant,0.10413,1400,16081,0.10405,0.10420
