year,hhtyp,sampreg,hlc0083_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1995,Single-person household,West,Yes,0.05873,63,1044,0.04446,0.07300
1995,Single-person household,West,No,0.94127,981,1044,0.92700,0.95554
1995,Single-person household,East,Yes,0.18704,60,322,0.14438,0.22970
1995,Single-person household,East,No,0.81296,262,322,0.77030,0.85562
1995,Couple without children,West,No,0.98622,1266,1266,0.97979,0.99264
1995,Couple without children,East,No,0.97011,472,472,0.95473,0.98549
1995,Single parent,West,Yes,0.22715,52,237,0.17369,0.28060
1995,Single parent,West,No,0.77285,185,237,0.71940,0.82631
1995,Single parent,East,Yes,0.25560,31,101,0.17011,0.34110
1995,Single parent,East,No,0.74440,70,101,0.65890,0.82989
1995,Couple with children,West,Yes,0.04751,104,1806,0.03769,0.05732
1995,Couple with children,West,No,0.95249,1702,1806,0.94268,0.96231
1995,Couple with children,East,Yes,0.11911,77,720,0.09543,0.14279
1995,Couple with children,East,No,0.88089,643,720,0.85721,0.90457
1995,Multi-generational household,West,No,0.91621,92,92,0.85928,0.97314
1995,Other Combinations,West,No,0.88084,99,99,0.81670,0.94499
1995,Other Combinations,East,No,0.91199,48,48,0.83099,0.99298
1996,Single-person household,West,Yes,0.05587,61,1034,0.04187,0.06988
1996,Single-person household,West,No,0.94413,973,1034,0.93012,0.95813
1996,Single-person household,East,Yes,0.14915,53,331,0.11072,0.18759
1996,Single-person household,East,No,0.85085,278,331,0.81241,0.88928
1996,Couple without children,West,No,0.98770,1228,1228,0.98153,0.99387
1996,Couple without children,East,No,0.98166,508,508,0.96998,0.99334
1996,Single parent,West,Yes,0.15445,45,254,0.10992,0.19898
1996,Single parent,West,No,0.84555,209,254,0.80102,0.89008
1996,Single parent,East,No,0.74893,74,74,0.64945,0.84840
1996,Couple with children,West,Yes,0.04038,88,1772,0.03121,0.04955
1996,Couple with children,West,No,0.95962,1684,1772,0.95045,0.96879
1996,Couple with children,East,Yes,0.10438,62,692,0.08158,0.12718
1996,Couple with children,East,No,0.89562,630,692,0.87282,0.91842
1996,Multi-generational household,West,No,0.95341,82,82,0.90751,0.99931
1996,Other Combinations,West,No,0.92055,83,83,0.86201,0.97908
1996,Other Combinations,East,No,0.90428,51,51,0.82273,0.98583
1997,Single-person household,West,Yes,0.05672,60,997,0.04235,0.07108
