year,regtyp,rentown,hlc0083_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1995,Urban regions,Owner,No,0.99258,1279,1279,0.98788,0.99729
1995,Urban regions,Tenant,Yes,0.08590,247,2914,0.07572,0.09608
1995,Urban regions,Tenant,No,0.91410,2667,2914,0.90392,0.92428
1995,Rural regions,Owner,Yes,0.02656,32,902,0.01606,0.03706
1995,Rural regions,Owner,No,0.97344,870,902,0.96294,0.98394
1995,Rural regions,Tenant,Yes,0.13294,152,1180,0.11356,0.15232
1995,Rural regions,Tenant,No,0.86706,1028,1180,0.84768,0.88644
1996,Urban regions,Owner,No,0.99189,1281,1281,0.98698,0.99680
1996,Urban regions,Tenant,Yes,0.07238,220,2845,0.06286,0.08191
1996,Urban regions,Tenant,No,0.92762,2625,2845,0.91809,0.93714
1996,Rural regions,Owner,No,0.97949,894,894,0.97020,0.98879
1996,Rural regions,Tenant,Yes,0.11345,125,1145,0.09507,0.13183
1996,Rural regions,Tenant,No,0.88655,1020,1145,0.86817,0.90493
1997,Urban regions,Owner,No,0.99530,1314,1314,0.99160,0.99900
1997,Urban regions,Tenant,Yes,0.07053,213,2756,0.06097,0.08009
1997,Urban regions,Tenant,No,0.92947,2543,2756,0.91991,0.93903
1997,Rural regions,Owner,No,0.97924,914,914,0.96999,0.98849
1997,Rural regions,Tenant,Yes,0.09548,93,1096,0.07808,0.11289
1997,Rural regions,Tenant,No,0.90452,1003,1096,0.88711,0.92192
1998,Urban regions,Owner,No,0.99563,1593,1593,0.99240,0.99887
1998,Urban regions,Tenant,Yes,0.07790,241,3117,0.06849,0.08732
1998,Urban regions,Tenant,No,0.92210,2876,3117,0.91268,0.93151
1998,Rural regions,Owner,No,0.98413,1131,1131,0.97684,0.99142
1998,Rural regions,Tenant,Yes,0.11714,144,1232,0.09918,0.13511
1998,Rural regions,Tenant,No,0.88286,1088,1232,0.86489,0.90082
1999,Urban regions,Owner,No,0.99633,1652,1652,0.99341,0.99925
1999,Urban regions,Tenant,Yes,0.06208,197,3054,0.05352,0.07064
1999,Urban regions,Tenant,No,0.93792,2857,3054,0.92936,0.94648
1999,Rural regions,Owner,Yes,0.01856,33,1196,0.01091,0.02621
1999,Rural regions,Owner,No,0.98144,1163,1196,0.97379,0.98909
1999,Rural regions,Tenant,Yes,0.11342,142,1230,0.09569,0.13115
1999,Rural regions,Tenant,No,0.88658,1088,1230,0.86885,0.90431
2000,Urban regions,Owner,No,0.99801,3495,3495,0.99653,0.99949
2000,Urban regions,Tenant,Yes,0.06122,336,5094,0.05463,0.06780
2000,Urban regions,Tenant,No,0.93878,4758,5094,0.93220,0.94537
2000,Rural regions,Owner,No,0.99074,2293,2293,0.98682,0.99466
2000,Rural regions,Tenant,Yes,0.08505,195,2031,0.07292,0.09719
2000,Rural regions,Tenant,No,0.91495,1836,2031,0.90281,0.92708
2001,Urban regions,Owner,No,0.99750,3129,3129,0.99575,0.99925
2001,Urban regions,Tenant,Yes,0.04858,245,4641,0.04240,0.05477
2001,Urban regions,Tenant,No,0.95142,4396,4641,0.94523,0.95760
2001,Rural regions,Owner,No,0.99140,2105,2105,0.98745,0.99534
2001,Rural regions,Tenant,Yes,0.07832,156,1772,0.06580,0.09083
2001,Rural regions,Tenant,No,0.92168,1616,1772,0.90917,0.93420
2002,Urban regions,Owner,No,0.99712,3657,3657,0.99538,0.99886
2002,Urban regions,Tenant,Yes,0.05420,240,4585,0.04764,0.06075
2002,Urban regions,Tenant,No,0.94580,4345,4585,0.93925,0.95236
2002,Rural regions,Owner,No,0.99067,2161,2161,0.98661,0.99472
2002,Rural regions,Tenant,Yes,0.08074,147,1783,0.06809,0.09339
2002,Rural regions,Tenant,No,0.91926,1636,1783,0.90661,0.93191
2003,Urban regions,Owner,No,0.99713,3542,3542,0.99536,0.99889
2003,Urban regions,Tenant,Yes,0.06222,251,4430,0.05510,0.06933
2003,Urban regions,Tenant,No,0.93778,4179,4430,0.93067,0.94490
2003,Rural regions,Owner,No,0.99239,2085,2085,0.98865,0.99612
